# Data for C+ states 
#  J 	 v 		 E(v,J) [1/cm] 			 Ab [1/s] 			 Ac [1/s] 			 At [1/s] 			 f of dissociation 		 mean Ekin [eV]
    1     0     9.9152259220E+04     1.1798330029E+09     1.6303497902E+05     1.1799960379E+09     1.3816570038E-04     1.0405861716E-01
    1     1     1.0145797348E+05     1.1581670748E+09     4.6140766892E+05     1.1586284825E+09     3.9823608335E-04     2.7668465534E-01
    1     2     1.0362916201E+05     1.1362406501E+09     1.8588223105E+06     1.1380994724E+09     1.6332687569E-03     4.0166705198E-01
    1     3     1.0566111601E+05     9.0241371000E+08     1.4915143623E+08     1.0515651462E+09     1.4183756162E-01     5.6238986734E-01
    1     4     1.0758126443E+05     1.0998408216E+09     3.2332510008E+06     1.1030740726E+09     2.9311277286E-03     6.9570840418E-01
    1     5     1.0936198304E+05     1.0880487156E+09     1.4896016579E+06     1.0895383172E+09     1.3671861139E-03     7.9284067853E-01
    1     6     1.1101282791E+05     1.0741477760E+09     2.8319873902E+06     1.0769797634E+09     2.6295641631E-03     6.6487667688E-01
    1     7     1.1253036409E+05     1.0465114898E+09     1.2642504518E+07     1.0591539943E+09     1.1936417732E-02     8.5869565537E-01
    1     8     1.1391803529E+05     9.6066957710E+08     7.1506732375E+07     1.0321763095E+09     6.9277633790E-02     4.8787826915E-01
    1     9     1.1515399499E+05     9.8918830200E+08     7.0679462593E+07     1.0598677646E+09     6.6687057531E-02     2.3114636035E-01
    1    10     1.1623742050E+05     6.5526756900E+08     4.1222615653E+08     1.0674937255E+09     3.8616260374E-01     8.4324872880E-02
    1    11     1.1715061864E+05     6.2016427100E+08     4.6190403171E+08     1.0820683027E+09     4.2687141888E-01     1.5413533968E-01
    1    12     1.1786871762E+05     4.0900868444E+08     6.9897171296E+08     1.1079803974E+09     6.3085205713E-01     1.3062608121E-01
    1    13     1.1834991633E+05     2.0941106660E+08     9.1704235301E+08     1.1264534196E+09     8.1409700308E-01     7.5414680406E-02
    2     0     9.9276048100E+04     1.1786292470E+09     4.4295538526E+05     1.1790722024E+09     3.7568130635E-04     1.1048705336E-01
    2     1     1.0157538462E+05     1.1559440713E+09     1.5143086276E+06     1.1574583799E+09     1.3083050362E-03     2.9050153819E-01
    2     2     1.0373898783E+05     1.1248494900E+09     9.4905348471E+06     1.1343400248E+09     8.3665696699E-03     4.1124653233E-01
    2     3     1.0578401212E+05     1.0300682595E+09     6.3334998589E+07     1.0934032581E+09     5.7924647764E-02     5.6664109528E-01
    2     4     1.0768172732E+05     1.0949506661E+09     5.9418686340E+06     1.1008925347E+09     5.3973193990E-03     7.0327614825E-01
    2     5     1.0945537178E+05     1.0827282085E+09     4.1402402369E+06     1.0868684488E+09     3.8093296769E-03     8.0423982755E-01
    2     6     1.1109859288E+05     1.0618194283E+09     9.0542394924E+06     1.0708736678E+09     8.4550024571E-03     8.0976998653E-01
    2     7     1.1260222925E+05     8.9155189318E+08     9.1516069330E+07     9.8306796251E+08     9.3092311845E-02     9.3741492578E-01
    2     8     1.1399363206E+05     9.7250892800E+08     6.7764913359E+07     1.0402738414E+09     6.5141418216E-02     4.0803214031E-01
    2     9     1.1522205221E+05     9.7957576590E+08     7.6190757881E+07     1.0557665238E+09     7.2166294502E-02     2.6552309761E-01
    2    10     1.1629723651E+05     6.3300534570E+08     4.3113883767E+08     1.0641441834E+09     4.0515077224E-01     9.4769016881E-02
    2    11     1.1720145927E+05     5.9998196400E+08     4.7925735228E+08     1.0792393163E+09     4.4406958220E-01     1.5702761432E-01
