# Data for D- states 
#  J 	 v 		 E(v,J) [1/cm] 			 Ab [1/s] 			 Ac [1/s] 			 At [1/s] 			 f of dissociation 		 mean Ekin [eV]
    1     0     1.1293165436E+05     3.5480200548E+08     2.0816348746E-01     3.5480200568E+08     5.8670324328E-10     1.0662732421E+00
    1     1     1.1515463818E+05     3.5424736067E+08     2.7769208925E+04     3.5427512988E+08     7.8383173368E-05     1.8032060209E-01
    1     2     1.1724808277E+05     3.5394804104E+08     2.4323865935E+02     3.5394828428E+08     6.8721525193E-07     1.6483728551E-01
    2     0     1.1304929648E+05     3.5458179965E+08     1.7488517005E-01     3.5458179982E+08     4.9321530361E-10     1.1489843212E+00
    2     1     1.1526610304E+05     3.5378828232E+08     8.6406286847E+01     3.5378836873E+08     2.4423156464E-07     1.9685539018E-01
    2     2     1.1735356534E+05     3.5378907819E+08     1.0359485923E+02     3.5378918178E+08     2.9281522603E-07     1.8796668978E-01
    3     0     1.1322459849E+05     3.5425699981E+08     1.3647021913E-01     3.5425699995E+08     3.8522942142E-10     1.2687162339E+00
    3     1     1.1543218759E+05     3.5348583206E+08     1.8342411027E+01     3.5348585040E+08     5.1890085575E-08     2.3925921910E-01
    3     2     1.1751071956E+05     3.5356019124E+08     5.4858873589E+01     3.5356024610E+08     1.5516131747E-07     2.1919751006E-01
    4     0     1.1345620033E+05     3.5383390918E+08     1.0458104418E-01     3.5383390928E+08     2.9556535267E-10     1.3668661961E+00
    4     1     1.1565158608E+05     3.5310010719E+08     8.2507248250E+00     3.5310011544E+08     2.3366531089E-08     2.8545800421E-01
    4     2     1.1771829293E+05     3.5325958605E+08     4.3080231019E+01     3.5325962913E+08     1.2195062064E-07     2.2694435640E-01
    5     0     1.1374234170E+05     3.5332188295E+08     9.5936194670E-02     3.5332188304E+08     2.7152633130E-10     1.2027869903E+00
    5     1     1.1592261024E+05     3.5263212970E+08     5.0944292608E+00     3.5263213479E+08     1.4446866176E-08     3.0893966159E-01
    5     2     1.1797466520E+05     3.5289981047E+08     9.5022079155E+01     3.5289990549E+08     2.6926071012E-07     1.4345058214E-01
    6     0     1.1408090415E+05     3.5272772315E+08     1.0180418055E-01     3.5272772325E+08     2.8861973086E-10     9.2760311330E-01
    6     1     1.1624322864E+05     3.5209864768E+08     2.6655209940E+00     3.5209865034E+08     7.5703811742E-09     4.1080721677E-01
    6     2     1.1827788711E+05     3.5248822801E+08     4.4834181522E+02     3.5248867635E+08     1.2719325337E-06     1.0502511250E-01
    7     0     1.1446945835E+05     3.5206496401E+08     1.6404873562E-01     3.5206496417E+08     4.6596154778E-10     5.1347265037E-01
    7     1     1.1661111252E+05     3.5150741223E+08     1.0261345989E+01     3.5150742249E+08     2.9192402017E-08     2.1841528683E-01
    8     0     1.1490531543E+05     3.5134330666E+08     2.2430314521E+00     3.5134330890E+08     6.3841587283E-09     6.7390904451E-02
    8     1     1.1702368491E+05     3.5087652944E+08     1.1688640399E+02     3.5087664632E+08     3.3312677036E-07     7.3627083546E-02
    9     0     1.1538558045E+05     3.5068867083E+08     1.1976216877E+03     3.5068986845E+08     3.4150450169E-06     9.9540769135E-02
    9     1     1.1747817103E+05     3.5021943684E+08     2.1526706687E+02     3.5021965210E+08     6.1466301384E-07     1.1903053723E-01
   10     0     1.1590719896E+05     3.4976971663E+08     1.6200911375E+00     3.4976971825E+08     4.6318793564E-09     1.6133239778E-01
   10     1     1.1797164755E+05     3.4955226451E+08     2.7578041542E+01     3.4955229209E+08     7.8895324579E-08     1.6618061687E-01
   11     0     1.1646701690E+05     3.4894299195E+08     2.1676878634E+00     3.4894299412E+08     6.2121547070E-09     8.6722274609E-02
   12     0     1.1706181526E+05     3.4810304116E+08     1.9088517524E+00     3.4810304306E+08     5.4835824922E-09     1.2160761611E-01
   13     0     1.1768835666E+05     3.4726454117E+08     5.5658352548E+01     3.4726459682E+08     1.6027649538E-07     8.5136290123E-02
   14     0     1.1834341961E+05     3.4643807224E+08     2.7460847176E+00     3.4643807499E+08     7.9266250330E-09     1.1760168272E-01
