# Data for D+ states 
#  J 	 v 		 E(v,J) [1/cm] 			 Ab [1/s] 			 Ac [1/s] 			 At [1/s] 			 f of dissociation 		 mean Ekin [eV]
    1     0     1.1293545336E+05     3.5479324295E+08     6.1461301299E-01     3.5479324357E+08     1.7323131828E-09     9.9961491143E-01
    1     1     1.1515629761E+05     3.5412290073E+08     1.5210238703E+04     3.5413811097E+08     4.2950019306E-05     2.3542796701E-01
    1     2     1.1725207083E+05     3.5196689789E+08     1.9171700133E+02     3.5196708960E+08     5.4470149908E-07     2.1716880696E-01
    2     0     1.1306016449E+05     3.5442736998E+08     2.0149115972E+00     3.5442737200E+08     5.6849773927E-09     1.0410560575E+00
    2     1     1.1527053457E+05     3.5135357549E+08     2.5641635261E+02     3.5135383191E+08     7.2979523580E-07     3.0260633285E-01
    2     2     1.1736398703E+05     3.4877770939E+08     1.2106334387E+02     3.4877783045E+08     3.4710733682E-07     4.9642246969E-01
    3     0     1.1324497242E+05     3.5387497674E+08     8.6812346355E+01     3.5387506355E+08     2.4531919679E-07     9.0427366386E-01
    3     1     1.1543947297E+05     3.4786620105E+08     3.8417542224E+01     3.4786623947E+08     1.1043768514E-07     5.4998332672E-01
    3     2     1.1752798818E+05     3.4489169445E+08     1.2556856458E+04     3.4490425131E+08     3.6406789452E-05     2.2291798540E-01
    4     0     1.1348756034E+05     3.5305913905E+08     1.4184805466E+02     3.5305928090E+08     4.0176837811E-07     9.0246513962E-01
    4     1     1.1565985870E+05     3.4143418508E+08     9.2877112415E+03     3.4144347279E+08     2.7201314366E-05     6.9106031970E-01
    4     2     1.1774022363E+05     3.3873770680E+08     1.5439821678E+03     3.3873925078E+08     4.5580255736E-06     2.6188911207E-01
    5     0     1.1378524110E+05     3.5190524106E+08     7.3780323178E+00     3.5190524844E+08     2.0965962714E-08     3.5751794271E-01
    5     1     1.1592614855E+05     3.2852898206E+08     1.3781365807E+02     3.2852911988E+08     4.1948688787E-07     5.2503171407E-01
    5     2     1.1799287440E+05     3.2079050662E+08     4.6964960767E+04     3.2083747158E+08     1.4638240520E-04     6.8939653993E-02
    6     0     1.1413503730E+05     3.5031437206E+08     1.3127579145E+02     3.5031450334E+08     3.7473695835E-07     9.9429397373E-01
    6     1     1.1622781453E+05     3.0102436214E+08     1.2441556538E+02     3.0102448656E+08     4.1330712596E-07     4.2626858335E-01
    7     0     1.1453367459E+05     3.4810287704E+08     1.0845480776E+01     3.4810288788E+08     3.1155963234E-08     1.7879608113E-01
    8     0     1.1497746589E+05     3.4480329269E+08     8.3329234836E+01     3.4480337601E+08     2.4167174869E-07     7.2203352216E-01
    8     1     1.1716235914E+05     3.0848458161E+08     1.5416979878E+03     3.0848612330E+08     4.9976250835E-06     2.8701041751E-01
    9     0     1.1546191296E+05     3.3936875097E+08     1.1054716453E+04     3.3937980569E+08     3.2573288888E-05     4.5701969417E-01
    9     1     1.1760097428E+05     3.2175885726E+08     8.5038845211E+02     3.2175970765E+08     2.6429302113E-06     9.9367214174E-02
   10     0     1.1598028486E+05     3.2821903062E+08     2.3885612044E+01     3.2821905451E+08     7.2773386298E-08     4.5150685479E-01
   10     1     1.1808064259E+05     3.1908131593E+08     5.1474503728E+04     3.1913279043E+08     1.6129493825E-04     3.5654276249E-02
   11     0     1.1651788281E+05     2.9897772998E+08     4.4983096976E+02     2.9897817981E+08     1.5045612026E-06     2.7813147313E-01
   12     0     1.1726858383E+05     2.9658879730E+08     6.0048836552E+03     2.9659480218E+08     2.0246085269E-05     1.7980150264E-01
   13     0     1.1785697389E+05     3.2544600361E+08     2.9128004888E+03     3.2544891641E+08     8.9501004364E-06     5.4004909187E-01
