# Data for C+ states 
#  J 	 v 		 E(v,J) [1/cm] 			 Ac [1/s] 			 mean Ekin [eV]
    1     0     9.9152259220E+04     1.6303497902E+05     1.0405861716E-01
    1     1     1.0145797348E+05     4.6140766892E+05     2.7668465534E-01
    1     2     1.0362916201E+05     1.8588223105E+06     4.0166705198E-01
    1     3     1.0566111601E+05     1.4915143623E+08     5.6238986734E-01
    1     4     1.0758126443E+05     3.2332510008E+06     6.9570840418E-01
    1     5     1.0936198304E+05     1.4896016579E+06     7.9284067853E-01
    1     6     1.1101282791E+05     2.8319873902E+06     6.6487667688E-01
    1     7     1.1253036409E+05     1.2642504518E+07     8.5869565537E-01
    1     8     1.1391803529E+05     7.1506732375E+07     4.8787826915E-01
    1     9     1.1515399499E+05     7.0679462593E+07     2.3114636035E-01
    1    10     1.1623742050E+05     4.1222615653E+08     8.4324872880E-02
    1    11     1.1715061864E+05     4.6190403171E+08     1.5413533968E-01
    1    12     1.1786871762E+05     6.9897171296E+08     1.3062608121E-01
    1    13     1.1834991633E+05     9.1704235301E+08     7.5414680406E-02
    2     0     9.9276048100E+04     4.4295538526E+05     1.1048705336E-01
    2     1     1.0157538462E+05     1.5143086276E+06     2.9050153819E-01
    2     2     1.0373898783E+05     9.4905348471E+06     4.1124653233E-01
    2     3     1.0578401212E+05     6.3334998589E+07     5.6664109528E-01
    2     4     1.0768172732E+05     5.9418686340E+06     7.0327614825E-01
    2     5     1.0945537178E+05     4.1402402369E+06     8.0423982755E-01
    2     6     1.1109859288E+05     9.0542394924E+06     8.0976998653E-01
    2     7     1.1260222925E+05     9.1516069330E+07     9.3741492578E-01
    2     8     1.1399363206E+05     6.7764913359E+07     4.0803214031E-01
    2     9     1.1522205221E+05     7.6190757881E+07     2.6552309761E-01
    2    10     1.1629723651E+05     4.3113883767E+08     9.4769016881E-02
    2    11     1.1720145927E+05     4.7925735228E+08     1.5702761432E-01
    2    12     1.1790884097E+05     6.7766099830E+08     1.3856729594E-01
    2    13     1.1837518856E+05     9.1899711318E+08     6.8982437191E-02
    3     0     9.9460198510E+04     8.7618162714E+05     1.2031513498E-01
    3     1     1.0174959987E+05     4.1829580250E+06     3.0955646286E-01
    3     2     1.0389655032E+05     7.2939825345E+07     4.2502359723E-01
    3     3     1.0593883457E+05     2.2822938031E+07     5.7421278071E-01
    3     4     1.0782988807E+05     7.7846732781E+06     7.1244961596E-01
    3     5     1.0959312086E+05     8.9146749025E+06     8.1690791133E-01
    3     6     1.1122299234E+05     3.3580029053E+07     8.7355105099E-01
    3     7     1.1275061449E+05     1.0674805074E+08     9.4386672314E-01
    3     8     1.1410380973E+05     6.6341788446E+07     3.3708384542E-01
    3     9     1.1532164361E+05     9.0232217953E+07     2.6095340692E-01
    3    10     1.1638480852E+05     4.5236533865E+08     1.0793765708E-01
    3    11     1.1727567284E+05     5.2277683104E+08     1.5481899616E-01
    3    12     1.1796688990E+05     6.6339223109E+08     1.4588938403E-01
    4     0     9.9702937400E+04     1.8521270882E+06     1.3415515770E-01
    4     1     1.0197711734E+05     1.7983068360E+07     3.3033358067E-01
    4     2     1.0414188966E+05     8.1234587896E+07     4.3998646909E-01
    4     3     1.0614439002E+05     1.4227891942E+07     5.7028267979E-01
    4     4     1.0802368539E+05     1.1118033985E+07     7.0195236162E-01
    4     5     1.0977172072E+05     2.4357230671E+07     8.0307805710E-01
    4     6     1.1136702011E+05     2.0238373693E+08     8.8652449046E-01
    4     7     1.1290146037E+05     4.1296305855E+07     8.2837673071E-01
    4     8     1.1424733938E+05     7.0890327507E+07     3.0668563063E-01
    4     9     1.1545074639E+05     1.3224737747E+08     2.2380061980E-01
    4    10     1.1649787139E+05     4.6146975448E+08     1.3269345623E-01
    4    11     1.1737098327E+05     6.4743121447E+08     1.4158549464E-01
    4    12     1.1804032411E+05     7.4675210461E+08     1.3777278859E-01
    5     0     1.0000151883E+05     6.4406906127E+06     1.5355922194E-01
    5     1     1.0229431774E+05     1.6931858445E+08     3.5987551100E-01
    5     2     1.0440388869E+05     1.9203671881E+07     4.7001815195E-01
    5     3     1.0639736718E+05     1.2987290298E+07     5.8881129929E-01
    5     4     1.0825965106E+05     2.2051621814E+07     7.1254832729E-01
    5     5     1.0997714375E+05     1.2736887178E+08     8.1562609614E-01
    5     6     1.1162813078E+05     5.7343495786E+07     9.0525971223E-01
    5     7     1.1309163594E+05     3.1402056517E+07     7.2731408026E-01
    5     8     1.1442165533E+05     7.8729974909E+07     3.5456628388E-01
    5     9     1.1560573045E+05     1.7694072517E+08     2.7470190659E-01
    5    10     1.1663171592E+05     4.5656931353E+08     2.0442344195E-01
    5    11     1.1748254154E+05     6.7290696003E+08     1.8135797261E-01
    5    12     1.1812202851E+05     6.9984600570E+08     1.8948513680E-01
    6     0     1.0033645417E+05     2.0549616086E+08     1.7409521800E-01
    6     1     1.0261091283E+05     1.6899096434E+07     3.7483972178E-01
    6     2     1.0471916883E+05     1.2053841613E+07     5.0164424047E-01
    6     3     1.0669378232E+05     2.0608173822E+07     6.1140956749E-01
    6     4     1.0852510131E+05     1.0230750114E+08     7.2267726170E-01
    6     5     1.1029198464E+05     7.7751508662E+07     8.2159295576E-01
    6     6     1.1186686121E+05     2.8672368622E+07     8.9804698648E-01
    6     7     1.1331429886E+05     2.7376932154E+07     6.9776084628E-01
    6     8     1.1462042072E+05     1.1406972754E+08     5.3719854262E-01
    6     9     1.1577330867E+05     2.9833623887E+08     5.0494681165E-01
    6    10     1.1684251027E+05     5.1514791481E+08     4.3097493705E-01
    6    11     1.1765289944E+05     7.0617819578E+08     2.6982271883E-01
    6    12     1.1824143625E+05     6.9657113856E+08     1.2224625240E-01
    7     0     1.0076831935E+05     9.3606442553E+06     2.0154353842E-01
    7     1     1.0299263968E+05     9.1991282599E+06     3.6585256221E-01
    7     2     1.0507935750E+05     1.7736685678E+07     5.1217889270E-01
    7     3     1.0702027270E+05     9.5999735985E+07     6.3272753114E-01
    7     4     1.0889811449E+05     8.2734065178E+07     7.4368269325E-01
    7     5     1.1058186927E+05     3.1065087135E+07     8.2858495034E-01
    7     6     1.1214045791E+05     3.4511447789E+07     9.0946805916E-01
    7     7     1.1355778280E+05     1.0285186899E+08     8.2519945295E-01
    7     8     1.1491562178E+05     2.2619252504E+08     8.3028633500E-01
    7     9     1.1603393277E+05     3.4382589208E+08     2.9741867117E-01
    7    10     1.1700319437E+05     6.6681089664E+08     1.6759878042E-01
    7    11     1.1778845565E+05     8.2461129526E+08     1.5327504516E-01
    8     0     1.0122131874E+05     3.8672593108E+06     2.4989191423E-01
    8     1     1.0342029073E+05     1.3350118763E+07     3.9585275963E-01
    8     2     1.0546848719E+05     1.0331597595E+08     5.4408048107E-01
    8     3     1.0745081586E+05     6.7692634295E+07     6.7145103312E-01
    8     4     1.0924376804E+05     2.9042140156E+07     7.7052068489E-01
    8     5     1.1090925411E+05     3.9037753552E+07     8.5243912206E-01
    8     6     1.1242863655E+05     1.2892516309E+08     9.4168379313E-01
    8     7     1.1390167688E+05     1.3626056758E+08     8.1394993788E-01
    8     8     1.1514937233E+05     1.3202200420E+08     4.5392521089E-01
    8     9     1.1625513424E+05     3.3691963963E+08     2.1598842619E-01
    8    10     1.1719607601E+05     6.4685648027E+08     1.6975742612E-01
