# Data for B'+ transitions (P and R) 
#  JU 	 VU 	 JL 	 VL 		 lambda [A] 		 Aul [1/s] 		 oscillator strength f 		 Gamma [1/s]
     0      0      1      0               906.13          2.33524E+07          9.58700E-04          3.81633E+08
     0      0      1      1               941.58          8.52353E+07          3.77800E-03          3.81633E+08
     0      0      1      2               977.66          1.25187E+08          5.98300E-03          3.81633E+08
     0      0      1      3              1014.25          9.55750E+07          4.91600E-03          3.81633E+08
     0      0      1      4              1051.16          4.10518E+07          2.26800E-03          3.81633E+08
     0      0      1      5              1088.18          9.97868E+06          5.90800E-04          3.81633E+08
     0      0      1      6              1125.00          1.20973E+06          7.65500E-05          3.81633E+08
     0      0      1      7              1161.27          4.30712E+04          2.90400E-06          3.81633E+08
     0      0      1      8              1196.52          4.80985E+00          3.44300E-10          3.81633E+08
     0      0      1      9              1230.18          1.02262E+02          7.73800E-09          3.81633E+08
     0      0      1     10              1261.52          3.63956E+00          2.89600E-10          3.81633E+08
     0      0      1     11              1289.64          2.71291E+00          2.25600E-10          3.81633E+08
     0      0      1     12              1313.46          1.65741E+00          1.43000E-10          3.81633E+08
     0      0      1     13              1331.62          1.24593E+00          1.10500E-10          3.81633E+08
     0      0      1     14              1342.50          1.18227E+00          1.06500E-10          3.81633E+08
     1      0      2      0               907.65          1.36415E+07          1.01100E-03          3.80629E+08
     1      0      0      0               904.74          6.44288E+06          2.37300E-03          3.80629E+08
     1      0      2      1               943.12          5.81613E+07          4.65600E-03          3.80629E+08
     1      0      0      1               940.13          3.57327E+07          1.42100E-02          3.80629E+08
     1      0      2      2               979.21          7.52269E+07          6.49200E-03          3.80629E+08
     1      0      0      2               976.16          4.25008E+07          1.82200E-02          3.80629E+08
     1      0      2      3              1015.80          6.04294E+07          5.61200E-03          3.80629E+08
     1      0      0      3              1012.69          3.19784E+07          1.47600E-02          3.80629E+08
     1      0      2      4              1052.70          2.83150E+07          2.82400E-03          3.80629E+08
     1      0      0      4              1049.55          1.76996E+07          8.77400E-03          3.80629E+08
     1      0      2      5              1089.69          4.87802E+06          5.21300E-04          3.80629E+08
     1      0      0      5              1086.51          3.56951E+06          1.89600E-03          3.80629E+08
     1      0      2      6              1126.48          7.58979E+05          8.66800E-05          3.80629E+08
     1      0      0      6              1123.30          1.91381E+05          1.08700E-04          3.80629E+08
     1      0      2      7              1162.68          2.72957E+05          3.32100E-05          3.80629E+08
     1      0      0      7              1159.53          6.10588E+04          3.69400E-05          3.80629E+08
     1      0      2      8              1197.85          7.80779E+04          1.00800E-05          3.80629E+08
     1      0      0      8              1194.77          1.90880E+03          1.22600E-06          3.80629E+08
     1      0      2      9              1231.38          1.73793E+03          2.37200E-07          3.80629E+08
     1      0      0      9              1228.42          2.81749E+04          1.91300E-05          3.80629E+08
     1      0      2     10              1262.55          2.88717E+05          4.14200E-05          3.80629E+08
     1      0      0     10              1259.78          6.26500E+04          4.47400E-05          3.80629E+08
     1      0      2     11              1290.47          5.94080E+03          8.90400E-07          3.80629E+08
     1      0      0     11              1287.96          1.87373E+05          1.39900E-04          3.80629E+08
     1      0      2     12              1314.00          9.42134E+03          1.46400E-06          3.80629E+08
     1      0      0     12              1311.87          2.22522E+04          1.72300E-05          3.80629E+08
     1      0      2     13              1331.80          1.54158E+03          2.46100E-07          3.80629E+08
     1      0      0     13              1330.17          2.52466E+01          2.01000E-08          3.80629E+08
     1      0      2     14              1342.17          3.36370E+03          5.45300E-07          3.80629E+08
     1      0      0     14              1341.27          3.71500E+03          3.00700E-06          3.80629E+08
     2      0      3      0               909.71          1.26221E+07          1.11900E-03          3.78891E+08
     2      0      1      0               904.88          1.04679E+07          2.14300E-03          3.78891E+08
     2      0      3      1               945.18          4.69884E+07          4.49800E-03          3.78891E+08
     2      0      1      1               940.23          3.76351E+07          8.31800E-03          3.78891E+08
     2      0      3      2               981.28          6.82156E+07          7.03800E-03          3.78891E+08
     2      0      1      2               976.21          5.59824E+07          1.33400E-02          3.78891E+08
     2      0      3      3              1017.84          5.14188E+07          5.70800E-03          3.78891E+08
     2      0      1      3              1012.68          4.35193E+07          1.11600E-02          3.78891E+08
     2      0      3      4              1054.71          2.20728E+07          2.63100E-03          3.78891E+08
     2      0      1      4              1049.48          1.88331E+07          5.18600E-03          3.78891E+08
     2      0      3      5              1091.64          5.29205E+06          6.75700E-04          3.78891E+08
     2      0      1      5              1086.38          4.60731E+06          1.35900E-03          3.78891E+08
     2      0      3      6              1128.35          5.87315E+05          8.01200E-05          3.78891E+08
     2      0      1      6              1123.08          5.99610E+05          1.89100E-04          3.78891E+08
     2      0      3      7              1164.44          1.91063E+04          2.77600E-06          3.78891E+08
     2      0      1      7              1159.22          2.51370E+04          8.44500E-06          3.78891E+08
     2      0      3      8              1199.44          7.78568E+01          1.20000E-08          3.78891E+08
     2      0      1      8              1194.35          3.03355E+02          1.08200E-07          3.78891E+08
     2      0      3      9              1232.77          4.90729E+02          7.99000E-08          3.78891E+08
     2      0      1      9              1227.88          3.04749E+00          1.14900E-09          3.78891E+08
     2      0      3     10              1263.68          1.25365E+03          2.14500E-07          3.78891E+08
     2      0      1     10              1259.10          2.08005E+03          8.24400E-07          3.78891E+08
     2      0      3     11              1291.25          1.72656E+02          3.08400E-08          3.78891E+08
     2      0      1     11              1287.11          3.69541E+02          1.53100E-07          3.78891E+08
     2      0      3     12              1314.34          1.82059E+01          3.37000E-09          3.78891E+08
     2      0      1     12              1310.84          3.62927E+01          1.55900E-08          3.78891E+08
     2      0      3     13              1331.56          3.37710E-01          6.41600E-11          3.78891E+08
     2      0      1     13              1328.93          8.12369E+00          3.58700E-09          3.78891E+08
     2      0      3     14              1341.15          1.90714E+00          3.67500E-10          3.78891E+08
     2      0      1     14              1339.76          5.25923E+00          2.36000E-09          3.78891E+08
     3      0      4      0               912.30          1.16165E+07          1.12800E-03          3.76121E+08
     3      0      2      0               905.57          1.13051E+07          1.94700E-03          3.76121E+08
     3      0      4      1               947.77          4.21480E+07          4.41700E-03          3.76121E+08
     3      0      2      1               940.87          4.15649E+07          7.72700E-03          3.76121E+08
     3      0      4      2               983.84          6.17739E+07          6.97600E-03          3.76121E+08
     3      0      2      2               976.79          6.16368E+07          1.23500E-02          3.76121E+08
     3      0      4      3              1020.37          4.65756E+07          5.65700E-03          3.76121E+08
     3      0      2      3              1013.20          4.78158E+07          1.03100E-02          3.76121E+08
     3      0      4      4              1057.18          1.95250E+07          2.54600E-03          3.76121E+08
     3      0      2      4              1049.91          2.10572E+07          4.87400E-03          3.76121E+08
     3      0      4      5              1094.02          4.61822E+06          6.44900E-04          3.76121E+08
     3      0      2      5              1086.70          5.26344E+06          1.30500E-03          3.76121E+08
     3      0      4      6              1130.59          5.28739E+05          7.88500E-05          3.76121E+08
     3      0      2      6              1123.28          6.51044E+05          1.72500E-04          3.76121E+08
     3      0      4      7              1166.51          1.30163E+04          2.06600E-06          3.76121E+08
     3      0      2      7              1159.28          2.61145E+04          7.37000E-06          3.76121E+08
     3      0      4      8              1201.29          1.44418E+02          2.43100E-08          3.76121E+08
     3      0      2      8              1194.23          1.08378E+02          3.24600E-08          3.76121E+08
     3      0      4      9              1234.33          1.29535E+00          2.30200E-10          3.76121E+08
     3      0      2      9              1227.56          1.89393E+02          5.99300E-08          3.76121E+08
     3      0      4     10              1264.86          1.47730E+02          2.75700E-08          3.76121E+08
     3      0      2     10              1258.54          4.10775E+02          1.36600E-07          3.76121E+08
     3      0      4     11              1291.95          6.96733E+01          1.35700E-08          3.76121E+08
     3      0      2     11              1286.27          3.20253E+01          1.11300E-08          3.76121E+08
     3      0      4     12              1314.44          1.33326E+01          2.68700E-09          3.76121E+08
     3      0      2     12              1309.65          9.52404E-06          3.43000E-15          3.76121E+08
     3      0      4     13              1330.87          1.65864E+00          3.42700E-10          3.76121E+08
     3      0      2     13              1327.33          6.17355E-01          2.28400E-10          3.76121E+08
     3      0      2     14              1337.63          5.02530E-02          1.88800E-11          3.76121E+08
     4      0      5      0               915.40          1.06992E+07          1.10000E-03          3.72437E+08
     4      0      3      0               906.81          1.18992E+07          1.88700E-03          3.72437E+08
     4      0      5      1               950.85          3.88689E+07          4.31300E-03          3.72437E+08
     4      0      3      1               942.05          4.38937E+07          7.51300E-03          3.72437E+08
     4      0      5      2               986.89          5.68621E+07          6.79700E-03          3.72437E+08
     4      0      3      2               977.90          6.52974E+07          1.20400E-02          3.72437E+08
     4      0      5      3              1023.36          4.27053E+07          5.48900E-03          3.72437E+08
     4      0      3      3              1014.22          5.08879E+07          1.01000E-02          3.72437E+08
     4      0      5      4              1060.07          1.77872E+07          2.45300E-03          3.72437E+08
     4      0      3      4              1050.82          2.25366E+07          4.79900E-03          3.72437E+08
     4      0      5      5              1096.79          4.14396E+06          6.11800E-04          3.72437E+08
     4      0      3      5              1087.47          5.65815E+06          1.29000E-03          3.72437E+08
     4      0      5      6              1133.18          4.56549E+05          7.19500E-05          3.72437E+08
     4      0      3      6              1123.89          7.01835E+05          1.71000E-04          3.72437E+08
     4      0      5      7              1168.87          1.00323E+04          1.68200E-06          3.72437E+08
     4      0      3      7              1159.69          2.78843E+04          7.23200E-06          3.72437E+08
     4      0      5      8              1203.36          1.86533E+02          3.31500E-08          3.72437E+08
     4      0      3      8              1194.41          6.70483E+01          1.84500E-08          3.72437E+08
     4      0      5      9              1236.01          1.21092E-02          2.27000E-12          3.72437E+08
     4      0      3      9              1227.45          1.70456E+02          4.95300E-08          3.72437E+08
     4      0      5     10              1266.06          1.30986E+02          2.57700E-08          3.72437E+08
     4      0      3     10              1258.09          2.90691E+02          8.87300E-08          3.72437E+08
     4      0      5     11              1292.54          4.20956E+01          8.63100E-09          3.72437E+08
     4      0      3     11              1285.41          2.68560E+01          8.55800E-09          3.72437E+08
     4      0      5     12              1314.25          9.48045E+00          2.01000E-09          3.72437E+08
     4      0      3     12              1308.30          5.00572E-02          1.65200E-11          3.72437E+08
