# Data for C- transitions (Q) 
#  Number of transitions: 42 
#  JU 	 VU 	 JL 	 VL 		 lambda [A] 		 osc strength f 		 Gamma [1/s]
     1      0      1      0              1009.77          2.38000E-02          1.18000E+09
     2      0      2      0              1010.94          2.38000E-02          1.18000E+09
     3      0      3      0              1012.68          2.38000E-02          1.18000E+09
     4      0      4      0              1014.98          2.39000E-02          1.17000E+09
     5      0      5      0              1017.83          2.39000E-02          1.17000E+09
     6      0      6      0              1021.21          2.39000E-02          1.17000E+09
     7      0      7      0              1025.09          2.39000E-02          1.16000E+09
     1      1      1      0               986.80          3.65000E-02          1.16000E+09
     2      1      2      0               987.97          3.65000E-02          1.16000E+09
     3      1      3      0               989.73          3.65000E-02          1.16000E+09
     4      1      4      0               992.05          3.66000E-02          1.15000E+09
     5      1      5      0               994.93          3.66000E-02          1.15000E+09
     6      1      6      0               998.34          3.67000E-02          1.15000E+09
     7      1      7      0              1002.26          3.67000E-02          1.14000E+09
     1      2      1      0               966.10          3.50000E-02          1.14000E+09
     2      2      2      0               967.28          3.50000E-02          1.14000E+09
     3      2      3      0               969.05          3.50000E-02          1.14000E+09
     4      2      4      0               971.39          3.51000E-02          1.13000E+09
     5      2      5      0               974.29          3.52000E-02          1.13000E+09
     6      2      6      0               977.73          3.52000E-02          1.13000E+09
     7      2      7      0               981.69          3.53000E-02          1.12000E+09
     1      3      1      0               947.42          2.74000E-02          1.12000E+09
     2      3      2      0               948.62          2.75000E-02          1.12000E+09
     3      3      3      0               950.40          2.75000E-02          1.12000E+09
     4      3      4      0               952.76          2.76000E-02          1.12000E+09
     5      3      5      0               955.68          2.76000E-02          1.11000E+09
     6      3      6      0               959.15          2.77000E-02          1.11000E+09
     7      3      7      0               963.15          2.78000E-02          1.11000E+09
     1      4      1      0               930.58          1.94000E-02          1.10000E+09
     2      4      2      0               931.78          1.94000E-02          1.10000E+09
     3      4      3      0               933.58          1.95000E-02          1.10000E+09
     4      4      4      0               935.96          1.95000E-02          1.10000E+09
     5      4      5      0               938.91          1.96000E-02          1.10000E+09
     6      4      6      0               942.41          1.97000E-02          1.10000E+09
     7      4      7      0               946.46          1.98000E-02          1.09000E+09
     1      5      1      0               915.40          1.30000E-02          1.09000E+09
     2      5      2      0               916.62          1.30000E-02          1.09000E+09
     3      5      3      0               918.43          1.31000E-02          1.09000E+09
     4      5      4      0               920.83          1.31000E-02          1.09000E+09
     5      5      5      0               923.82          1.32000E-02          1.08000E+09
     6      5      6      0               927.36          1.32000E-02          1.08000E+09
     7      5      7      0               931.45          1.33000E-02          1.08000E+09
