# Data for C+ transitions (P and R) 
#  Number of transitions: 608 
#  JU 	 VU 	 JL 	 VL 		 lambda [A] 		 osc strength f 		 Gamma [1/s]
     2      0      1      3              1144.27          3.99000E-02          1.18000E+09
    17      0     18      1              1144.45          5.09000E-02          1.09000E+09
     3      0      2      3              1144.49          3.23000E-02          1.18000E+09
     1      0      0      3              1144.56          7.84000E-02          1.18000E+09
     4      0      3      3              1145.23          2.88000E-02          1.18000E+09
    11      0     12      2              1145.32          3.56000E-02          1.15000E+09
    16      0     15      2              1145.74          3.66000E-02          1.11000E+09
    22      0     23      0              1146.15          1.95000E-02          1.06000E+09
     5      0      4      3              1146.50          2.59000E-02          1.17000E+09
    22      0     21      1              1146.98          2.19000E-02          1.06000E+09
     6      0      5      3              1148.49          7.84000E-03          1.16000E+09
     1      0      2      3              1148.54          7.33000E-03          1.18000E+09
     7      0      6      3              1150.36          2.83000E-02          1.17000E+09
     2      0      3      3              1150.86          1.03000E-02          1.18000E+09
    12      0     13      2              1151.64          3.99000E-02          1.14000E+09
    17      0     16      2              1151.92          2.73000E-02          1.09000E+09
    18      0     19      1              1152.29          4.92000E-02          1.10000E+09
     8      0      7      3              1153.06          2.68000E-02          1.16000E+09
     3      0      4      3              1153.65          1.20000E-02          1.18000E+09
    23      0     22      1              1154.72          2.39000E-02          1.06000E+09
    23      0     24      0              1155.13          2.16000E-02          1.06000E+09
     9      0      8      3              1156.20          2.55000E-02          1.16000E+09
     4      0      5      3              1156.91          1.31000E-02          1.18000E+09
    13      0     14      2              1158.04          2.80000E-02          1.13000E+09
    18      0     17      2              1158.21          3.73000E-02          1.10000E+09
    10      0      9      3              1159.37          2.20000E-02          1.13000E+09
    19      0     20      1              1160.48          4.15000E-02          9.59000E+08
     5      0      6      3              1160.60          1.39000E-02          1.17000E+09
    24      0     23      1              1162.56          2.52000E-02          1.05000E+09
    11      0     10      3              1163.53          2.68000E-02          1.15000E+09
    24      0     25      0              1164.17          2.25000E-02          1.05000E+09
    14      0     15      2              1164.87          3.96000E-02          1.13000E+09
    19      0     18      2              1164.92          6.98000E-03          9.59000E+08
     6      0      7      3              1164.95          1.03000E-02          1.16000E+09
    12      0     11      3              1167.81          2.61000E-02          1.14000E+09
    20      0     21      1              1168.41          5.15000E-02          1.08000E+09
     7      0      8      3              1169.05          1.38000E-02          1.17000E+09
    25      0     24      1              1170.49          2.80000E-02          1.04000E+09
    20      0     19      2              1171.42          3.76000E-02          1.08000E+09
    15      0     16      2              1171.89          4.49000E-02          1.10000E+09
    13      0     12      3              1172.22          2.50000E-02          1.13000E+09
    25      0     26      0              1173.26          2.45000E-02          1.04000E+09
     8      0      9      3              1173.89          1.46000E-02          1.16000E+09
    21      0     22      1              1176.57          5.01000E-02          1.07000E+09
    14      0     13      3              1177.17          2.66000E-02          1.13000E+09
    21      0     20      2              1178.20          4.04000E-02          1.07000E+09
    16      0     17      2              1178.84          4.07000E-02          1.11000E+09
     9      0     10      3              1179.03          1.47000E-02          1.16000E+09
    15      0     14      3              1182.38          2.50000E-02          1.10000E+09
    10      0     11      3              1184.08          1.21000E-02          1.13000E+09
    22      0     23      1              1184.81          5.53000E-02          1.06000E+09
    22      0     21      2              1185.11          3.68000E-02          1.06000E+09
    17      0     18      2              1186.07          4.49000E-02          1.09000E+09
    16      0     15      3              1187.57          2.65000E-02          1.11000E+09
    11      0     12      3              1190.01          1.60000E-02          1.15000E+09
     2      0      1      4              1191.47          1.19000E-02          1.18000E+09
     3      0      2      4              1191.55          1.01000E-02          1.18000E+09
    23      0     22      2              1192.05          4.02000E-02          1.06000E+09
     4      0      3      4              1192.12          9.75000E-03          1.18000E+09
    23      0     24      1              1193.04          5.41000E-02          1.06000E+09
    17      0     16      3              1193.14          2.77000E-02          1.09000E+09
     5      0      4      4              1193.17          1.05000E-02          1.17000E+09
    18      0     19      2              1193.29          4.27000E-02          1.10000E+09
     6      0      5      4              1194.94          1.70000E-02          1.16000E+09
    12      0     13      3              1195.92          1.54000E-02          1.14000E+09
     7      0      6      4              1196.49          6.65000E-03          1.17000E+09
     2      0      3      4              1198.21          2.87000E-03          1.18000E+09
    18      0     17      3              1198.75          2.65000E-02          1.10000E+09
     8      0      7      4              1198.87          8.12000E-03          1.16000E+09
    24      0     23      2              1199.02          4.18000E-02          1.05000E+09
    19      0     20      2              1200.83          3.24000E-02          9.59000E+08
    24      0     25      1              1201.25          5.42000E-02          1.05000E+09
     9      0      8      4              1201.63          9.55000E-03          1.16000E+09
    13      0     14      3              1201.83          1.86000E-02          1.13000E+09
     4      0      5      4              1204.05          3.10000E-03          1.18000E+09
    19      0     18      3              1204.74          2.43000E-02          9.59000E+08
    25      0     24      2              1206.01          4.38000E-02          1.04000E+09
    20      0     21      2              1208.00          4.49000E-02          1.08000E+09
    11      0     10      4              1208.10          7.16000E-03          1.15000E+09
    14      0     15      3              1208.14          1.70000E-02          1.13000E+09
    25      0     26      1              1209.44          5.00000E-02          1.04000E+09
    20      0     19      3              1210.44          2.70000E-02          1.08000E+09
    12      0     11      4              1211.87          9.03000E-03          1.14000E+09
    15      0     16      3              1214.58          1.07000E-02          1.10000E+09
    21      0     22      2              1215.35          4.51000E-02          1.07000E+09
     7      0      8      4              1215.53          5.28000E-03          1.17000E+09
    13      0     12      4              1215.73          3.22000E-03          1.13000E+09
    21      0     20      3              1216.36          2.54000E-02          1.07000E+09
     8      0      9      4              1220.04          4.23000E-03          1.16000E+09
    14      0     13      4              1220.08          7.62000E-03          1.13000E+09
    16      0     17      3              1220.87          1.82000E-02          1.11000E+09
    22      0     21      3              1222.34          2.89000E-02          1.06000E+09
    22      0     23      2              1222.70          4.65000E-02          1.06000E+09
    15      0     14      4              1224.63          1.25000E-02          1.10000E+09
     9      0     10      4              1224.81          3.32000E-03          1.16000E+09
    17      0     18      3              1227.39          1.34000E-02          1.09000E+09
    23      0     22      3              1228.26          2.71000E-02          1.06000E+09
    16      0     15      4              1229.11          7.10000E-03          1.11000E+09
    10      0     11      4              1229.40          1.19000E-02          1.13000E+09
    23      0     24      2              1229.95          4.75000E-02          1.06000E+09
    18      0     19      3              1233.81          1.87000E-02          1.10000E+09
    17      0     16      4              1233.89          9.99000E-03          1.09000E+09
    24      0     23      3              1234.12          2.63000E-02          1.05000E+09
    11      0     12      4              1234.87          5.04000E-03          1.15000E+09
    24      0     25      2              1237.10          4.84000E-02          1.05000E+09
    18      0     17      4              1238.66          7.11000E-03          1.10000E+09
    25      0     24      3              1239.89          2.27000E-02          1.04000E+09
    12      0     13      4              1240.23          3.85000E-03          1.14000E+09
     6      0      5      5              1241.79          3.62000E-03          1.16000E+09
    19      0     18      4              1243.74          9.69000E-03          9.59000E+08
    25      0     26      2              1244.11          4.95000E-02          1.04000E+09
    13      0     14      4              1245.52          7.32000E-03          1.13000E+09
    20      0     21      3              1246.71          1.84000E-02          1.08000E+09
    20      0     19      4              1248.42          7.19000E-03          1.08000E+09
    14      0     15      4              1251.15          4.60000E-03          1.13000E+09
    21      0     22      3              1253.01          1.98000E-02          1.07000E+09
    21      0     20      4              1253.26          6.73000E-03          1.07000E+09
    22      0     21      4              1258.05          6.88000E-03          1.06000E+09
    22      0     23      3              1259.22          1.65000E-02          1.06000E+09
    16      0     17      4              1262.28          4.50000E-03          1.11000E+09
    23      0     22      4              1262.67          6.62000E-03          1.06000E+09
    23      0     24      3              1265.21          1.78000E-02          1.06000E+09
    24      0     23      4              1267.11          6.44000E-03          1.05000E+09
    17      0     18      4              1267.89          3.50000E-03          1.09000E+09
    24      0     25      3              1270.97          1.75000E-02          1.05000E+09
    25      0     24      4              1271.30          6.76000E-03          1.04000E+09
    18      0     19      4              1273.30          3.94000E-03          1.10000E+09
    25      0     26      3              1276.44          1.74000E-02          1.04000E+09
    20      0     21      4              1283.88          3.28000E-03          1.08000E+09
     6      0      5      6              1288.65          3.95000E-03          1.16000E+09
    22      0     23      4              1293.58          2.82000E-03          1.06000E+09
    10      0      9      6              1294.09          5.23000E-03          1.13000E+09
     6      0      7      6              1305.74          5.30000E-03          1.16000E+09
    10      0     11      6              1319.13          2.96000E-03          1.13000E+09
    10      0      9      8              1379.66          4.61000E-03          1.13000E+09
     6      0      5      8              1380.18          6.25000E-03          1.16000E+09
     6      0      7      8              1396.79          5.59000E-03          1.16000E+09
    10      0     11      9              1440.92          3.77000E-03          1.13000E+09
    12      1     11      3              1140.40          5.21000E-03          1.05000E+09
    24      1     23      1              1142.06          1.38000E-02          1.04000E+09
    24      1     25      0              1143.61          2.95000E-02          1.04000E+09
     8      1      9      3              1144.35          2.97000E-02          1.14000E+09
    13      1     12      3              1144.78          1.50000E-02          1.11000E+09
    20      1     21      1              1145.12          2.08000E-02          9.99000E+08
    15      1     16      2              1145.23          3.29000E-03          1.10000E+09
     9      1     10      3              1149.85          3.20000E-02          1.09000E+09
    14      1     13      3              1150.00          1.18000E-02          1.10000E+09
    25      1     24      1              1150.43          1.51000E-02          1.03000E+09
    16      1     17      2              1152.64          2.98000E-03          1.09000E+09
    25      1     26      0              1153.10          3.03000E-02          1.03000E+09
    21      1     22      1              1153.49          1.71000E-02          1.06000E+09
    10      1     11      3              1154.91          2.68000E-02          1.13000E+09
    15      1     14      3              1155.24          1.63000E-02          1.10000E+09
     2      1      1      4              1159.70          6.60000E-02          1.16000E+09
     3      1      2      4              1159.91          5.06000E-02          1.16000E+09
    17      1     18      2              1159.98          3.40000E-03          1.09000E+09
     1      1      0      4              1160.00          1.34000E-01          1.16000E+09
     4      1      3      4              1160.65          3.93000E-02          1.15000E+09
    11      1     12      3              1160.80          3.22000E-02          1.12000E+09
    16      1     15      3              1160.99          1.29000E-02          1.09000E+09
     5      1      4      4              1161.39          5.01000E-02          1.12000E+09
    22      1     23      1              1162.05          1.54000E-02          1.05000E+09
    22      1     21      2              1162.34          9.62000E-04          1.05000E+09
     6      1      5      4              1163.32          4.77000E-02          1.15000E+09
     1      1      2      4              1163.85          1.37000E-02          1.16000E+09
