# Data for D+ transitions (P and R) 
#  JU 	 VU 	 JL 	 VL 		 lambda [A] 		 Aul [1/s] 		 oscillator strength f 		 Gamma [1/s]
     1      0      2      0               888.25          1.59067E+07          1.12891E-03          3.54793E+08
     1      0      0      0               885.46          2.22335E+07          7.84018E-03          3.54793E+08
     1      0      2      1               922.19          4.37050E+07          3.34334E-03          3.54793E+08
     1      0      0      1               919.33          6.23994E+07          2.37196E-02          3.54793E+08
     1      0      2      2               956.67          4.66364E+07          3.83937E-03          3.54793E+08
     1      0      0      2               953.76          7.13479E+07          2.91901E-02          3.54793E+08
     1      0      2      3               991.56          2.39519E+07          2.11832E-03          3.54793E+08
     1      0      0      3               988.60          4.34042E+07          1.90789E-02          3.54793E+08
     1      0      2      4              1026.70          5.72993E+06          5.43304E-04          3.54793E+08
     1      0      0      4              1023.70          1.53123E+07          7.21710E-03          3.54793E+08
     1      0      2      5              1061.85          4.51509E+05          4.57934E-05          3.54793E+08
     1      0      0      5              1058.83          3.24517E+06          1.63633E-03          3.54793E+08
     1      0      2      6              1096.75          1.45022E+02          1.56913E-08          3.54793E+08
     1      0      0      6              1093.74          4.25589E+05          2.28979E-04          3.54793E+08
     1      0      2      7              1131.04          1.15028E+04          1.32364E-06          3.54793E+08
     1      0      0      7              1128.06          2.96467E+04          1.69677E-05          3.54793E+08
     1      0      2      8              1164.29          1.53163E+03          1.86761E-07          3.54793E+08
     1      0      0      8              1161.38          4.46229E+02          2.70699E-07          3.54793E+08
     1      0      2      9              1195.95          4.41965E+01          5.68619E-09          3.54793E+08
     1      0      0      9              1193.15          8.33323E+00          5.33563E-09          3.54793E+08
     1      0      2     10              1225.33          1.78029E+01          2.40441E-09          3.54793E+08
     1      0      0     10              1222.72          4.10343E-02          2.75917E-11          3.54793E+08
     1      0      2     11              1251.61          6.24157E+01          8.79505E-09          3.54793E+08
     1      0      0     11              1249.24          1.35104E+02          9.48293E-08          3.54793E+08
     1      0      2     12              1273.74          6.65003E+01          9.70490E-09          3.54793E+08
