# Data for B+ transitions (P and R) 
#  Number of transitions: 18726 
#  JU 	 VU 	 JL 	 VL 		 lambda [A] 		 osc strength f 		 Gamma [1/s]
     0      0      1      0              1110.06          5.74200E-04          1.86520E+09
     0      0      1      1              1163.74          4.35800E-03          1.86520E+09
     0      0      1      2              1219.37          1.49400E-02          1.86520E+09
     0      0      1      3              1276.81          3.06000E-02          1.86520E+09
     0      0      1      4              1335.87          4.15000E-02          1.86520E+09
     0      0      1      5              1396.22          3.87600E-02          1.86520E+09
     0      0      1      6              1457.43          2.49700E-02          1.86520E+09
     0      0      1      7              1518.89          1.06900E-02          1.86520E+09
     0      0      1      8              1579.77          2.75900E-03          1.86520E+09
     0      0      1      9              1638.97          3.38200E-04          1.86520E+09
     0      0      1     10              1695.07          8.33400E-06          1.86520E+09
     0      0      1     11              1746.24          2.82200E-07          1.86520E+09
     0      0      1     12              1790.20          4.61400E-09          1.86520E+09
     0      0      1     13              1824.11          4.99600E-09          1.86520E+09
     0      0      1     14              1844.57          1.11400E-09          1.86520E+09
     1      0      2      0              1112.50          6.91800E-04          1.86315E+09
     1      0      0      0              1108.13          1.66600E-03          1.86315E+09
     1      0      2      1              1166.25          5.24900E-03          1.86315E+09
     1      0      0      1              1161.69          1.27400E-02          1.86315E+09
     1      0      2      2              1221.96          1.79700E-02          1.86315E+09
     1      0      0      2              1217.21          4.40700E-02          1.86315E+09
     1      0      2      3              1279.46          3.67600E-02          1.86315E+09
     1      0      0      3              1274.53          9.11900E-02          1.86315E+09
     1      0      2      4              1338.57          4.97100E-02          1.86315E+09
     1      0      0      4              1333.48          1.25100E-01          1.86315E+09
     1      0      2      5              1398.95          4.62600E-02          1.86315E+09
     1      0      0      5              1393.72          1.18300E-01          1.86315E+09
     1      0      2      6              1460.17          2.96400E-02          1.86315E+09
     1      0      0      6              1454.83          7.73400E-02          1.86315E+09
     1      0      2      7              1521.59          1.25900E-02          1.86315E+09
     1      0      0      7              1516.20          3.36600E-02          1.86315E+09
     1      0      2      8              1582.38          3.20300E-03          1.86315E+09
     1      0      0      8              1577.01          8.88200E-03          1.86315E+09
     1      0      2      9              1641.43          3.80500E-04          1.86315E+09
     1      0      0      9              1636.17          1.13100E-03          1.86315E+09
     1      0      2     10              1697.29          8.41400E-06          1.86315E+09
     1      0      0     10              1692.28          3.08900E-05          1.86315E+09
     1      0      2     11              1748.12          3.58500E-07          1.86315E+09
     1      0      0     11              1743.52          8.79000E-07          1.86315E+09
     1      0      2     12              1791.60          3.57600E-09          1.86315E+09
