# Data for B+ transitions (P and R) 
#  Number of transitions: 2371 
#  JU 	 VU 	 JL 	 VL 		 lambda [A] 		 osc strength f 		 Gamma [1/s]
     7      0      8      0              1146.86          7.28000E-04          1.24000E+09
    10      0      9      0              1147.17          5.07000E-04          1.07000E+09
     8      0      9      0              1155.71          7.03000E-04          1.18000E+09
    11      0     10      0              1156.06          4.59000E-04          1.03000E+09
     1      0      0      1              1161.69          1.33000E-02          1.74000E+09
     2      0      1      1              1162.17          8.69000E-03          1.63000E+09
     3      0      2      1              1163.65          7.60000E-03          1.54000E+09
     0      0      1      1              1163.74          4.57000E-03          1.87000E+09
     9      0     10      0              1165.40          6.74000E-04          1.12000E+09
    12      0     11      0              1165.79          4.14000E-04          9.82000E+08
     4      0      3      1              1166.11          7.00000E-03          1.45000E+09
     1      0      2      1              1166.26          5.51000E-03          1.74000E+09
     5      0      4      1              1169.56          6.54000E-03          1.37000E+09
     2      0      3      1              1169.75          5.91000E-03          1.63000E+09
     6      0      5      1              1173.98          6.14000E-03          1.30000E+09
     3      0      4      1              1174.21          6.10000E-03          1.54000E+09
    10      0     11      0              1175.90          6.42000E-04          1.07000E+09
     7      0      6      1              1179.36          5.76000E-03          1.24000E+09
     4      0      5      1              1179.63          6.18000E-03          1.45000E+09
     8      0      7      1              1185.66          5.40000E-03          1.18000E+09
     5      0      6      1              1185.97          6.19000E-03          1.37000E+09
    11      0     12      0              1187.18          6.09000E-04          1.03000E+09
    14      0     13      0              1187.65          3.36000E-04          9.03000E+08
     9      0      8      1              1192.88          5.04000E-03          1.12000E+09
     6      0      7      1              1193.23          6.14000E-03          1.30000E+09
    12      0     13      0              1199.23          5.75000E-04          9.82000E+08
    10      0      9      1              1200.99          4.69000E-03          1.07000E+09
     7      0      8      1              1201.36          6.04000E-03          1.24000E+09
    11      0     10      1              1209.95          4.36000E-03          1.03000E+09
     8      0      9      1              1210.36          5.92000E-03          1.18000E+09
    16      0     15      0              1212.52          2.72000E-04          8.35000E+08
     1      0      0      2              1217.21          4.83000E-02          1.74000E+09
     2      0      1      2              1217.64          3.17000E-02          1.63000E+09
     3      0      2      2              1219.09          2.80000E-02          1.54000E+09
     0      0      1      2              1219.37          1.64000E-02          1.87000E+09
    12      0     11      1              1219.75          4.04000E-03          9.82000E+08
     9      0     10      1              1220.19          5.77000E-03          1.12000E+09
     4      0      3      2              1221.54          2.61000E-02          1.45000E+09
     1      0      2      2              1221.96          1.98000E-02          1.74000E+09
     5      0      4      2              1224.99          2.48000E-02          1.37000E+09
    14      0     15      0              1225.49          5.10000E-04          9.03000E+08
     2      0      3      2              1225.54          2.12000E-02          1.63000E+09
     6      0      5      2              1229.41          2.37000E-02          1.30000E+09
     3      0      4      2              1230.09          2.20000E-02          1.54000E+09
    13      0     12      1              1230.35          3.75000E-03          9.41000E+08
    10      0     11      1              1230.82          5.60000E-03          1.07000E+09
     7      0      6      2              1234.79          2.26000E-02          1.24000E+09
     4      0      5      2              1235.60          2.24000E-02          1.45000E+09
     8      0      7      2              1241.11          2.16000E-02          1.18000E+09
    14      0     13      1              1241.73          3.47000E-03          9.03000E+08
     5      0      6      2              1242.05          2.26000E-02          1.37000E+09
    11      0     12      1              1242.24          5.42000E-03          1.03000E+09
     9      0      8      2              1248.34          2.06000E-02          1.12000E+09
     6      0      7      2              1249.40          2.26000E-02          1.30000E+09
    15      0     14      1              1253.85          3.22000E-03          8.68000E+08
    12      0     13      1              1254.39          5.23000E-03          9.82000E+08
    16      0     17      0              1254.47          4.54000E-04          8.35000E+08
    10      0      9      2              1256.46          1.97000E-02          1.07000E+09
     7      0      8      2              1257.64          2.26000E-02          1.24000E+09
    11      0     10      2              1265.43          1.88000E-02          1.03000E+09
    16      0     15      1              1266.67          3.00000E-03          8.35000E+08
     8      0      9      2              1266.72          2.24000E-02          1.18000E+09
    13      0     14      1              1267.27          5.05000E-03          9.41000E+08
     1      0      0      3              1274.54          1.05000E-01          1.74000E+09
     2      0      1      3              1274.92          6.93000E-02          1.63000E+09
    12      0     11      2              1275.23          1.79000E-02          9.82000E+08
     3      0      2      3              1276.32          6.19000E-02          1.54000E+09
     9      0     10      2              1276.63          2.22000E-02          1.12000E+09
     0      0      1      3              1276.81          3.52000E-02          1.87000E+09
