# Data for C- transitions (Q) 
#  Number of transitions: 303 
#  JU 	 VU 	 JL 	 VL 		 lambda [A] 		 osc strength f 		 Gamma [1/s]
    19      0     19      1              1142.71          7.35000E-02          1.09000E+09
    13      0     13      2              1143.69          7.67000E-02          1.13000E+09
     1      0      1      3              1145.90          3.83000E-02          1.18000E+09
     2      0      2      3              1146.95          3.84000E-02          1.18000E+09
     3      0      3      3              1148.51          3.85000E-02          1.18000E+09
    14      0     14      2              1149.77          7.77000E-02          1.12000E+09
    20      0     20      1              1150.42          7.47000E-02          1.08000E+09
     4      0      4      3              1150.56          3.87000E-02          1.17000E+09
     5      0      5      3              1153.10          3.88000E-02          1.17000E+09
    15      0     15      2              1156.07          7.89000E-02          1.12000E+09
     6      0      6      3              1156.09          3.90000E-02          1.17000E+09
    21      0     21      1              1158.24          7.61000E-02          1.07000E+09
     7      0      7      3              1159.50          3.93000E-02          1.16000E+09
    16      0     16      2              1162.58          8.01000E-02          1.11000E+09
     8      0      8      3              1163.32          3.96000E-02          1.16000E+09
    22      0     22      1              1166.16          7.75000E-02          1.07000E+09
     9      0      9      3              1167.50          3.99000E-02          1.15000E+09
    17      0     17      2              1169.26          8.14000E-02          1.10000E+09
    10      0     10      3              1172.03          4.02000E-02          1.15000E+09
    23      0     23      1              1174.15          7.91000E-02          1.06000E+09
    18      0     18      2              1176.08          8.28000E-02          1.10000E+09
    11      0     11      3              1176.87          4.06000E-02          1.14000E+09
    12      0     12      3              1181.99          4.10000E-02          1.14000E+09
    19      0     19      2              1183.02          8.42000E-02          1.09000E+09
    13      0     13      3              1187.35          4.14000E-02          1.13000E+09
    20      0     20      2              1190.05          8.57000E-02          1.08000E+09
    14      0     14      3              1192.93          4.18000E-02          1.12000E+09
     1      0      1      4              1193.25          1.10000E-02          1.18000E+09
     2      0      2      4              1194.22          1.10000E-02          1.18000E+09
     3      0      3      4              1195.67          1.10000E-02          1.18000E+09
    21      0     21      2              1197.14          8.74000E-02          1.07000E+09
     4      0      4      4              1197.58          1.10000E-02          1.17000E+09
    15      0     15      3              1198.68          4.22000E-02          1.12000E+09
     5      0      5      4              1199.92          1.10000E-02          1.17000E+09
     6      0      6      4              1202.68          1.10000E-02          1.17000E+09
    22      0     22      2              1204.24          8.91000E-02          1.07000E+09
    16      0     16      3              1204.58          4.27000E-02          1.11000E+09
     7      0      7      4              1205.82          1.10000E-02          1.16000E+09
     8      0      8      4              1209.33          1.10000E-02          1.16000E+09
    17      0     17      3              1210.59          4.31000E-02          1.10000E+09
    23      0     23      2              1211.35          9.09000E-02          1.06000E+09
     9      0      9      4              1213.15          1.10000E-02          1.15000E+09
    18      0     18      3              1216.69          4.34000E-02          1.10000E+09
    10      0     10      4              1217.27          1.10000E-02          1.15000E+09
    11      0     11      4              1221.64          1.10000E-02          1.14000E+09
    19      0     19      3              1222.84          4.37000E-02          1.09000E+09
    12      0     12      4              1226.23          1.09000E-02          1.14000E+09
    20      0     20      3              1229.00          4.39000E-02          1.08000E+09
    13      0     13      4              1231.02          1.09000E-02          1.13000E+09
    21      0     21      3              1235.14          4.41000E-02          1.07000E+09
    14      0     14      4              1235.96          1.08000E-02          1.12000E+09
    15      0     15      4              1241.01          1.07000E-02          1.12000E+09
    22      0     22      3              1241.21          4.41000E-02          1.07000E+09
    16      0     16      4              1246.14          1.05000E-02          1.11000E+09
     5      0      5      5              1247.17          1.51000E-03          1.17000E+09
    23      0     23      3              1247.18          4.39000E-02          1.06000E+09
    17      0     17      4              1251.30          1.03000E-02          1.10000E+09
     7      0      7      5              1252.43          1.47000E-03          1.16000E+09
    18      0     18      4              1256.48          1.01000E-02          1.10000E+09
     9      0      9      5              1258.88          1.40000E-03          1.15000E+09
    19      0     19      4              1261.62          9.75000E-03          1.09000E+09
    11      0     11      5              1266.26          1.32000E-03          1.14000E+09
    20      0     20      4              1266.68          9.33000E-03          1.08000E+09
    21      0     21      4              1271.61          8.81000E-03          1.07000E+09
    13      0     13      5              1274.24          1.21000E-03          1.13000E+09
    22      0     22      4              1276.36          8.16000E-03          1.07000E+09
    23      0     23      4              1280.88          7.38000E-03          1.06000E+09
    10      1     10      3              1143.32          4.91000E-02          1.13000E+09
    17      1     17      2              1144.07          7.09000E-04          1.09000E+09
    22      1     22      1              1144.19          3.34000E-02          1.05000E+09
    11      1     11      3              1148.33          4.98000E-02          1.12000E+09
    12      1     12      3              1153.64          5.06000E-02          1.12000E+09
    19      1     19      2              1158.45          7.82000E-04          1.07000E+09
    13      1     13      3              1159.22          5.15000E-02          1.11000E+09
     1      1      1      4              1161.30          6.77000E-02          1.16000E+09
     2      1      2      4              1162.31          6.79000E-02          1.16000E+09
     3      1      3      4              1163.81          6.81000E-02          1.16000E+09
    14      1     14      3              1165.04          5.25000E-02          1.11000E+09
     4      1      4      4              1165.78          6.84000E-02          1.15000E+09
     5      1      5      4              1168.21          6.88000E-02          1.15000E+09
    15      1     15      3              1171.07          5.36000E-02          1.10000E+09
     6      1      6      4              1171.08          6.93000E-02          1.15000E+09
    21      1     21      2              1173.30          9.43000E-04          1.06000E+09
     7      1      7      4              1174.35          6.98000E-02          1.14000E+09
    16      1     16      3              1177.27          5.49000E-02          1.09000E+09
     8      1      8      4              1178.00          7.04000E-02          1.14000E+09
     9      1      9      4              1182.00          7.11000E-02          1.13000E+09
    17      1     17      3              1183.62          5.64000E-02          1.09000E+09
    10      1     10      4              1186.32          7.19000E-02          1.13000E+09
    18      1     18      3              1190.07          5.80000E-02          1.08000E+09
    11      1     11      4              1190.91          7.28000E-02          1.12000E+09
    12      1     12      4              1195.75          7.37000E-02          1.12000E+09
    19      1     19      3              1196.60          6.00000E-02          1.07000E+09
    13      1     13      4              1200.81          7.47000E-02          1.11000E+09
    20      1     20      3              1203.19          6.22000E-02          1.07000E+09
    14      1     14      4              1206.05          7.57000E-02          1.11000E+09
     1      1      1      5              1206.64          3.32000E-02          1.16000E+09
     2      1      2      5              1207.57          3.32000E-02          1.16000E+09
     3      1      3      5              1208.94          3.32000E-02          1.16000E+09
    21      1     21      3              1209.78          6.49000E-02          1.06000E+09
     4      1      4      5              1210.74          3.32000E-02          1.15000E+09
    15      1     15      4              1211.43          7.69000E-02          1.10000E+09
     5      1      5      5              1212.96          3.32000E-02          1.15000E+09
     6      1      6      5              1215.56          3.32000E-02          1.15000E+09
    22      1     22      3              1216.35          6.81000E-02          1.05000E+09
    16      1     16      4              1216.94          7.81000E-02          1.09000E+09
     7      1      7      5              1218.51          3.32000E-02          1.14000E+09
     8      1      8      5              1221.80          3.32000E-02          1.14000E+09
    17      1     17      4              1222.50          7.93000E-02          1.09000E+09
     9      1      9      5              1225.37          3.31000E-02          1.13000E+09
    18      1     18      4              1228.10          8.06000E-02          1.08000E+09
    10      1     10      5              1229.22          3.31000E-02          1.13000E+09
    11      1     11      5              1233.27          3.30000E-02          1.12000E+09
    19      1     19      4              1233.71          8.19000E-02          1.07000E+09
    12      1     12      5              1237.51          3.28000E-02          1.12000E+09
    20      1     20      4              1239.28          8.33000E-02          1.07000E+09
    13      1     13      5              1241.91          3.26000E-02          1.11000E+09
    21      1     21      4              1244.75          8.45000E-02          1.06000E+09
    14      1     14      5              1246.41          3.23000E-02          1.11000E+09
    22      1     22      4              1250.09          8.57000E-02          1.05000E+09
    15      1     15      5              1250.98          3.19000E-02          1.10000E+09
     1      1      1      6              1252.09          6.48000E-03          1.16000E+09
     3      1      3      6              1254.11          6.39000E-03          1.16000E+09
    16      1     16      5              1255.59          3.13000E-02          1.09000E+09
     5      1      5      6              1257.63          6.22000E-03          1.15000E+09
     6      1      6      6              1259.89          6.11000E-03          1.15000E+09
    17      1     17      5              1260.17          3.06000E-02          1.09000E+09
     7      1      7      6              1262.45          5.97000E-03          1.14000E+09
    18      1     18      5              1264.69          2.96000E-02          1.08000E+09
     8      1      8      6              1265.27          5.81000E-03          1.14000E+09
     9      1      9      6              1268.31          5.63000E-03          1.13000E+09
    19      1     19      5              1269.12          2.84000E-02          1.07000E+09
    10      1     10      6              1271.55          5.41000E-03          1.13000E+09
    20      1     20      5              1273.38          2.68000E-02          1.07000E+09
    11      1     11      6              1274.92          5.17000E-03          1.12000E+09
    21      1     21      5              1277.42          2.48000E-02          1.06000E+09
    12      1     12      6              1278.40          4.89000E-03          1.12000E+09
    22      1     22      5              1281.16          2.23000E-02          1.05000E+09
    13      1     13      6              1281.95          4.57000E-03          1.11000E+09
    14      1     14      6              1285.53          4.21000E-03          1.11000E+09
    15      1     15      6              1289.07          3.81000E-03          1.10000E+09
    17      1     17      6              1295.89          2.85000E-03          1.09000E+09
    19      1     19      6              1301.95          1.75000E-03          1.07000E+09
    14      2     14      3              1140.11          1.69000E-02          1.09000E+09
     6      2      6      4              1142.83          8.86000E-03          1.13000E+09
    20      2     20      2              1144.25          2.32000E-02          1.05000E+09
     7      2      7      4              1146.21          9.07000E-03          1.12000E+09
    15      2     15      3              1146.39          1.70000E-02          1.08000E+09
     8      2      8      4              1149.99          9.31000E-03          1.12000E+09
    21      2     21      2              1152.09          2.34000E-02          1.05000E+09
    16      2     16      3              1152.87          1.71000E-02          1.08000E+09
     9      2      9      4              1154.15          9.60000E-03          1.12000E+09
    10      2     10      4              1158.65          9.93000E-03          1.11000E+09
    17      2     17      3              1159.52          1.70000E-02          1.07000E+09
    22      2     22      2              1160.03          2.36000E-02          1.04000E+09
    11      2     11      4              1163.44          1.03000E-02          1.11000E+09
    18      2     18      3              1166.32          1.70000E-02          1.07000E+09
    12      2     12      4              1168.51          1.08000E-02          1.10000E+09
    19      2     19      3              1173.22          1.68000E-02          1.06000E+09
    13      2     13      4              1173.83          1.13000E-02          1.10000E+09
     1      2      1      5              1175.83          6.66000E-02          1.14000E+09
     2      2      2      5              1176.79          6.68000E-02          1.14000E+09
     3      2      3      5              1178.22          6.72000E-02          1.14000E+09
    14      2     14      4              1179.35          1.19000E-02          1.09000E+09
     4      2      4      5              1180.11          6.77000E-02          1.13000E+09
