# Data for C+ transitions (P and R) 
#  Number of transitions: 5619 
#  JU 	 VU 	 JL 	 VL 		 lambda [A] 		 osc strength f 		 Gamma [1/s]
     1      0      2      0              1012.17          5.51300E-03          1.18000E+09
     1      0      0      0              1008.55          4.39800E-02          1.18000E+09
     1      0      2      1              1056.47          1.45500E-02          1.18000E+09
     1      0      0      1              1052.73          1.24200E-01          1.18000E+09
     1      0      2      2              1101.98          1.45000E-02          1.18000E+09
     1      0      0      2              1098.11          1.37800E-01          1.18000E+09
     1      0      2      3              1148.53          7.08900E-03          1.18000E+09
     1      0      0      3              1144.56          7.60800E-02          1.18000E+09
     1      0      2      4              1195.94          1.94200E-03          1.18000E+09
     1      0      0      4              1191.87          2.11700E-02          1.18000E+09
     1      0      2      5              1243.91          3.25900E-04          1.18000E+09
     1      0      0      5              1239.77          2.59200E-03          1.18000E+09
     1      0      2      6              1292.07          1.81200E-05          1.18000E+09
     1      0      0      6              1287.89          1.32700E-04          1.18000E+09
     1      0      2      7              1339.93          2.93500E-06          1.18000E+09
     1      0      0      7              1335.75          1.91800E-05          1.18000E+09
     1      0      2      8              1386.85          2.96400E-07          1.18000E+09
     1      0      0      8              1382.72          9.23000E-07          1.18000E+09
     1      0      2      9              1432.00          4.86700E-06          1.18000E+09
     1      0      0      9              1428.00          1.19400E-05          1.18000E+09
     1      0      2     10              1474.33          5.71600E-08          1.18000E+09
     1      0      0     10              1470.55          2.59600E-10          1.18000E+09
     1      0      2     11              1512.54          4.24800E-06          1.18000E+09
     1      0      0     11              1509.09          1.17900E-05          1.18000E+09
     1      0      2     12              1544.97          2.18300E-06          1.18000E+09
     1      0      0     12              1542.02          4.53200E-06          1.18000E+09
     1      0      2     13              1569.63          5.92500E-06          1.18000E+09
     1      0      0     13              1567.38          9.12900E-06          1.18000E+09
     1      0      2     14              1584.05          4.50400E-06          1.18000E+09
     1      0      0     14              1582.80          1.98200E-05          1.18000E+09
     2      0      3      0              1014.50          8.28200E-03          1.17907E+09
     2      0      1      0              1008.50          2.05300E-02          1.17907E+09
     2      0      3      1              1058.82          2.17300E-02          1.17907E+09
     2      0      1      1              1052.61          5.88300E-02          1.17907E+09
     2      0      3      2              1104.32          2.11900E-02          1.17907E+09
     2      0      1      2              1097.91          6.72900E-02          1.17907E+09
     2      0      3      3              1150.85          9.97000E-03          1.17907E+09
     2      0      1      3              1144.26          3.87500E-02          1.17907E+09
     2      0      3      4              1198.21          2.65800E-03          1.17907E+09
     2      0      1      4              1191.47          1.10500E-02          1.17907E+09
     2      0      3      5              1246.11          4.80800E-04          1.17907E+09
     2      0      1      5              1239.24          1.23800E-03          1.17907E+09
     2      0      3      6              1294.15          3.14700E-05          1.17907E+09
     2      0      1      6              1287.23          4.81300E-05          1.17907E+09
     2      0      3      7              1341.86          8.27300E-06          1.17907E+09
     2      0      1      7              1334.94          2.17400E-05          1.17907E+09
     2      0      3      8              1388.56          1.59200E-06          1.17907E+09
     2      0      1      8              1381.73          4.24700E-06          1.17907E+09
     2      0      3      9              1433.42          1.29000E-05          1.17907E+09
     2      0      1      9              1426.81          1.83700E-05          1.17907E+09
     2      0      3     10              1475.38          7.02400E-09          1.17907E+09
     2      0      1     10              1469.14          5.89000E-07          1.17907E+09
     2      0      3     11              1513.10          1.21900E-05          1.17907E+09
     2      0      1     11              1507.42          2.15300E-05          1.17907E+09
     2      0      3     12              1544.91          5.08700E-06          1.17907E+09
     2      0      1     12              1540.07          5.29900E-06          1.17907E+09
     2      0      3     13              1568.75          1.71300E-05          1.17907E+09
     2      0      1     13              1565.10          1.14500E-05          1.17907E+09
     2      0      3     14              1582.07          7.98400E-06          1.17907E+09
     2      0      1     14              1580.14          3.53100E-05          1.17907E+09
     3      0      4      0              1017.38          9.95100E-03          1.17756E+09
     3      0      2      0              1009.02          1.56600E-02          1.17756E+09
     3      0      4      1              1061.70          2.63500E-02          1.17756E+09
     3      0      2      1              1053.05          4.48000E-02          1.17756E+09
     3      0      4      2              1107.17          2.54800E-02          1.17756E+09
     3      0      2      2              1098.25          5.21600E-02          1.17756E+09
     3      0      4      3              1153.65          1.15300E-02          1.17756E+09
     3      0      2      3              1144.49          3.13300E-02          1.17756E+09
     3      0      4      4              1200.92          2.91000E-03          1.17756E+09
     3      0      2      4              1191.55          9.37600E-03          1.17756E+09
     3      0      4      5              1248.69          5.59900E-04          1.17756E+09
     3      0      2      5              1239.16          9.94300E-04          1.17756E+09
     3      0      4      6              1296.56          5.07200E-05          1.17756E+09
     3      0      2      6              1286.95          1.91500E-05          1.17756E+09
     3      0      4      7              1344.02          1.32700E-05          1.17756E+09
     3      0      2      7              1334.42          2.24900E-05          1.17756E+09
     3      0      4      8              1390.40          6.39700E-06          1.17756E+09
     3      0      2      8              1380.95          1.46600E-05          1.17756E+09
     3      0      4      9              1434.85          2.20000E-05          1.17756E+09
     3      0      2      9              1425.71          2.33500E-05          1.17756E+09
     3      0      4     10              1476.28          3.80400E-07          1.17756E+09
     3      0      2     10              1467.67          5.04200E-06          1.17756E+09
     3      0      4     11              1513.31          2.44800E-05          1.17756E+09
     3      0      2     11              1505.52          3.58600E-05          1.17756E+09
     3      0      4     12              1544.26          6.97400E-06          1.17756E+09
     3      0      2     12              1537.66          4.03600E-06          1.17756E+09
     3      0      4     13              1566.99          3.27900E-05          1.17756E+09
     3      0      2     13              1562.08          1.25600E-05          1.17756E+09
     3      0      2     14              1576.37          5.56400E-05          1.17756E+09
     4      0      5      0              1020.80          1.08500E-02          1.17541E+09
     4      0      3      0              1010.13          1.38100E-02          1.17541E+09
     4      0      5      1              1065.09          2.96800E-02          1.17541E+09
     4      0      3      1              1054.06          3.83500E-02          1.17541E+09
     4      0      5      2              1110.51          2.89600E-02          1.17541E+09
     4      0      3      2              1099.14          4.44900E-02          1.17541E+09
     4      0      5      3              1156.90          1.25400E-02          1.17541E+09
     4      0      3      3              1145.23          2.79200E-02          1.17541E+09
     4      0      5      4              1204.04          2.85700E-03          1.17541E+09
     4      0      3      4              1192.11          9.08200E-03          1.17541E+09
     4      0      5      5              1251.63          5.87000E-04          1.17541E+09
     4      0      3      5              1239.51          9.52300E-04          1.17541E+09
     4      0      5      6              1299.25          9.14200E-05          1.17541E+09
     4      0      3      6              1287.04          1.43200E-06          1.17541E+09
     4      0      5      7              1346.39          1.64400E-05          1.17541E+09
     4      0      3      7              1334.21          1.61200E-05          1.17541E+09
     4      0      5      8              1392.35          2.40700E-05          1.17541E+09
     4      0      3      8              1380.38          4.56500E-05          1.17541E+09
     4      0      5      9              1436.25          3.37300E-05          1.17541E+09
     4      0      3      9              1424.70          2.39600E-05          1.17541E+09
     4      0      5     10              1476.99          5.13400E-06          1.17541E+09
     4      0      3     10              1466.15          2.48000E-05          1.17541E+09
     4      0      5     11              1513.15          5.00500E-05          1.17541E+09
     4      0      3     11              1503.39          5.93600E-05          1.17541E+09
     4      0      5     12              1542.98          7.47900E-06          1.17541E+09
     4      0      3     12              1534.79          9.51000E-07          1.17541E+09
     4      0      5     13              1564.26          6.30400E-05          1.17541E+09
     4      0      3     13              1558.32          1.41000E-05          1.17541E+09
     4      0      3     14              1571.46          8.59300E-05          1.17541E+09
     5      0      6      0              1024.73          1.05200E-02          1.17178E+09
     5      0      4      0              1011.81          1.39700E-02          1.17178E+09
     5      0      6      1              1068.98          3.19000E-02          1.17178E+09
     5      0      4      1              1055.63          3.48000E-02          1.17178E+09
     5      0      6      2              1114.33          3.28500E-02          1.17178E+09
     5      0      4      2              1100.57          3.77600E-02          1.17178E+09
     5      0      6      3              1160.60          1.33100E-02          1.17178E+09
     5      0      4      3              1146.49          2.50500E-02          1.17178E+09
     5      0      6      4              1207.57          2.33000E-03          1.17178E+09
     5      0      4      4              1193.16          9.79000E-03          1.17178E+09
     5      0      6      5              1254.91          5.46700E-04          1.17178E+09
     5      0      4      5              1240.30          1.09900E-03          1.17178E+09
     5      0      6      6              1302.22          2.42500E-04          1.17178E+09
     5      0      4      6              1287.52          2.94300E-05          1.17178E+09
     5      0      6      7              1348.94          1.58700E-05          1.17178E+09
     5      0      4      7              1334.31          1.35100E-06          1.17178E+09
     5      0      6      8              1394.37          1.23500E-04          1.17178E+09
     5      0      4      8              1380.01          1.86000E-04          1.17178E+09
     5      0      6      9              1437.60          6.23800E-05          1.17178E+09
     5      0      4      9              1423.79          1.67700E-05          1.17178E+09
     5      0      6     10              1477.48          4.90000E-05          1.17178E+09
     5      0      4     10              1464.57          1.42100E-04          1.17178E+09
     5      0      6     11              1512.56          1.55900E-04          1.17178E+09
     5      0      4     11              1501.02          1.33200E-04          1.17178E+09
     5      0      6     12              1541.02          6.25800E-06          1.17178E+09
     5      0      4     12              1531.46          4.38100E-06          1.17178E+09
     5      0      6     13              1560.49          1.91300E-04          1.17178E+09
     5      0      4     13              1553.81          2.63300E-05          1.17178E+09
     6      0      7      0              1029.35          5.70100E-04          1.15783E+09
     6      0      5      0              1014.24          2.61000E-02          1.15783E+09
     6      0      7      1              1073.55          1.80400E-02          1.15783E+09
     6      0      5      1              1057.95          2.55000E-02          1.15783E+09
     6      0      7      2              1118.81          3.69300E-02          1.15783E+09
     6      0      5      2              1102.75          7.48000E-03          1.15783E+09
     6      0      7      3              1164.94          9.81900E-03          1.15783E+09
     6      0      5      3              1148.49          7.58200E-03          1.15783E+09
     6      0      7      4              1211.71          2.65000E-04          1.15783E+09
     6      0      5      4              1194.93          1.57600E-02          1.15783E+09
     6      0      7      5              1258.79          3.22200E-05          1.15783E+09
     6      0      5      5              1241.78          3.23500E-03          1.15783E+09
     6      0      7      6              1305.73          4.50600E-03          1.15783E+09
     6      0      5      6              1288.65          3.40600E-03          1.15783E+09
     6      0      7      7              1351.97          2.24800E-06          1.15783E+09
     6      0      5      7              1335.00          7.89700E-04          1.15783E+09
     6      0      7      8              1396.78          4.44200E-03          1.15783E+09
     6      0      5      8              1380.17          5.02800E-03          1.15783E+09
     6      0      7      9              1439.21          5.64900E-04          1.15783E+09
     6      0      5      9              1423.30          4.88300E-05          1.15783E+09
     6      0      7     10              1478.09          2.67000E-03          1.15783E+09
     6      0      5     10              1463.29          5.36500E-03          1.15783E+09
     6      0      7     11              1511.89          3.91900E-03          1.15783E+09
     6      0      5     11              1498.78          1.95100E-03          1.15783E+09
     6      0      7     12              1538.70          2.85300E-06          1.15783E+09
     6      0      5     12              1528.04          9.99700E-04          1.15783E+09
     6      0      7     13              1555.94          5.10900E-03          1.15783E+09
     6      0      5     13              1548.91          6.08100E-04          1.15783E+09
     7      0      8      0              1033.95          1.73800E-02          1.16768E+09
     7      0      6      0              1016.74          6.34600E-03          1.16768E+09
     7      0      8      1              1078.04          3.70600E-02          1.16768E+09
     7      0      6      1              1060.29          2.64600E-02          1.16768E+09
     7      0      8      2              1123.14          2.91400E-02          1.16768E+09
     7      0      6      2              1104.88          4.15500E-02          1.16768E+09
     7      0      8      3              1169.05          1.31500E-02          1.16768E+09
     7      0      6      3              1150.36          2.73300E-02          1.16768E+09
     7      0      8      4              1215.52          4.82400E-03          1.16768E+09
     7      0      6      4              1196.49          6.17100E-03          1.16768E+09
     7      0      8      5              1262.21          8.40100E-04          1.16768E+09
     7      0      6      5              1242.95          3.82800E-04          1.16768E+09
     7      0      8      6              1308.65          4.04400E-05          1.16768E+09
     7      0      6      6              1289.35          2.08200E-04          1.16768E+09
     7      0      8      7              1354.27          5.19400E-05          1.16768E+09
     7      0      6      7              1335.13          1.75900E-04          1.16768E+09
     7      0      8      8              1398.28          1.56600E-04          1.16768E+09
     7      0      6      8              1379.62          9.42000E-05          1.16768E+09
     7      0      8      9              1439.73          3.06100E-06          1.16768E+09
     7      0      6      9              1421.93          8.28200E-05          1.16768E+09
     7      0      8     10              1477.36          1.71700E-04          1.16768E+09
     7      0      6     10              1460.93          2.01400E-04          1.16768E+09
     7      0      8     11              1509.61          9.67000E-05          1.16768E+09
     7      0      6     11              1495.22          5.91200E-06          1.16768E+09
     7      0      8     12              1534.44          2.67200E-05          1.16768E+09
     7      0      6     12              1523.02          1.30300E-04          1.16768E+09
     7      0      6     13              1542.04          2.44900E-05          1.16768E+09
     8      0      9      0              1039.29          1.61200E-02          1.16274E+09
     8      0      7      0              1020.06          7.76700E-03          1.16274E+09
     8      0      9      1              1083.27          3.90200E-02          1.16274E+09
     8      0      7      1              1063.45          2.61900E-02          1.16274E+09
     8      0      9      2              1128.20          3.33800E-02          1.16274E+09
     8      0      7      2              1107.84          3.70700E-02          1.16274E+09
     8      0      9      3              1173.88          1.38000E-02          1.16274E+09
     8      0      7      3              1153.06          2.58300E-02          1.16274E+09
     8      0      9      4              1220.03          3.85200E-03          1.16274E+09
     8      0      7      4              1198.86          7.52600E-03          1.16274E+09
     8      0      9      5              1266.30          7.86800E-04          1.16274E+09
     8      0      7      5              1244.92          5.55900E-04          1.16274E+09
     8      0      9      6              1312.20          1.31600E-06          1.16274E+09
     8      0      7      6              1290.81          3.75000E-05          1.16274E+09
     8      0      9      7              1357.12          6.11900E-05          1.16274E+09
     8      0      7      7              1335.99          1.02200E-04          1.16274E+09
     8      0      9      8              1400.26          2.70500E-05          1.16274E+09
     8      0      7      8              1379.72          1.23800E-06          1.16274E+09
     8      0      9      9              1440.60          2.56900E-05          1.16274E+09
     8      0      7      9              1421.12          8.01600E-05          1.16274E+09
     8      0      9     10              1476.84          7.12000E-05          1.16274E+09
     8      0      7     10              1459.00          3.97300E-05          1.16274E+09
     8      0      9     11              1507.32          1.41600E-05          1.16274E+09
     8      0      7     11              1491.93          7.31100E-06          1.16274E+09
     8      0      9     12              1529.83          4.09200E-05          1.16274E+09
     8      0      7     12              1518.03          8.76500E-05          1.16274E+09
     8      0      7     13              1534.81          1.81100E-05          1.16274E+09
     9      0     10      0              1045.05          1.47600E-02          1.15654E+09
     9      0      8      0              1023.88          9.15200E-03          1.15654E+09
     9      0     10      1              1088.89          4.04700E-02          1.15654E+09
     9      0      8      1              1067.09          2.55700E-02          1.15654E+09
     9      0     10      2              1133.62          3.68800E-02          1.15654E+09
     9      0      8      2              1111.26          3.27700E-02          1.15654E+09
     9      0     10      3              1179.02          1.38500E-02          1.15654E+09
     9      0      8      3              1156.19          2.44600E-02          1.15654E+09
     9      0     10      4              1224.81          3.00700E-03          1.15654E+09
     9      0      8      4              1201.62          8.83100E-03          1.15654E+09
     9      0     10      5              1270.59          8.26400E-04          1.15654E+09
     9      0      8      5              1247.23          6.60600E-04          1.15654E+09
     9      0     10      6              1315.86          5.35000E-05          1.15654E+09
     9      0      8      6              1292.55          3.10700E-06          1.15654E+09
     9      0     10      7              1359.99          1.17800E-04          1.15654E+09
     9      0      8      7              1337.03          8.68100E-05          1.15654E+09
     9      0     10      8              1402.12          2.14000E-07          1.15654E+09
     9      0      8      8              1379.92          3.97700E-05          1.15654E+09
     9      0     10      9              1441.20          1.03700E-04          1.15654E+09
     9      0      8      9              1420.27          1.35600E-04          1.15654E+09
     9      0     10     10              1475.85          6.94500E-05          1.15654E+09
     9      0      8     10              1456.88          3.04100E-06          1.15654E+09
     9      0     10     11              1504.29          5.62500E-07          1.15654E+09
     9      0      8     11              1488.23          6.70600E-05          1.15654E+09
     9      0     10     12              1524.03          1.46800E-04          1.15654E+09
     9      0      8     12              1512.35          1.65700E-04          1.15654E+09
    10      0     11      0              1050.91          2.58700E-02          1.12728E+09
    10      0      9      0              1027.90          2.07200E-04          1.12728E+09
    10      0     11      1              1094.56          2.44700E-02          1.12728E+09
    10      0      9      1              1070.90          1.10900E-02          1.12728E+09
    10      0     11      2              1139.02          9.72800E-03          1.12728E+09
    10      0      9      2              1114.79          4.42300E-02          1.12728E+09
    10      0     11      3              1184.07          1.13300E-02          1.12728E+09
    10      0      9      3              1159.36          2.10600E-02          1.12728E+09
    10      0     11      4              1229.40          1.07500E-02          1.12728E+09
    10      0      9      4              1204.36          1.24900E-04          1.12728E+09
    10      0     11      5              1274.59          9.50600E-06          1.12728E+09
    10      0      9      5              1249.42          7.10800E-05          1.12728E+09
    10      0     11      6              1319.13          2.49400E-03          1.12728E+09
    10      0      9      6              1294.09          4.48800E-03          1.12728E+09
    10      0     11      7              1362.32          9.94200E-04          1.12728E+09
    10      0      9      7              1337.76          4.54600E-06          1.12728E+09
    10      0     11      8              1403.29          1.30400E-03          1.12728E+09
    10      0      9      8              1379.65          3.71500E-03          1.12728E+09
    10      0     11      9              1440.91          2.90900E-03          1.12728E+09
    10      0      9      9              1418.80          1.02100E-03          1.12728E+09
    10      0     11     10              1473.72          2.07100E-04          1.12728E+09
    10      0      9     10              1453.94          1.00400E-03          1.12728E+09
    10      0     11     11              1499.79          3.53300E-04          1.12728E+09
    10      0      9     11              1483.47          2.93200E-03          1.12728E+09
    10      0      9     12              1505.27          3.52600E-03          1.12728E+09
    11      0     12      0              1057.63          1.90700E-02          1.14760E+09
    11      0     10      0              1032.85          5.41800E-03          1.14760E+09
    11      0     12      1              1101.10          4.26100E-02          1.14760E+09
    11      0     10      1              1075.66          2.25000E-02          1.14760E+09
    11      0     12      2              1145.31          3.45000E-02          1.14760E+09
    11      0     10      2              1119.29          3.64100E-02          1.14760E+09
    11      0     12      3              1190.00          1.49200E-02          1.14760E+09
    11      0     10      3              1163.52          2.55900E-02          1.14760E+09
    11      0     12      4              1234.86          4.53400E-03          1.14760E+09
    11      0     10      4              1208.09          6.57800E-03          1.14760E+09
    11      0     12      5              1279.45          5.50000E-04          1.14760E+09
    11      0     10      5              1252.60          5.29400E-04          1.14760E+09
    11      0     12      6              1323.21          3.58200E-05          1.14760E+09
    11      0     10      6              1296.59          1.61900E-04          1.14760E+09
    11      0     12      7              1365.41          2.45100E-06          1.14760E+09
    11      0     10      7              1339.41          6.34800E-05          1.14760E+09
    11      0     12      8              1405.13          8.40500E-05          1.14760E+09
    11      0     10      8              1380.26          7.96800E-05          1.14760E+09
    11      0     12      9              1441.16          3.07100E-05          1.14760E+09
    11      0     10      9              1418.11          2.79500E-06          1.14760E+09
    11      0     12     10              1471.93          6.50600E-06          1.14760E+09
    11      0     10     10              1451.64          8.26300E-05          1.14760E+09
    11      0     12     11              1495.28          2.13200E-05          1.14760E+09
    11      0     10     11              1479.15          5.45600E-05          1.14760E+09
    11      0     10     12              1498.23          6.53100E-05          1.14760E+09
    12      0     13      0              1064.49          1.68600E-02          1.13972E+09
    12      0     11      0              1038.06          7.40400E-03          1.13972E+09
    12      0     13      1              1107.74          4.44000E-02          1.13972E+09
    12      0     11      1              1080.63          2.25500E-02          1.13972E+09
    12      0     13      2              1151.63          3.84900E-02          1.13972E+09
    12      0     11      2              1123.95          3.18900E-02          1.13972E+09
    12      0     13      3              1195.91          1.43200E-02          1.13972E+09
    12      0     11      3              1167.79          2.48000E-02          1.13972E+09
    12      0     13      4              1240.22          3.44900E-03          1.13972E+09
    12      0     11      4              1211.86          8.27900E-03          1.13972E+09
    12      0     13      5              1284.11          7.43900E-04          1.13972E+09
    12      0     11      5              1255.75          5.27300E-04          1.13972E+09
    12      0     13      6              1326.97          1.51800E-07          1.13972E+09
    12      0     11      6              1298.96          8.22600E-06          1.13972E+09
    12      0     13      7              1368.04          7.20500E-05          1.13972E+09
    12      0     11      7              1340.82          1.18300E-04          1.13972E+09
    12      0     13      8              1406.33          6.20500E-05          1.13972E+09
    12      0     11      8              1380.49          3.13500E-06          1.13972E+09
    12      0     13      9              1440.56          7.47500E-07          1.13972E+09
    12      0     11      9              1416.88          7.44600E-05          1.13972E+09
    12      0     13     10              1469.00          5.05400E-05          1.13972E+09
    12      0     11     10              1448.59          8.07300E-05          1.13972E+09
    12      0     11     11              1473.77          7.06200E-06          1.13972E+09
    13      0     14      0              1071.53          2.45700E-02          1.12632E+09
    13      0     12      0              1043.55          1.24200E-03          1.12632E+09
    13      0     14      1              1114.50          3.82900E-02          1.12632E+09
    13      0     12      1              1085.85          1.88200E-02          1.12632E+09
    13      0     14      2              1158.03          2.68800E-02          1.12632E+09
    13      0     12      2              1128.82          4.26400E-02          1.12632E+09
    13      0     14      3              1201.82          1.72300E-02          1.12632E+09
    13      0     12      3              1172.21          2.36800E-02          1.12632E+09
    13      0     14      4              1245.50          6.52300E-03          1.12632E+09
    13      0     12      4              1215.72          2.94600E-03          1.12632E+09
    13      0     14      5              1288.59          6.47200E-06          1.12632E+09
    13      0     12      5              1258.91          8.27900E-04          1.12632E+09
    13      0     14      6              1330.45          2.28000E-04          1.12632E+09
    13      0     12      6              1301.25          1.18500E-03          1.12632E+09
    13      0     14      7              1370.25          5.30100E-04          1.12632E+09
    13      0     12      7              1342.04          1.06600E-04          1.12632E+09
    13      0     14      8              1406.94          1.72600E-06          1.12632E+09
    13      0     12      8              1380.39          4.07900E-04          1.12632E+09
    13      0     14      9              1439.12          3.52000E-04          1.12632E+09
    13      0     12      9              1415.15          6.19500E-04          1.12632E+09
    13      0     14     10              1464.88          4.48500E-04          1.12632E+09
    13      0     12     10              1444.81          5.61900E-05          1.12632E+09
    13      0     12     11              1467.30          1.07500E-04          1.12632E+09
    14      0     15      0              1079.06          1.93800E-02          1.12796E+09
    14      0     13      0              1049.61          5.43900E-03          1.12796E+09
    14      0     15      1              1121.73          4.55800E-02          1.12796E+09
