# Data for D- transitions (Q) 
#  Number of transitions: 375 
#  JU 	 VU 	 JL 	 VL 		 lambda [A] 		 osc strength f 		 Gamma [1/s]
     1      0      1      1               920.32          1.35000E-02          3.54802E+08
     1      0      1      2               954.76          1.61600E-02          3.54802E+08
     1      0      1      3               989.63          9.93500E-03          3.54802E+08
     1      0      1      4              1024.74          3.31400E-03          3.54802E+08
     1      0      1      5              1059.88          5.75200E-04          3.54802E+08
     1      0      1      6              1094.79          4.61200E-05          3.54802E+08
     1      0      1      7              1129.11          1.04700E-06          3.54802E+08
     1      0      1      8              1162.41          2.81700E-09          3.54802E+08
     1      0      1      9              1194.14          5.72500E-12          3.54802E+08
     1      0      1     10              1223.65          2.60200E-11          3.54802E+08
     1      0      1     11              1250.10          6.97300E-10          3.54802E+08
     1      0      1     12              1272.46          1.03600E-09          3.54802E+08
     1      0      1     13              1289.50          5.52100E-11          3.54802E+08
     1      0      1     14              1299.69          3.97800E-13          3.54802E+08
     2      0      2      1               921.22          1.35100E-02          3.54582E+08
     2      0      2      2               955.63          1.61900E-02          3.54582E+08
     2      0      2      3               990.45          9.95400E-03          3.54582E+08
     2      0      2      4              1025.50          3.31600E-03          3.54582E+08
     2      0      2      5              1060.57          5.74000E-04          3.54582E+08
     2      0      2      6              1095.38          4.56600E-05          3.54582E+08
     2      0      2      7              1129.59          1.00800E-06          3.54582E+08
     2      0      2      8              1162.75          3.08500E-09          3.54582E+08
     2      0      2      9              1194.32          1.21000E-12          3.54582E+08
     2      0      2     10              1223.63          2.56800E-11          3.54582E+08
     2      0      2     11              1249.83          5.63600E-10          3.54582E+08
     2      0      2     12              1271.89          9.33500E-10          3.54582E+08
     2      0      2     13              1288.56          5.52500E-11          3.54582E+08
     2      0      2     14              1298.26          8.26200E-13          3.54582E+08
     3      0      3      1               922.57          1.35300E-02          3.54257E+08
     3      0      3      2               956.92          1.62300E-02          3.54257E+08
     3      0      3      3               991.66          9.98200E-03          3.54257E+08
     3      0      3      4              1026.63          3.32000E-03          3.54257E+08
     3      0      3      5              1061.59          5.72000E-04          3.54257E+08
     3      0      3      6              1096.26          4.49700E-05          3.54257E+08
     3      0      3      7              1130.30          9.50300E-07          3.54257E+08
     3      0      3      8              1163.25          3.53300E-09          3.54257E+08
     3      0      3      9              1194.58          1.87800E-13          3.54257E+08
     3      0      3     10              1223.58          2.71200E-11          3.54257E+08
     3      0      3     11              1249.40          4.34000E-10          3.54257E+08
     3      0      3     12              1271.02          8.37700E-10          3.54257E+08
     3      0      3     13              1287.11          5.69200E-11          3.54257E+08
     3      0      3     14              1296.06          1.54700E-12          3.54257E+08
     4      0      4      1               924.34          1.35500E-02          3.53834E+08
     4      0      4      2               958.62          1.62900E-02          3.53834E+08
     4      0      4      3               993.27          1.00200E-02          3.53834E+08
     4      0      4      4              1028.11          3.32500E-03          3.53834E+08
     4      0      4      5              1062.92          5.69400E-04          3.53834E+08
     4      0      4      6              1097.41          4.40400E-05          3.53834E+08
     4      0      4      7              1131.22          8.76200E-07          3.53834E+08
     4      0      4      8              1163.90          4.16200E-09          3.53834E+08
     4      0      4      9              1194.89          4.93000E-12          3.53834E+08
     4      0      4     10              1223.48          3.01000E-11          3.53834E+08
     4      0      4     11              1248.81          3.11500E-10          3.53834E+08
     4      0      4     12              1269.81          7.31000E-10          3.53834E+08
     4      0      4     13              1285.14          5.83400E-11          3.53834E+08
     5      0      5      1               926.54          1.35800E-02          3.53322E+08
     5      0      5      2               960.72          1.63600E-02          3.53322E+08
     5      0      5      3               995.25          1.00700E-02          3.53322E+08
     5      0      5      4              1029.94          3.33100E-03          3.53322E+08
     5      0      5      5              1064.56          5.66200E-04          3.53322E+08
     5      0      5      6              1098.82          4.28700E-05          3.53322E+08
     5      0      5      7              1132.35          7.87500E-07          3.53322E+08
     5      0      5      8              1164.68          5.07000E-09          3.53322E+08
     5      0      5      9              1195.24          1.43000E-11          3.53322E+08
     5      0      5     10              1223.32          3.99600E-11          3.53322E+08
     5      0      5     11              1248.02          2.47500E-10          3.53322E+08
     5      0      5     12              1268.24          7.03100E-10          3.53322E+08
     5      0      5     13              1282.59          6.49100E-11          3.53322E+08
     6      0      6      1               929.14          1.36200E-02          3.52728E+08
     6      0      6      2               963.21          1.64400E-02          3.52728E+08
     6      0      6      3               997.59          1.01200E-02          3.52728E+08
     6      0      6      4              1032.09          3.33900E-03          3.52728E+08
     6      0      6      5              1066.48          5.62200E-04          3.52728E+08
     6      0      6      6              1100.46          4.14600E-05          3.52728E+08
     6      0      6      7              1133.64          6.87400E-07          3.52728E+08
     6      0      6      8              1165.55          6.26000E-09          3.52728E+08
     6      0      6      9              1195.60          2.82600E-11          3.52728E+08
     6      0      6     10              1223.06          6.01000E-11          3.52728E+08
     6      0      6     11              1247.00          2.21900E-10          3.52728E+08
     6      0      6     12              1266.28          7.41500E-10          3.52728E+08
     6      0      6     13              1279.40          7.70500E-11          3.52728E+08
     7      0      7      1               932.12          1.36600E-02          3.52065E+08
     7      0      7      2               966.05          1.65400E-02          3.52065E+08
