B	X	Line	Wavelength (A)	K_mu	f	Gamma (s-1)
B0	X0	P8	1146.86223	-0.0408	7.28E-4	1.24E+9
B0	X0	R9	1147.16508	-0.0413	5.07E-4	1.07E+9
B0	X0	P9	1155.71460	-0.0480	7.03E-4	1.18E+9
B0	X0	R10	1156.05961	-0.0485	4.59E-4	1.03E+9
B0	X1	R0	1161.69422	-0.0303	1.33E-2	1.74E+9
B0	X1	R1	1162.17040	-0.0307	8.69E-3	1.63E+9
B0	X1	R2	1163.64529	-0.0321	7.60E-3	1.54E+9
B0	X1	P1	1163.74119	-0.0321	4.57E-3	1.87E+9
B0	X0	P10	1165.40158	-0.0556	6.74E-4	1.12E+9
B0	X0	R11	1165.78874	-0.0562	4.14E-4	9.82E+8
B0	X1	R3	1166.11295	-0.0343	7.00E-3	1.45E+9
B0	X1	P2	1166.25557	-0.0343	5.51E-3	1.74E+9
B0	X1	R4	1169.56356	-0.0374	6.54E-3	1.37E+9
B0	X1	P3	1169.75138	-0.0374	5.91E-3	1.63E+9
B0	X1	R5	1173.98374	-0.0413	6.14E-3	1.30E+9
B0	X1	P4	1174.21471	-0.0413	6.10E-3	1.54E+9
B0	X0	P11	1175.89908	-0.0637	6.42E-4	1.07E+9
B0	X1	R6	1179.35674	-0.0459	5.76E-3	1.24E+9
B0	X1	P5	1179.62844	-0.0459	6.18E-3	1.45E+9
B0	X1	R7	1185.66311	-0.0513	5.40E-3	1.18E+9
B0	X1	P6	1185.97273	-0.0513	6.19E-3	1.37E+9
B0	X0	P12	1187.18248	-0.0722	6.09E-4	1.03E+9
B0	X0	R13	1187.64707	-0.0728	3.36E-4	9.03E+8
B0	X1	R8	1192.88085	-0.0573	5.04E-3	1.12E+9
B0	X1	P7	1193.22556	-0.0573	6.14E-3	1.30E+9
B0	X0	P13	1199.22616	-0.0809	5.75E-4	9.82E+8
B0	X1	R9	1200.98575	-0.0639	4.69E-3	1.07E+9
B0	X1	P8	1201.36294	-0.0639	6.04E-3	1.24E+9
B0	X1	R10	1209.95191	-0.0710	4.36E-3	1.03E+9
B0	X1	P9	1210.35960	-0.0710	5.92E-3	1.18E+9
B0	X0	R15	1212.52214	-0.0904	2.72E-4	8.35E+8
B0	X2	R0	1217.20640	-0.0528	4.83E-2	1.74E+9
B0	X2	R1	1217.64343	-0.0532	3.17E-2	1.63E+9
B0	X2	R2	1219.09118	-0.0545	2.80E-2	1.54E+9
B0	X2	P1	1219.36787	-0.0547	1.64E-2	1.87E+9
B0	X1	R11	1219.75131	-0.0786	4.04E-3	9.82E+8
B0	X1	P10	1220.18904	-0.0786	5.77E-3	1.12E+9
B0	X2	R3	1221.54300	-0.0567	2.61E-2	1.45E+9
B0	X2	P2	1221.95645	-0.0569	1.98E-2	1.74E+9
B0	X2	R4	1224.98787	-0.0596	2.48E-2	1.37E+9
B0	X0	P15	1225.48913	-0.0991	5.10E-4	9.03E+8
B0	X2	P3	1225.53614	-0.0600	2.12E-2	1.63E+9
B0	X2	R5	1229.41075	-0.0634	2.37E-2	1.30E+9
B0	X2	P4	1230.09125	-0.0638	2.20E-2	1.54E+9
B0	X1	R12	1230.35370	-0.0865	3.75E-3	9.41E+8
B0	X1	P11	1230.82373	-0.0866	5.60E-3	1.07E+9
B0	X2	R6	1234.79282	-0.0680	2.26E-2	1.24E+9
B0	X2	P5	1235.60245	-0.0684	2.24E-2	1.45E+9
B0	X2	R7	1241.11212	-0.0732	2.16E-2	1.18E+9
B0	X1	R13	1241.73104	-0.0948	3.47E-3	9.03E+8
B0	X2	P6	1242.04731	-0.0738	2.26E-2	1.37E+9
B0	X1	P12	1242.23539	-0.0950	5.42E-3	1.03E+9
B0	X2	R8	1248.34381	-0.0791	2.06E-2	1.12E+9
B0	X2	P7	1249.40092	-0.0797	2.26E-2	1.30E+9
B0	X1	R14	1253.84807	-0.1034	3.22E-3	8.68E+8
B0	X1	P13	1254.39437	-0.1036	5.23E-3	9.82E+8
B0	X0	P17	1254.46924	-0.1178	4.54E-4	8.35E+8
B0	X2	R9	1256.46042	-0.0855	1.97E-2	1.07E+9
B0	X2	P8	1257.63606	-0.0862	2.26E-2	1.24E+9
B0	X2	R10	1265.43245	-0.0925	1.88E-2	1.03E+9
B0	X1	R15	1266.67344	-0.1121	3.00E-3	8.35E+8
B0	X2	P9	1266.72394	-0.0932	2.24E-2	1.18E+9
B0	X1	P14	1267.26924	-0.1124	5.05E-3	9.41E+8
B0	X3	R0	1274.53565	-0.0745	1.05E-1	1.74E+9
B0	X3	R1	1274.92226	-0.0748	6.93E-2	1.63E+9
B0	X2	R11	1275.22783	-0.0999	1.79E-2	9.82E+8
B0	X3	R2	1276.32447	-0.0760	6.19E-2	1.54E+9
B0	X2	P10	1276.63426	-0.1007	2.22E-2	1.12E+9
B0	X3	P1	1276.81288	-0.0764	3.52E-2	1.87E+9
B0	X3	R3	1278.73484	-0.0781	5.85E-2	1.45E+9
B0	X3	P2	1279.46543	-0.0786	4.23E-2	1.74E+9
B0	X1	R16	1280.17329	-0.1209	2.81E-3	8.04E+8
B0	X1	P15	1280.83127	-0.1214	4.87E-3	9.03E+8
B0	X3	R4	1282.14097	-0.0810	5.62E-2	1.37E+9
B0	X3	P3	1283.11132	-0.0817	4.55E-2	1.63E+9
B0	X2	R12	1285.81185	-0.1076	1.70E-2	9.41E+8
B0	X0	P19	1285.93004	-0.1365	4.12E-4	7.76E+8
B0	X3	R5	1286.52593	-0.0847	5.45E-2	1.30E+9
B0	X2	P11	1287.33535	-0.1085	2.19E-2	1.07E+9
B0	X3	P4	1287.73276	-0.0855	4.72E-2	1.54E+9
B0	X3	R6	1291.86847	-0.0891	5.31E-2	1.24E+9
B0	X3	P5	1293.30788	-0.0900	4.84E-2	1.45E+9
B0	X1	R17	1294.30331	-0.1298	2.65E-3	7.76E+8
B0	X1	P16	1295.04415	-0.1304	4.71E-3	8.68E+8
B0	X2	R13	1297.15180	-0.1157	1.63E-2	9.03E+8
B0	X3	R7	1298.14374	-0.0942	5.18E-2	1.18E+9
