C+	X	Line	Wavelength (A)	K_mu	f	Gamma (s-1)
Cp0	X3	R1	1144.26502	-0.0639	3.99E-2	1.18E+9
Cp0	X1	P18	1144.45370	-0.0956	5.09E-2	1.09E+9
Cp0	X3	R2	1144.48883	-0.0641	3.23E-2	1.18E+9
Cp0	X3	R0	1144.56197	-0.0642	7.84E-2	1.18E+9
Cp0	X3	R3	1145.23177	-0.0647	2.88E-2	1.18E+9
Cp0	X2	P12	1145.31617	-0.0845	3.56E-2	1.15E+9
Cp0	X2	R15	1145.73895	-0.0846	3.66E-2	1.11E+9
Cp0	X0	P23	1146.14871	-0.1033	1.95E-2	1.06E+9
Cp0	X3	R4	1146.49541	-0.0655	2.59E-2	1.17E+9
Cp0	X1	R21	1146.98331	-0.0969	2.19E-2	1.06E+9
Cp0	X3	R5	1148.49289	-0.0529	7.84E-3	1.16E+9
Cp0	X3	P2	1148.53600	-0.0679	7.33E-3	1.18E+9
Cp0	X3	R6	1150.36428	-0.0688	2.83E-2	1.17E+9
Cp0	X3	P3	1150.85727	-0.0700	1.03E-2	1.18E+9
Cp0	X2	P13	1151.64136	-0.0891	3.99E-2	1.14E+9
Cp0	X2	R16	1151.91770	-0.0885	2.73E-2	1.09E+9
Cp0	X1	P19	1152.28950	-0.1005	4.92E-2	1.10E+9
Cp0	X3	R7	1153.06466	-0.0717	2.68E-2	1.16E+9
Cp0	X3	P4	1153.65358	-0.0724	1.20E-2	1.18E+9
Cp0	X1	R22	1154.72483	-0.1012	2.39E-2	1.06E+9
Cp0	X0	P24	1155.12773	-0.1075	2.16E-2	1.06E+9
Cp0	X3	R8	1156.19542	-0.0743	2.55E-2	1.16E+9
Cp0	X3	P5	1156.90684	-0.0752	1.31E-2	1.18E+9
Cp0	X2	P14	1158.03578	-0.0917	2.80E-2	1.13E+9
Cp0	X2	R17	1158.20670	-0.0932	3.73E-2	1.10E+9
Cp0	X3	R9	1159.36562	-0.0659	2.20E-2	1.13E+9
Cp0	X1	P20	1160.48448	-0.1033	4.15E-2	9.59E+8
Cp0	X3	P6	1160.60403	-0.0781	1.39E-2	1.17E+9
Cp0	X1	R23	1162.56486	-0.1053	2.52E-2	1.05E+9
Cp0	X3	R10	1163.53143	-0.0805	2.68E-2	1.15E+9
Cp0	X0	P25	1164.16654	-0.1115	2.25E-2	1.05E+9
Cp0	X2	P15	1164.87099	-0.0981	3.96E-2	1.13E+9
Cp0	X2	R18	1164.91726	-0.0957	6.98E-3	9.59E+8
Cp0	X3	P7	1164.95188	-0.0670	1.03E-2	1.16E+9
Cp0	X3	R11	1167.80501	-0.0840	2.61E-2	1.14E+9
Cp0	X1	P21	1168.41407	-0.1091	5.15E-2	1.08E+9
Cp0	X3	P8	1169.05453	-0.0848	1.38E-2	1.17E+9
Cp0	X1	R24	1170.49338	-0.1095	2.80E-2	1.04E+9
Cp0	X2	R19	1171.41620	-0.1014	3.76E-2	1.08E+9
Cp0	X2	P16	1171.89430	-0.1011	4.49E-2	1.10E+9
Cp0	X3	R12	1172.22372	-0.0857	2.50E-2	1.13E+9
Cp0	X0	P26	1173.25917	-0.1155	2.45E-2	1.04E+9
Cp0	X3	P9	1173.88656	-0.0891	1.46E-2	1.16E+9
Cp0	X1	P22	1176.57429	-0.1131	5.01E-2	1.07E+9
Cp0	X3	R13	1177.16791	-0.0913	2.66E-2	1.13E+9
Cp0	X2	R20	1178.19982	-0.1053	4.04E-2	1.07E+9
Cp0	X2	P17	1178.83722	-0.1068	4.07E-2	1.11E+9
Cp0	X3	P10	1179.03116	-0.0930	1.47E-2	1.16E+9
Cp0	X3	R14	1182.37634	-0.0936	2.50E-2	1.10E+9
Cp0	X3	P11	1184.07592	-0.0853	1.21E-2	1.13E+9
Cp0	X1	P23	1184.81143	-0.1168	5.53E-2	1.06E+9
Cp0	X2	R21	1185.10931	-0.1090	3.68E-2	1.06E+9
Cp0	X2	P18	1186.07266	-0.1105	4.49E-2	1.09E+9
Cp0	X3	R15	1187.57417	-0.0988	2.65E-2	1.11E+9
Cp0	X3	P12	1190.01480	-0.1010	1.60E-2	1.15E+9
Cp0	X4	R1	1191.46880	-0.0817	1.19E-2	1.18E+9
Cp0	X4	R2	1191.55135	-0.0818	1.01E-2	1.18E+9
Cp0	X2	R22	1192.05190	-0.1124	4.02E-2	1.06E+9
Cp0	X4	R3	1192.11729	-0.0822	9.75E-3	1.18E+9
Cp0	X1	P24	1193.03684	-0.1202	5.41E-2	1.06E+9
Cp0	X3	R16	1193.13802	-0.1021	2.77E-2	1.09E+9
Cp0	X4	R4	1193.16875	-0.0828	1.05E-2	1.17E+9
Cp0	X2	P19	1193.29143	-0.1148	4.27E-2	1.10E+9
Cp0	X4	R5	1194.93686	-0.0693	1.70E-2	1.16E+9
Cp0	X3	P13	1195.92035	-0.1051	1.54E-2	1.14E+9
Cp0	X4	R6	1196.49130	-0.0855	6.65E-3	1.17E+9
Cp0	X4	P3	1198.21406	-0.0878	2.87E-3	1.18E+9
Cp0	X3	R17	1198.75117	-0.1060	2.65E-2	1.10E+9
Cp0	X4	R7	1198.86629	-0.0881	8.12E-3	1.16E+9
Cp0	X2	R23	1199.02303	-0.1155	4.18E-2	1.05E+9
Cp0	X2	P20	1200.82535	-0.1168	3.24E-2	9.59E+8
Cp0	X1	P25	1201.24993	-0.1232	5.42E-2	1.05E+9
Cp0	X4	R8	1201.63080	-0.0903	9.55E-3	1.16E+9
Cp0	X3	P14	1201.82932	-0.1071	1.86E-2	1.13E+9
Cp0	X4	P5	1204.04778	-0.0927	3.10E-3	1.18E+9
Cp0	X3	R18	1204.74498	-0.1077	2.43E-2	9.59E+8
Cp0	X2	R24	1206.00592	-0.1187	4.38E-2	1.04E+9
Cp0	X2	P21	1208.00270	-0.1219	4.49E-2	1.08E+9
Cp0	X4	R10	1208.09582	-0.0956	7.16E-3	1.15E+9
Cp0	X3	P15	1208.14142	-0.1131	1.70E-2	1.13E+9
Cp0	X1	P26	1209.43827	-0.1262	5.00E-2	1.04E+9
Cp0	X3	R19	1210.43936	-0.1127	2.70E-2	1.08E+9
Cp0	X4	R11	1211.87036	-0.0986	9.03E-3	1.14E+9
Cp0	X3	P16	1214.58320	-0.1153	1.07E-2	1.10E+9
Cp0	X2	P22	1215.35103	-0.1249	4.51E-2	1.07E+9
Cp0	X4	P8	1215.52650	-0.1014	5.28E-3	1.17E+9
Cp0	X4	R12	1215.72769	-0.0996	3.22E-3	1.13E+9
Cp0	X3	R20	1216.36167	-0.1156	2.54E-2	1.07E+9
Cp0	X4	P9	1220.04087	-0.1053	4.23E-3	1.16E+9
Cp0	X4	R13	1220.07659	-0.1048	7.62E-3	1.13E+9
Cp0	X3	P17	1220.86515	-0.1204	1.82E-2	1.11E+9
Cp0	X3	R21	1222.33737	-0.1184	2.89E-2	1.06E+9
Cp0	X2	P23	1222.70101	-0.1277	4.65E-2	1.06E+9
Cp0	X4	R14	1224.63498	-0.1063	1.25E-2	1.10E+9
Cp0	X4	P10	1224.81413	-0.1088	3.32E-3	1.16E+9
Cp0	X3	P18	1227.38574	-0.1233	1.34E-2	1.09E+9
Cp0	X3	R22	1228.26165	-0.1206	2.71E-2	1.06E+9
Cp0	X4	R15	1229.10704	-0.1108	7.10E-3	1.11E+9
Cp0	X4	P11	1229.40158	-0.1002	1.19E-2	1.13E+9
Cp0	X2	P24	1229.95204	-0.1299	4.75E-2	1.06E+9
Cp0	X3	P19	1233.81085	-0.1268	1.87E-2	1.10E+9
Cp0	X4	R16	1233.89487	-0.1133	9.99E-3	1.09E+9
Cp0	X3	R23	1234.12193	-0.1225	2.63E-2	1.05E+9
Cp0	X4	P12	1234.87460	-0.1158	5.04E-3	1.15E+9
Cp0	X2	P25	1237.09579	-0.1316	4.84E-2	1.05E+9
Cp0	X4	R17	1238.65684	-0.1164	7.11E-3	1.10E+9
Cp0	X3	R24	1239.88998	-0.1242	2.27E-2	1.04E+9
