C-	X	Line	Wavelength (A)	K_mu	f	Gamma (s-1)
Cm0	X1	Q19	1142.71233	-0.0944	7.35E-2	1.09E+9
Cm0	X2	Q13	1143.69158	-0.0835	7.67E-2	1.13E+9
Cm0	X3	Q1	1145.90376	-0.0654	3.83E-2	1.18E+9
Cm0	X3	Q2	1146.95128	-0.0664	3.84E-2	1.18E+9
Cm0	X3	Q3	1148.50976	-0.0679	3.85E-2	1.18E+9
Cm0	X2	Q14	1149.77194	-0.0878	7.77E-2	1.12E+9
Cm0	X1	Q20	1150.42075	-0.0988	7.47E-2	1.08E+9
Cm0	X3	Q4	1150.56455	-0.0698	3.87E-2	1.17E+9
Cm0	X3	Q5	1153.09647	-0.0720	3.88E-2	1.17E+9
Cm0	X2	Q15	1156.07152	-0.0921	7.89E-2	1.12E+9
Cm0	X3	Q6	1156.08517	-0.0747	3.90E-2	1.17E+9
Cm0	X1	Q21	1158.24447	-0.1030	7.61E-2	1.07E+9
Cm0	X3	Q7	1159.49829	-0.0776	3.93E-2	1.16E+9
Cm0	X2	Q16	1162.58035	-0.0963	8.01E-2	1.11E+9
Cm0	X3	Q8	1163.31823	-0.0809	3.96E-2	1.16E+9
Cm0	X1	Q22	1166.16253	-0.1071	7.75E-2	1.07E+9
Cm0	X3	Q9	1167.50390	-0.0843	3.99E-2	1.15E+9
Cm0	X2	Q17	1169.25715	-0.1005	8.14E-2	1.10E+9
Cm0	X3	Q10	1172.03433	-0.0879	4.02E-2	1.15E+9
Cm0	X1	Q23	1174.14842	-0.1108	7.91E-2	1.06E+9
Cm0	X2	Q18	1176.08499	-0.1045	8.28E-2	1.10E+9
Cm0	X3	Q11	1176.87313	-0.0916	4.06E-2	1.14E+9
Cm0	X3	Q12	1181.98853	-0.0954	4.10E-2	1.14E+9
Cm0	X2	Q19	1183.02360	-0.1084	8.42E-2	1.09E+9
Cm0	X3	Q13	1187.34978	-0.0992	4.14E-2	1.13E+9
Cm0	X2	Q20	1190.05303	-0.1120	8.57E-2	1.08E+9
Cm0	X3	Q14	1192.93103	-0.1030	4.18E-2	1.12E+9
Cm0	X4	Q1	1193.24563	-0.0833	1.10E-2	1.18E+9
Cm0	X4	Q2	1194.22071	-0.0842	1.10E-2	1.18E+9
Cm0	X4	Q3	1195.66959	-0.0856	1.10E-2	1.18E+9
Cm0	X2	Q21	1197.13548	-0.1154	8.74E-2	1.07E+9
Cm0	X4	Q4	1197.57658	-0.0873	1.10E-2	1.17E+9
Cm0	X3	Q15	1198.67873	-0.1067	4.22E-2	1.12E+9
Cm0	X4	Q5	1199.92111	-0.0893	1.10E-2	1.17E+9
Cm0	X4	Q6	1202.68141	-0.0917	1.10E-2	1.17E+9
Cm0	X2	Q22	1204.24491	-0.1186	8.91E-2	1.07E+9
Cm0	X3	Q16	1204.58122	-0.1103	4.27E-2	1.11E+9
Cm0	X4	Q7	1205.82273	-0.0944	1.10E-2	1.16E+9
Cm0	X4	Q8	1209.32629	-0.0972	1.10E-2	1.16E+9
Cm0	X3	Q17	1210.59278	-0.1137	4.31E-2	1.10E+9
Cm0	X2	Q23	1211.34836	-0.1214	9.09E-2	1.06E+9
Cm0	X4	Q9	1213.14791	-0.1003	1.10E-2	1.15E+9
Cm0	X3	Q18	1216.69331	-0.1170	4.34E-2	1.10E+9
Cm0	X4	Q10	1217.26511	-0.1034	1.10E-2	1.15E+9
Cm0	X4	Q11	1221.63860	-0.1066	1.10E-2	1.14E+9
Cm0	X3	Q19	1222.83708	-0.1200	4.37E-2	1.09E+9
Cm0	X4	Q12	1226.23398	-0.1098	1.09E-2	1.14E+9
Cm0	X3	Q20	1228.99929	-0.1227	4.39E-2	1.08E+9
Cm0	X4	Q13	1231.01772	-0.1130	1.09E-2	1.13E+9
Cm0	X3	Q21	1235.13505	-0.1251	4.41E-2	1.07E+9
Cm0	X4	Q14	1235.96122	-0.1161	1.08E-2	1.12E+9
Cm0	X4	Q15	1241.00579	-0.1191	1.07E-2	1.12E+9
Cm0	X3	Q22	1241.21069	-0.1271	4.41E-2	1.07E+9
Cm0	X4	Q16	1246.13722	-0.1219	1.05E-2	1.11E+9
Cm0	X5	Q5	1247.17382	-0.1050	1.51E-3	1.17E+9
Cm0	X3	Q23	1247.18335	-0.1286	4.39E-2	1.06E+9
Cm0	X4	Q17	1251.30413	-0.1245	1.03E-2	1.10E+9
Cm0	X5	Q7	1252.43050	-0.1093	1.47E-3	1.16E+9
Cm0	X4	Q18	1256.48179	-0.1268	1.01E-2	1.10E+9
Cm0	X5	Q9	1258.88376	-0.1143	1.40E-3	1.15E+9
Cm0	X4	Q19	1261.61703	-0.1288	9.75E-3	1.09E+9
Cm0	X5	Q11	1266.25526	-0.1195	1.32E-3	1.14E+9
Cm0	X4	Q20	1266.67763	-0.1303	9.33E-3	1.08E+9
Cm0	X4	Q21	1271.60820	-0.1314	8.81E-3	1.07E+9
Cm0	X5	Q13	1274.24313	-0.1245	1.21E-3	1.13E+9
Cm0	X4	Q22	1276.36268	-0.1318	8.16E-3	1.07E+9
Cm0	X4	Q23	1280.88161	-0.1315	7.38E-3	1.06E+9
Cm1	X3	Q10	1143.31804	-0.0760	4.91E-2	1.13E+9
Cm1	X2	Q17	1144.07194	-0.0926	7.09E-4	1.09E+9
Cm1	X1	Q22	1144.18839	-0.1029	3.34E-2	1.05E+9
Cm1	X3	Q11	1148.32843	-0.0801	4.98E-2	1.12E+9
Cm1	X3	Q12	1153.64026	-0.0843	5.06E-2	1.12E+9
Cm1	X2	Q19	1158.45052	-0.1017	7.82E-4	1.07E+9
Cm1	X3	Q13	1159.22372	-0.0886	5.15E-2	1.11E+9
Cm1	X4	Q1	1161.29810	-0.0686	6.77E-2	1.16E+9
Cm1	X4	Q2	1162.30659	-0.0695	6.79E-2	1.16E+9
Cm1	X4	Q3	1163.80628	-0.0710	6.81E-2	1.16E+9
Cm1	X3	Q14	1165.04469	-0.0929	5.25E-2	1.11E+9
Cm1	X4	Q4	1165.78187	-0.0728	6.84E-2	1.15E+9
Cm1	X4	Q5	1168.21384	-0.0751	6.88E-2	1.15E+9
Cm1	X3	Q15	1171.06819	-0.0971	5.36E-2	1.10E+9
Cm1	X4	Q6	1171.07957	-0.0777	6.93E-2	1.15E+9
Cm1	X2	Q21	1173.30351	-0.1102	9.43E-4	1.06E+9
Cm1	X4	Q7	1174.35048	-0.0806	6.98E-2	1.14E+9
Cm1	X3	Q16	1177.27311	-0.1013	5.49E-2	1.09E+9
Cm1	X4	Q8	1178.00277	-0.0838	7.04E-2	1.14E+9
Cm1	X4	Q9	1181.99895	-0.0872	7.11E-2	1.13E+9
Cm1	X3	Q17	1183.61594	-0.1053	5.64E-2	1.09E+9
Cm1	X4	Q10	1186.31888	-0.0907	7.19E-2	1.13E+9
Cm1	X3	Q18	1190.06526	-0.1092	5.80E-2	1.08E+9
Cm1	X4	Q11	1190.90940	-0.0943	7.28E-2	1.12E+9
Cm1	X4	Q12	1195.75103	-0.0980	7.37E-2	1.12E+9
Cm1	X3	Q19	1196.60055	-0.1129	6.00E-2	1.07E+9
Cm1	X4	Q13	1200.81112	-0.1017	7.47E-2	1.11E+9
Cm1	X3	Q20	1203.18893	-0.1163	6.22E-2	1.07E+9
Cm1	X4	Q14	1206.05204	-0.1054	7.57E-2	1.11E+9
Cm1	X5	Q1	1206.64183	-0.0839	3.32E-2	1.16E+9
Cm1	X5	Q2	1207.56584	-0.0848	3.32E-2	1.16E+9
Cm1	X5	Q3	1208.93787	-0.0861	3.32E-2	1.16E+9
Cm1	X3	Q21	1209.78214	-0.1195	6.49E-2	1.06E+9
Cm1	X5	Q4	1210.74149	-0.0877	3.32E-2	1.15E+9
Cm1	X4	Q15	1211.43494	-0.1089	7.69E-2	1.10E+9
Cm1	X5	Q5	1212.95573	-0.0897	3.32E-2	1.15E+9
Cm1	X5	Q6	1215.55632	-0.0921	3.32E-2	1.15E+9
Cm1	X3	Q22	1216.34741	-0.1222	6.81E-2	1.05E+9
Cm1	X4	Q16	1216.93528	-0.1123	7.81E-2	1.09E+9
Cm1	X5	Q7	1218.51250	-0.0946	3.32E-2	1.14E+9
Cm1	X5	Q8	1221.79866	-0.0974	3.32E-2	1.14E+9
Cm1	X4	Q17	1222.50395	-0.1156	7.93E-2	1.09E+9
Cm1	X5	Q9	1225.37433	-0.1004	3.31E-2	1.13E+9
