(0) Wavelength, (1) Transition probability, (2) Wavenumber Observed, (3) Wavenumber Calculated, (4) Oscillator strength, (5) Upper state energy, (6) statistical weight, (7) elec_state_label, (8) j, (9) elec_refl, (10) s, (11) v, (12) kronig_parity, (13) lambda_field, (14) elec_inv, (15) Lower state energy, (16) statistical weight, (17) elec_state_label, (18) j, (19) v, (20) kronig_parity
   1012.17,5.97941e+07,,    98797.89, 5.513e-03,  99152.26,  3,  C,  1,  +,  0,  0,  e,  1,  u,354.37,  5,  X,  2,  0,  e
   1008.55,9.60769e+07,,    99152.26, 4.398e-02,  99152.26,  3,  C,  1,  +,  0,  0,  e,  1,  u,0.00,  1,  X,  0,  0,  e
   1056.47,1.44890e+08,,    94654.42, 1.455e-02,  99152.26,  3,  C,  1,  +,  0,  0,  e,  1,  u,4497.84,  5,  X,  2,  1,  e
   1052.73,2.48961e+08,,    94991.09, 1.242e-01,  99152.26,  3,  C,  1,  +,  0,  0,  e,  1,  u,4161.17,  1,  X,  0,  1,  e
   1101.98,1.32664e+08,,    90745.90, 1.450e-02,  99152.26,  3,  C,  1,  +,  0,  0,  e,  1,  u,8406.36,  5,  X,  2,  2,  e
   1098.11,2.53894e+08,,    91065.26, 1.378e-01,  99152.26,  3,  C,  1,  +,  0,  0,  e,  1,  u,8087.00,  1,  X,  0,  2,  e
   1148.53,5.97083e+07,,    87067.56, 7.089e-03,  99152.26,  3,  C,  1,  +,  0,  0,  e,  1,  u,12084.70,  5,  X,  2,  3,  e
   1144.56,1.29053e+08,,    87369.87, 7.608e-02,  99152.26,  3,  C,  1,  +,  0,  0,  e,  1,  u,11782.39,  1,  X,  0,  3,  e
   1195.94,1.50845e+07,,    83616.52, 1.942e-03,  99152.26,  3,  C,  1,  +,  0,  0,  e,  1,  u,15535.74,  5,  X,  2,  4,  e
   1191.87,3.31174e+07,,    83901.89, 2.117e-02,  99152.26,  3,  C,  1,  +,  0,  0,  e,  1,  u,15250.37,  1,  X,  0,  4,  e
   1243.91,2.34003e+06,,    80391.92, 3.259e-04,  99152.26,  3,  C,  1,  +,  0,  0,  e,  1,  u,18760.34,  5,  X,  2,  5,  e
   1239.77,3.74791e+06,,    80660.33, 2.592e-03,  99152.26,  3,  C,  1,  +,  0,  0,  e,  1,  u,18491.93,  1,  X,  0,  5,  e
   1292.07,1.20579e+05,,    77395.25, 1.812e-05,  99152.26,  3,  C,  1,  +,  0,  0,  e,  1,  u,21757.01,  5,  X,  2,  6,  e
   1287.89,1.77736e+05,,    77646.48, 1.327e-04,  99152.26,  3,  C,  1,  +,  0,  0,  e,  1,  u,21505.78,  1,  X,  0,  6,  e
   1339.93,1.81635e+04,,    74630.76, 2.935e-06,  99152.26,  3,  C,  1,  +,  0,  0,  e,  1,  u,24521.50,  5,  X,  2,  7,  e
   1335.75,2.38885e+04,,    74864.34, 1.918e-05,  99152.26,  3,  C,  1,  +,  0,  0,  e,  1,  u,24287.92,  1,  X,  0,  7,  e
   1386.85,1.71225e+03,,    72105.96, 2.964e-07,  99152.26,  3,  C,  1,  +,  0,  0,  e,  1,  u,27046.30,  5,  X,  2,  8,  e
   1382.72,1.07277e+03,,    72321.17, 9.230e-07,  99152.26,  3,  C,  1,  +,  0,  0,  e,  1,  u,26831.09,  1,  X,  0,  8,  e
   1432.00,2.63718e+04,,    69832.52, 4.867e-06,  99152.26,  3,  C,  1,  +,  0,  0,  e,  1,  u,29319.74,  5,  X,  2,  9,  e
   1428.00,1.30112e+04,,    70028.22, 1.194e-05,  99152.26,  3,  C,  1,  +,  0,  0,  e,  1,  u,29124.04,  1,  X,  0,  9,  e
   1474.33,2.92169e+02,,    67827.31, 5.716e-08,  99152.26,  3,  C,  1,  +,  0,  0,  e,  1,  u,31324.95,  5,  X,  2, 10,  e
   1470.55,2.66742e-01,,    68001.87, 2.596e-10,  99152.26,  3,  C,  1,  +,  0,  0,  e,  1,  u,31150.39,  1,  X,  0, 10,  e
   1512.54,2.06318e+04,,    66114.12, 4.248e-06,  99152.26,  3,  C,  1,  +,  0,  0,  e,  1,  u,33038.14,  5,  X,  2, 11,  e
   1509.09,1.15065e+04,,    66265.16, 1.179e-05,  99152.26,  3,  C,  1,  +,  0,  0,  e,  1,  u,32887.10,  1,  X,  0, 11,  e
   1544.97,1.01610e+04,,    64726.04, 2.183e-06,  99152.26,  3,  C,  1,  +,  0,  0,  e,  1,  u,34426.22,  5,  X,  2, 12,  e
   1542.02,4.23531e+03,,    64850.09, 4.532e-06,  99152.26,  3,  C,  1,  +,  0,  0,  e,  1,  u,34302.17,  1,  X,  0, 12,  e
   1569.63,2.67209e+04,,    63709.27, 5.925e-06,  99152.26,  3,  C,  1,  +,  0,  0,  e,  1,  u,35442.99,  5,  X,  2, 13,  e
   1567.38,8.25753e+03,,    63800.94, 9.129e-06,  99152.26,  3,  C,  1,  +,  0,  0,  e,  1,  u,35351.32,  1,  X,  0, 13,  e
   1584.05,1.99433e+04,,    63129.13, 4.504e-06,  99152.26,  3,  C,  1,  +,  0,  0,  e,  1,  u,36023.13,  5,  X,  2, 14,  e
   1582.80,1.75791e+04,,    63178.99, 1.982e-05,  99152.26,  3,  C,  1,  +,  0,  0,  e,  1,  u,35973.27,  1,  X,  0, 14,  e
   1014.50,7.51047e+07,,    98570.53, 8.282e-03,  99276.05, 15,  C,  2,  +,  0,  0,  e,  1,  u,705.52, 21,  X,  3,  0,  e
   1008.50,8.07467e+07,,    99157.56, 2.053e-02,  99276.05, 15,  C,  2,  +,  0,  0,  e,  1,  u,118.49,  9,  X,  1,  0,  e
   1058.82,1.80915e+08,,    94444.66, 2.173e-02,  99276.05, 15,  C,  2,  +,  0,  0,  e,  1,  u,4831.39, 21,  X,  3,  1,  e
   1052.61,2.12393e+08,,    95002.31, 5.883e-02,  99276.05, 15,  C,  2,  +,  0,  0,  e,  1,  u,4273.74,  9,  X,  1,  1,  e
   1104.32,1.62200e+08,,    90553.35, 2.119e-02,  99276.05, 15,  C,  2,  +,  0,  0,  e,  1,  u,8722.70, 21,  X,  3,  2,  e
   1097.91,2.23305e+08,,    91082.25, 6.729e-02,  99276.05, 15,  C,  2,  +,  0,  0,  e,  1,  u,8193.80,  9,  X,  1,  2,  e
   1150.85,7.02591e+07,,    86891.97, 9.970e-03,  99276.05, 15,  C,  2,  +,  0,  0,  e,  1,  u,12384.08, 21,  X,  3,  3,  e
   1144.26,1.18388e+08,,    87392.56, 3.875e-02,  99276.05, 15,  C,  2,  +,  0,  0,  e,  1,  u,11883.49,  9,  X,  1,  3,  e
   1198.21,1.72804e+07,,    83457.76, 2.658e-03,  99276.05, 15,  C,  2,  +,  0,  0,  e,  1,  u,15818.29, 21,  X,  3,  4,  e
   1191.47,3.11401e+07,,    83930.24, 1.105e-02,  99276.05, 15,  C,  2,  +,  0,  0,  e,  1,  u,15345.81,  9,  X,  1,  4,  e
   1246.11,2.89000e+06,,    80250.05, 4.808e-04,  99276.05, 15,  C,  2,  +,  0,  0,  e,  1,  u,19026.00, 21,  X,  3,  5,  e
   1239.24,3.22519e+06,,    80694.34, 1.238e-03,  99276.05, 15,  C,  2,  +,  0,  0,  e,  1,  u,18581.71,  9,  X,  1,  5,  e
   1294.15,1.75351e+05,,    77270.50, 3.147e-05,  99276.05, 15,  C,  2,  +,  0,  0,  e,  1,  u,22005.55, 21,  X,  3,  6,  e
   1287.23,1.16199e+05,,    77686.23, 4.813e-05,  99276.05, 15,  C,  2,  +,  0,  0,  e,  1,  u,21589.82,  9,  X,  1,  6,  e
   1341.86,4.28850e+04,,    74523.59, 8.273e-06,  99276.05, 15,  C,  2,  +,  0,  0,  e,  1,  u,24752.46, 21,  X,  3,  7,  e
   1334.94,4.87929e+04,,    74909.98, 2.174e-05,  99276.05, 15,  C,  2,  +,  0,  0,  e,  1,  u,24366.07,  9,  X,  1,  7,  e
   1388.56,7.70805e+03,,    72017.14, 1.592e-06,  99276.05, 15,  C,  2,  +,  0,  0,  e,  1,  u,27258.91, 21,  X,  3,  8,  e
   1381.73,8.89835e+03,,    72372.93, 4.247e-06,  99276.05, 15,  C,  2,  +,  0,  0,  e,  1,  u,26903.12,  9,  X,  1,  8,  e
   1433.42,5.85819e+04,,    69763.19, 1.290e-05,  99276.05, 15,  C,  2,  +,  0,  0,  e,  1,  u,29512.86, 21,  X,  3,  9,  e
   1426.81,3.60861e+04,,    70086.49, 1.837e-05,  99276.05, 15,  C,  2,  +,  0,  0,  e,  1,  u,29189.56,  9,  X,  1,  9,  e
   1475.38,3.01165e+01,,    67779.15, 7.024e-09,  99276.05, 15,  C,  2,  +,  0,  0,  e,  1,  u,31496.90, 21,  X,  3, 10,  e
   1469.14,1.09151e+03,,    68067.18, 5.890e-07,  99276.05, 15,  C,  2,  +,  0,  0,  e,  1,  u,31208.87,  9,  X,  1, 10,  e
   1513.10,4.96838e+04,,    66089.57, 1.219e-05,  99276.05, 15,  C,  2,  +,  0,  0,  e,  1,  u,33186.48, 21,  X,  3, 11,  e
   1507.42,3.79024e+04,,    66338.30, 2.153e-05,  99276.05, 15,  C,  2,  +,  0,  0,  e,  1,  u,32937.75,  9,  X,  1, 11,  e
   1544.91,1.98942e+04,,    64728.72, 5.087e-06,  99276.05, 15,  C,  2,  +,  0,  0,  e,  1,  u,34547.33, 21,  X,  3, 12,  e
   1540.07,8.93635e+03,,    64932.20, 5.299e-06,  99276.05, 15,  C,  2,  +,  0,  0,  e,  1,  u,34343.85,  9,  X,  1, 12,  e
   1568.75,6.49732e+04,,    63744.82, 1.713e-05,  99276.05, 15,  C,  2,  +,  0,  0,  e,  1,  u,35531.23, 21,  X,  3, 13,  e
   1565.10,1.86951e+04,,    63893.80, 1.145e-05,  99276.05, 15,  C,  2,  +,  0,  0,  e,  1,  u,35382.25,  9,  X,  1, 13,  e
   1582.07,2.97736e+04,,    63208.22, 7.984e-06,  99276.05, 15,  C,  2,  +,  0,  0,  e,  1,  u,36067.83, 21,  X,  3, 14,  e
   1580.14,5.65744e+04,,    63285.62, 3.531e-05,  99276.05, 15,  C,  2,  +,  0,  0,  e,  1,  u,35990.43,  9,  X,  1, 14,  e
   1017.38,8.24085e+07,,    98291.40, 9.951e-03,  99460.20,  7,  C,  3,  +,  0,  0,  e,  1,  u,1168.80,  9,  X,  4,  0,  e
   1009.02,7.32310e+07,,    99105.83, 1.566e-02,  99460.20,  7,  C,  3,  +,  0,  0,  e,  1,  u,354.37,  5,  X,  2,  0,  e
   1061.70,2.00370e+08,,    94188.82, 2.635e-02,  99460.20,  7,  C,  3,  +,  0,  0,  e,  1,  u,5271.38,  9,  X,  4,  1,  e
   1053.05,1.92384e+08,,    94962.36, 4.480e-02,  99460.20,  7,  C,  3,  +,  0,  0,  e,  1,  u,4497.84,  5,  X,  2,  1,  e
   1107.17,1.78181e+08,,    90320.30, 2.548e-02,  99460.20,  7,  C,  3,  +,  0,  0,  e,  1,  u,9139.90,  9,  X,  4,  2,  e
   1098.25,2.05937e+08,,    91053.84, 5.216e-02,  99460.20,  7,  C,  3,  +,  0,  0,  e,  1,  u,8406.36,  5,  X,  2,  2,  e
   1153.65,7.42507e+07,,    86681.38, 1.153e-02,  99460.20,  7,  C,  3,  +,  0,  0,  e,  1,  u,12778.82,  9,  X,  4,  3,  e
   1144.49,1.13912e+08,,    87375.50, 3.133e-02,  99460.20,  7,  C,  3,  +,  0,  0,  e,  1,  u,12084.70,  5,  X,  2,  3,  e
   1200.92,1.72948e+07,,    83269.50, 2.910e-03,  99460.20,  7,  C,  3,  +,  0,  0,  e,  1,  u,16190.70,  9,  X,  4,  4,  e
   1191.55,3.14454e+07,,    83924.46, 9.376e-03,  99460.20,  7,  C,  3,  +,  0,  0,  e,  1,  u,15535.74,  5,  X,  2,  4,  e
   1248.69,3.07766e+06,,    80084.17, 5.599e-04,  99460.20,  7,  C,  3,  +,  0,  0,  e,  1,  u,19376.03,  9,  X,  4,  5,  e
   1239.16,3.08364e+06,,    80699.86, 9.943e-04,  99460.20,  7,  C,  3,  +,  0,  0,  e,  1,  u,18760.34,  5,  X,  2,  5,  e
   1296.56,2.58602e+05,,    77127.34, 5.072e-05,  99460.20,  7,  C,  3,  +,  0,  0,  e,  1,  u,22332.86,  9,  X,  4,  6,  e
   1286.95,5.50466e+04,,    77703.19, 1.915e-05,  99460.20,  7,  C,  3,  +,  0,  0,  e,  1,  u,21757.01,  5,  X,  2,  6,  e
   1344.02,6.29794e+04,,    74403.79, 1.327e-05,  99460.20,  7,  C,  3,  +,  0,  0,  e,  1,  u,25056.41,  9,  X,  4,  7,  e
   1334.42,6.01301e+04,,    74938.70, 2.249e-05,  99460.20,  7,  C,  3,  +,  0,  0,  e,  1,  u,24521.50,  5,  X,  2,  7,  e
   1390.40,2.83624e+04,,    71921.75, 6.397e-06,  99460.20,  7,  C,  3,  +,  0,  0,  e,  1,  u,27538.45,  9,  X,  4,  8,  e
   1380.95,3.66188e+04,,    72413.90, 1.466e-05,  99460.20,  7,  C,  3,  +,  0,  0,  e,  1,  u,27046.30,  5,  X,  2,  8,  e
   1434.85,9.15819e+04,,    69693.78, 2.200e-05,  99460.20,  7,  C,  3,  +,  0,  0,  e,  1,  u,29766.42,  9,  X,  4,  9,  e
