# λ [A]  σ(λ) [1e-18 cm^2]
16300  0.1989
16200  0.4974
16100  0.8697
16000  1.302
15750  2.575
15500  4.052
15250  5.677
15000  7.407
14750  9.211
14500  11.07
14250  12.95
14000  14.85
13750  16.74
13500  18.62
13250  20.46
13000  22.26
12750  24.02
12500  25.71
12250  27.33
12000  28.87
11750  30.34
11500  31.72
11250  33.01
11000  34.19
10750  35.28
10500  36.25
10250  37.13
10000  37.89
9750   38.53
9500   39.06
9250   39.48
9000   39.77
8750   39.95
8500   40.01
8250   39.95
8000   39.77
7750   39.48
7500   39.07
7250   38.54
7000   37.91
6750   37.17
6500   36.32
6250   35.37
6000   34.32
5750   33.17
5500   31.94
5250   30.62
5000   29.23
4750   27.77
4500   26.24
4250   24.65
4000   23.02
3750   21.35
3500   19.65
3250   17.92
3000   16.19
2750   14.46
2500   12.75
2250   11.08
2000   9.453
1750   7.918
1500   6.512
1250   5.431
