# Data for B+ states 
#  J 	 v 		 E(v,J) [1/cm] 			 Ab [1/s] 			 Ac [1/s] 			 At [1/s] 			 f of dissociation 		 mean Ekin [eV]
    0     0     9.0203531240E+04     1.8652009353E+09     7.2767549738E+00     1.8652009426E+09     3.9013249499E-09     6.0178589591E-02
    0     1     9.1521987710E+04     1.7397689990E+09     1.1738335977E+02     1.7397691164E+09     6.7470653813E-08     1.9046002452E-01
    0     2     9.2803491060E+04     1.6311612646E+09     2.1443291949E+04     1.6311827079E+09     1.3145855363E-05     8.0262158915E-02
    0     3     9.4050229750E+04     1.5352584190E+09     2.0585342871E+05     1.5354642724E+09     1.3406591896E-04     6.3630417215E-02
    0     4     9.5263253370E+04     1.4478406066E+09     1.9180577065E+06     1.4497586643E+09     1.3230186193E-03     1.3894451875E-01
    0     5     9.6443261510E+04     1.3478890800E+09     2.4444851986E+07     1.3723339320E+09     1.7812612088E-02     6.5368895154E-02
    0     6     9.7590769690E+04     1.2611143830E+09     4.0680326952E+07     1.3017947100E+09     3.1249417931E-02     1.6599484660E-01
    0     7     9.8706234200E+04     9.8080590000E+08     2.5642595397E+08     1.2372318540E+09     2.0725780148E-01     1.0592066389E-01
    0     8     9.9790127140E+04     8.2241285980E+08     3.5548255045E+08     1.1778954102E+09     3.0179466476E-01     1.5459423733E-01
    0     9     1.0084291401E+05     6.5887675600E+08     4.6431319441E+08     1.1231899504E+09     4.1338795298E-01     2.1896094763E-01
    0    10     1.0186508142E+05     6.3227000000E+08     4.4026671879E+08     1.0725367188E+09     4.1049104527E-01     3.2316297779E-01
    0    11     1.0285713672E+05     6.0867148000E+08     4.1677743635E+08     1.0254489163E+09     4.0643412822E-01     4.2259041171E-01
    0    12     1.0381959312E+05     4.6788324000E+08     5.1384378381E+08     9.8172702381E+08     5.2340800584E-01     4.0771190938E-01
    0    13     1.0475296999E+05     4.5995869950E+08     4.8101002899E+08     9.4096872849E+08     5.1118598783E-01     5.0329960508E-01
    0    14     1.0565779921E+05     4.1568711000E+08     4.8744410288E+08     9.0313121288E+08     5.3972678159E-01     5.5569784406E-01
    0    15     1.0653460635E+05     3.8153329200E+08     4.8633215236E+08     8.6786544436E+08     5.6037736670E-01     6.0766897363E-01
    0    16     1.0738389085E+05     3.7067924100E+08     4.6412617757E+08     8.3480541857E+08     5.5596929206E-01     6.8353496136E-01
    0    17     1.0820615513E+05     3.1676284230E+08     4.8756273939E+08     8.0432558169E+08     6.0617584532E-01     6.9124522532E-01
    0    18     1.0900187251E+05     3.0170136300E+08     4.7395663217E+08     7.7565799517E+08     6.1103815744E-01     7.5013225660E-01
    0    19     1.0977148395E+05     2.7238688130E+08     4.7667440612E+08     7.4906128742E+08     6.3636235663E-01     7.8011689133E-01
    0    20     1.1051540154E+05     2.6147382200E+08     4.6297102990E+08     7.2444485190E+08     6.3907008061E-01     8.3359571015E-01
    0    21     1.1123397165E+05     2.5020643800E+08     4.5149476891E+08     7.0170120691E+08     6.4342880483E-01     8.7992724629E-01
    0    22     1.1192748444E+05     2.3636347373E+08     4.4436238937E+08     6.8072586310E+08     6.5277729767E-01     9.1384978078E-01
    0    23     1.1259613243E+05     2.2477361200E+08     4.3689372169E+08     6.6166733369E+08     6.6029211274E-01     9.4493352319E-01
    0    24     1.1324000817E+05     2.0654825800E+08     4.3800822757E+08     6.4455648557E+08     6.7954979490E-01     9.5374397978E-01
    0    25     1.1385904063E+05     1.9230658000E+08     4.3703684875E+08     6.2934342875E+08     6.9443300555E-01     9.6286706526E-01
