# Data for B'+ states 
#  J 	 v 		 E(v,J) [1/cm] 			 Ab [1/s] 			 Ac [1/s] 			 At [1/s] 			 f of dissociation 		 mean Ekin [eV]
    0     0     1.1047852035E+05     3.8163309871E+08     7.0487855190E+01     3.8163316920E+08     1.8470054723E-07     8.3453117936E-01
    0     1     1.1235866809E+05     3.2444218352E+08     2.6026033569E+01     3.2444220955E+08     8.0217779323E-08     8.2578927105E-01
    0     2     1.1407506921E+05     2.6649958259E+08     5.9060189682E+01     2.6649964165E+08     2.2161451819E-07     6.9383713038E-01
    0     3     1.1560664833E+05     2.0968139436E+08     6.3195760969E+02     2.0968202632E+08     3.0138854569E-06     8.5998556818E-01
    0     4     1.1690604536E+05     1.5762388766E+08     1.7469942286E+03     1.5762563465E+08     1.1083186009E-05     1.7422303961E-01
    0     5     1.1785917651E+05     1.3295850956E+08     1.0254611436E+05     1.3306105567E+08     7.7066962864E-04     1.2548146632E-02
    0     6     1.1817021763E+05     2.0658957985E+08     1.3151830972E+08     3.3810788958E+08     3.8898326178E-01     7.6993332513E-03
    0     7     1.1827225893E+05     3.4169226710E+07     3.5356643387E+08     3.8773566058E+08     9.1187494424E-01     4.9103785350E-03
    0     8     1.1833604927E+05     1.3401867513E+07     5.9236494458E+08     6.0576681210E+08     9.7787619387E-01     4.3430161393E-02
    0     9     1.1837481104E+05     4.9432854000E+06     1.3288702163E+08     1.3783030703E+08     9.6413498956E-01     1.5382288636E-02
    1     0     1.1052944064E+05     3.8055528520E+08     7.3365938533E+04     3.8062865114E+08     1.9274938530E-04     8.3476846097E-01
    1     1     1.1240458939E+05     3.2356057400E+08     3.0760626903E+02     3.2356088161E+08     9.5069053928E-07     5.0490587896E-01
    1     2     1.1411824385E+05     2.6572569636E+08     8.7316101506E+01     2.6572578367E+08     3.2859476524E-07     4.0224323901E-01
    1     3     1.1564719786E+05     2.0939817428E+08     3.5474123007E+02     2.0939852902E+08     1.6940960938E-06     7.3426404705E-01
    1     4     1.1693768795E+05     1.5824508289E+08     2.2105907406E+04     1.5826718880E+08     1.3967460706E-04     1.4479947241E-01
    1     5     1.1788377703E+05     1.3413159157E+08     2.7353445249E+05     1.3440512602E+08     2.0351489603E-03     7.7825403195E-02
    1     6     1.1817771550E+05     2.1304784152E+08     1.2964092072E+08     3.4268876224E+08     3.7830514158E-01     8.5547629943E-03
    1     7     1.1827812135E+05     3.3071480272E+07     3.5432435253E+08     3.8739583281E+08     9.1463129577E-01     5.3338105276E-03
    1     8     1.1834169638E+05     1.9749417116E+07     4.5580477839E+08     4.7555419551E+08     9.5847073309E-01     1.9990548935E-02
    1     9     1.1837658985E+05     4.3688622376E+06     1.0528194067E+08     1.0965080290E+08     9.6015658689E-01     1.6653401213E-02
    2     0     1.1063091592E+05     3.7889084931E+08     1.9035094503E+01     3.7889086835E+08     5.0238989886E-08     9.4993207193E-01
    2     1     1.1249640045E+05     3.2165814965E+08     3.5870796074E+01     3.2165818552E+08     1.1151836853E-07     5.7171416911E-01
    2     2     1.1420431500E+05     2.6411660627E+08     1.4211567511E+02     2.6411674839E+08     5.3807899718E-07     4.0443058333E-01
    2     3     1.1572810305E+05     2.0897445346E+08     4.1367659796E+02     2.0897486713E+08     1.9795519128E-06     2.3232302339E-01
    2     4     1.1700152816E+05     1.5829844953E+08     2.4433272096E+03     1.5830089285E+08     1.5434702645E-05     1.6318703626E-01
    2     5     1.1793201721E+05     1.3684687223E+08     5.6761631821E+05     1.3741448855E+08     4.1306875585E-03     8.7527785954E-02
