# Data for C- states 
#  J 	 v 		 E(v,J) [1/cm] 			 Ab [1/s] 			 Ac [1/s] 			 At [1/s] 			 f of dissociation 		 mean Ekin [eV]
    1     0     9.9151039450E+04     1.1797293232E+09     2.8832997196E-02     1.1797293232E+09     2.4440349688E-11     1.0468625109E+00
    1     1     1.0145671605E+05     1.1584657827E+09     3.4073383537E-02     1.1584657827E+09     2.9412507513E-11     9.5673863277E-01
    1     2     1.0362830330E+05     1.1385632170E+09     7.6672516506E-01     1.1385632177E+09     6.7341466255E-10     1.9117420869E-01
    1     3     1.0566842710E+05     1.1206112141E+09     2.2180978580E+01     1.1206112363E+09     1.9793642846E-08     8.3984043106E-02
    1     4     1.0757895447E+05     1.1045016995E+09     2.2881855941E+03     1.1045039877E+09     2.0716861319E-06     9.3878344600E-02
    1     5     1.0936046133E+05     1.0903124068E+09     9.0694980336E+03     1.0903214763E+09     8.3181870951E-06     1.5875499012E-01
    1     6     1.1101197460E+05     1.0778419620E+09     7.3605733964E+05     1.0785780193E+09     6.8243309843E-04     7.7128065994E-02
    1     7     1.1253109396E+05     1.0682907960E+09     1.4855983632E+06     1.0697763944E+09     1.3886998919E-03     2.1140681152E-01
    1     8     1.1391343931E+05     1.0240135850E+09     4.0738251507E+07     1.0647518365E+09     3.8260794778E-02     6.8338967080E-02
    1     9     1.1515204308E+05     9.9964855850E+08     6.4600449569E+07     1.0642490081E+09     6.0700502495E-02     1.8038295947E-01
    1    10     1.1623605168E+05     6.5601386000E+08     4.1449807376E+08     1.0705119338E+09     3.8719612616E-01     7.7841111612E-02
    1    11     1.1714952692E+05     6.2729096000E+08     4.5760326651E+08     1.0848942265E+09     4.2179528228E-01     1.5158924869E-01
    1    12     1.1786787561E+05     4.1207800230E+08     6.9928190060E+08     1.1113599029E+09     6.2921282185E-01     1.2861273921E-01
    1    13     1.1834931817E+05     2.1969472750E+08     9.3869274958E+08     1.1583874771E+09     8.1034435209E-01     7.7063298079E-02
    2     0     9.9272550660E+04     1.1784963063E+09     2.9398137488E-02     1.1784963063E+09     2.4945464258E-11     1.0539381456E+00
    2     1     1.0157193397E+05     1.1573171707E+09     3.8006542137E-02     1.1573171707E+09     3.2840212777E-11     8.5099662036E-01
    2     2     1.0373737554E+05     1.1374780159E+09     8.1780770084E-01     1.1374780167E+09     7.1896571965E-10     1.9375821055E-01
    2     3     1.0577145943E+05     1.1196104148E+09     3.1267563424E+01     1.1196104461E+09     2.7927180863E-08     7.4629459018E-02
    2     4     1.0767601346E+05     1.1035932147E+09     2.4528612464E+03     1.1035956676E+09     2.2226086223E-06     1.0076667628E-01
    2     5     1.0945153614E+05     1.0894963860E+09     1.2075814437E+04     1.0895084618E+09     1.1083727075E-05     1.2713906395E-01
    2     6     1.1109700709E+05     1.0770743650E+09     8.0440337975E+05     1.0778787684E+09     7.4628372257E-04     8.2767029811E-02
    2     7     1.1260991882E+05     1.0676301150E+09     1.5902331209E+06     1.0692203481E+09     1.4872828821E-03     1.9985545160E-01
    2     8     1.1398579785E+05     1.0198028880E+09     4.4580953661E+07     1.0643838417E+09     4.1884282639E-02     7.2660200444E-02
    2     9     1.1521752117E+05     1.0001467553E+09     6.4263275132E+07     1.0644100304E+09     6.0374548620E-02     1.8469721143E-01
    2    10     1.1629398080E+05     6.3194246000E+08     4.3881513117E+08     1.0707575912E+09     4.0981743654E-01     8.0533173121E-02
    2    11     1.1719889082E+05     6.1952495000E+08     4.6608945911E+08     1.0856144091E+09     4.2933241784E-01     1.5223824926E-01
    2    12     1.1790695537E+05     4.3813533710E+08     6.7469889490E+08     1.1128342320E+09     6.0628876746E-01     1.3490202995E-01
    2    13     1.1837438228E+05     2.4780301540E+08     9.1449305222E+08     1.1622960676E+09     7.8679871480E-01     7.7383066078E-02
    3     0     9.9453627170E+04     1.1766632230E+09     2.9965671818E-02     1.1766632231E+09     2.5466651145E-11     1.0768858064E+00
    3     1     1.0174361556E+05     1.1555869004E+09     4.4737456915E-02     1.1555869004E+09     3.8714056812E-11     7.2316603653E-01
    3     2     1.0389988022E+05     1.1358829134E+09     8.7608916896E-01     1.1358829142E+09     7.7128474949E-10     2.0219336739E-01
    3     3     1.0592494313E+05     1.1181311056E+09     5.1058999087E+01     1.1181311566E+09     4.5664588439E-08     6.8111528944E-02
    3     4     1.0782057207E+05     1.1022317092E+09     2.6570336283E+03     1.1022343662E+09     2.4105886277E-06     1.1180063261E-01
    3     5     1.0958714866E+05     1.0882740390E+09     1.9590221728E+04     1.0882936292E+09     1.8000860431E-05     9.3377927641E-02
    3     6     1.1122358142E+05     1.0759450090E+09     8.9981614256E+05     1.0768448251E+09     8.3560427793E-04     9.1520112002E-02
    3     7     1.1272720112E+05     1.0664048250E+09     2.0045797356E+06     1.0684094047E+09     1.8762280889E-03     1.6459828770E-01
    3     8     1.1409338977E+05     1.0138070030E+09     5.0048929427E+07     1.0638559324E+09     4.7044837464E-02     7.9582334301E-02
    3     9     1.1531478509E+05     9.9591846080E+08     6.8335711173E+07     1.0642541720E+09     6.4209953762E-02     1.7863088173E-01
    3    10     1.1637989512E+05     6.0114584000E+08     4.6996388121E+08     1.0711097212E+09     4.3876352898E-01     8.5564818340E-02
    3    11     1.1727188268E+05     5.9134179000E+08     4.9538985280E+08     1.0867316428E+09     4.5585297537E-01     1.4829081589E-01
    3    12     1.1796434106E+05     4.7420226670E+08     6.4095901429E+08     1.1151612810E+09     5.7476799564E-01     1.4382443039E-01
    4     0     9.9692874670E+04     1.1742418498E+09     3.0188023033E-02     1.1742418498E+09     2.5708522514E-11     1.1295445749E+00
    4     1     1.0197041947E+05     1.1533193526E+09     5.5614785565E-02     1.1533193527E+09     4.8221496880E-11     6.0090763086E-01
    4     2     1.0411452514E+05     1.1337642353E+09     9.0228037018E-01     1.1337642362E+09     7.9582715820E-10     2.2378510340E-01
    4     3     1.0612763119E+05     1.1161738523E+09     9.4807313644E+01     1.1161739471E+09     8.4939550768E-08     6.5331364159E-02
    4     4     1.0801142394E+05     1.1004505339E+09     2.8156881239E+03     1.1004533496E+09     2.5586619596E-06     1.2840061725E-01
    4     5     1.0976612752E+05     1.0866490160E+09     3.8546647981E+04     1.0866875626E+09     3.5471693342E-05     6.9696807157E-02
    4     6     1.1139055492E+05     1.0743386020E+09     1.0057396537E+06     1.0753443417E+09     9.3527218657E-04     1.0368033031E-01
    4     7     1.1288182005E+05     1.0620672650E+09     3.3628492388E+06     1.0654301142E+09     3.1563301936E-03     1.1110132018E-01
