# Data for B+ states 
#  J 	 v 		 E(v,J) [1/cm] 			 Ac [1/s] 			 mean Ekin [eV]
    0     0     9.0203531240E+04     7.2767549738E+00     6.0178589591E-02
    0     1     9.1521987710E+04     1.1738335977E+02     1.9046002452E-01
    0     2     9.2803491060E+04     2.1443291949E+04     8.0262158915E-02
    0     3     9.4050229750E+04     2.0585342871E+05     6.3630417215E-02
    0     4     9.5263253370E+04     1.9180577065E+06     1.3894451875E-01
    0     5     9.6443261510E+04     2.4444851986E+07     6.5368895154E-02
    0     6     9.7590769690E+04     4.0680326952E+07     1.6599484660E-01
    0     7     9.8706234200E+04     2.5642595397E+08     1.0592066389E-01
    0     8     9.9790127140E+04     3.5548255045E+08     1.5459423733E-01
    0     9     1.0084291401E+05     4.6431319441E+08     2.1896094763E-01
    0    10     1.0186508142E+05     4.4026671879E+08     3.2316297779E-01
    0    11     1.0285713672E+05     4.1677743635E+08     4.2259041171E-01
    0    12     1.0381959312E+05     5.1384378381E+08     4.0771190938E-01
    0    13     1.0475296999E+05     4.8101002899E+08     5.0329960508E-01
    0    14     1.0565779921E+05     4.8744410288E+08     5.5569784406E-01
    0    15     1.0653460635E+05     4.8633215236E+08     6.0766897363E-01
    0    16     1.0738389085E+05     4.6412617757E+08     6.8353496136E-01
    0    17     1.0820615513E+05     4.8756273939E+08     6.9124522532E-01
    0    18     1.0900187251E+05     4.7395663217E+08     7.5013225660E-01
    0    19     1.0977148395E+05     4.7667440612E+08     7.8011689133E-01
    0    20     1.1051540154E+05     4.6297102990E+08     8.3359571015E-01
    0    21     1.1123397165E+05     4.5149476891E+08     8.7992724629E-01
    0    22     1.1192748444E+05     4.4436238937E+08     9.1384978078E-01
    0    23     1.1259613243E+05     4.3689372169E+08     9.4493352319E-01
    0    24     1.1324000817E+05     4.3800822757E+08     9.5374397978E-01
    0    25     1.1385904063E+05     4.3703684875E+08     9.6286706526E-01
    0    26     1.1445292549E+05     4.4131693214E+08     9.5618708911E-01
    0    27     1.1502104516E+05     4.4482757610E+08     9.4670628204E-01
    0    28     1.1556240090E+05     4.5379545134E+08     9.2036805610E-01
    0    29     1.1607540017E+05     4.6744232469E+08     8.7957105360E-01
    0    30     1.1655746946E+05     4.8622025478E+08     8.2258033653E-01
    0    31     1.1700459520E+05     5.0902468726E+08     7.5117063839E-01
    0    32     1.1741071468E+05     5.4080334131E+08     6.5828090640E-01
    0    33     1.1776631966E+05     5.8535755436E+08     5.3820856814E-01
    0    34     1.1805535667E+05     6.5522159058E+08     3.8220790629E-01
    0    35     1.1825310043E+05     7.6500655247E+08     1.9520504945E-01
    0    36     1.1833889404E+05     6.6634128405E+08     3.4026271803E-02
    0    37     1.1836359841E+05     9.7158684957E+08     2.0834001279E-02
    1     0     9.0242386530E+04     8.0287982725E+00     6.6871476554E-02
    1     1     9.1558910130E+04     1.3347740275E+02     1.7084241342E-01
    1     2     9.2838776490E+04     2.1756147131E+04     8.4438128888E-02
    1     3     9.4084075420E+04     2.3636161567E+05     6.2398917460E-02
    1     4     9.5295785060E+04     1.8538006991E+06     1.4522275105E-01
    1     5     9.6474574180E+04     2.5535407346E+07     6.7781394682E-02
    1     6     9.7620927260E+04     4.3358347870E+07     1.5800799707E-01
    1     7     9.8735220090E+04     2.5359527524E+08     1.1052176334E-01
    1     8     9.9818244260E+04     3.6749359338E+08     1.5261039201E-01
    1     9     1.0086988425E+05     4.6293687246E+08     2.2232049615E-01
    1    10     1.0189147106E+05     4.3946646953E+08     3.2597967273E-01
    1    11     1.0288232892E+05     4.1719876865E+08     4.2407166344E-01
    1    12     1.0384470546E+05     5.1038565227E+08     4.1143676683E-01
    1    13     1.0477656454E+05     4.7924660470E+08     5.0701236386E-01
    1    14     1.0568942214E+05     3.3554264329E+08     5.6015918589E-01
    1    15     1.0655675837E+05     4.8536776773E+08     6.1011182209E-01
    1    16     1.0740425724E+05     4.6011585933E+08     6.8668249779E-01
    1    17     1.0822698735E+05     4.8740977805E+08     6.9250246704E-01
    1    18     1.0902137900E+05     4.7224968105E+08     7.5287334815E-01
    1    19     1.0979114511E+05     4.7534366806E+08     7.8265453134E-01
    1    20     1.1053380077E+05     4.6167620358E+08     8.3612676102E-01
    1    21     1.1125269891E+05     4.4908395069E+08     8.8260181028E-01
    1    22     1.1194475349E+05     4.4385632254E+08     9.1487529058E-01
    1    23     1.1261494175E+05     4.2587869068E+08     9.4636016646E-01
    1    24     1.1325614907E+05     4.3798434039E+08     9.5361636801E-01
    1    25     1.1387106072E+05     4.0652023152E+08     9.5793309213E-01
    1    26     1.1446791732E+05     4.4138368827E+08     9.5569364939E-01
    1    27     1.1503423849E+05     4.4151062756E+08     9.4522728834E-01
    1    28     1.1557615911E+05     4.5332981237E+08     9.2059923843E-01
    1    29     1.1608763011E+05     4.6678724997E+08     8.7676641398E-01
    1    30     1.1656977035E+05     4.8567079063E+08     8.2217680888E-01
