# Data for B' states 
#  J 	 v 		 E(v,J) [1/cm] 			 Ac [1/s] 			 mean Ekin [eV]
    0     0     1.1047852035E+05     7.0487855190E+01     8.3453117936E-01
    0     1     1.1235866809E+05     2.6026033569E+01     8.2578927105E-01
    0     2     1.1407506921E+05     5.9060189682E+01     6.9383713038E-01
    0     3     1.1560664833E+05     6.3195760969E+02     8.5998556818E-01
    0     4     1.1690604536E+05     1.7469942286E+03     1.7422303961E-01
    0     5     1.1785917651E+05     1.0254611436E+05     1.2548146632E-02
    0     6     1.1817021763E+05     1.3151830972E+08     7.6993332513E-03
    0     7     1.1827225893E+05     3.5356643387E+08     4.9103785350E-03
    0     8     1.1833604927E+05     5.9236494458E+08     4.3430161393E-02
    0     9     1.1837481104E+05     1.3288702163E+08     1.5382288636E-02
    1     0     1.1052944064E+05     7.3365938533E+04     8.3476846097E-01
    1     1     1.1240458939E+05     3.0760626903E+02     5.0490587896E-01
    1     2     1.1411824385E+05     8.7316101506E+01     4.0224323901E-01
    1     3     1.1564719786E+05     3.5474123007E+02     7.3426404705E-01
    1     4     1.1693768795E+05     2.2105907406E+04     1.4479947241E-01
    1     5     1.1788377703E+05     2.7353445249E+05     7.7825403195E-02
    1     6     1.1817771550E+05     1.2964092072E+08     8.5547629943E-03
    1     7     1.1827812135E+05     3.5432435253E+08     5.3338105276E-03
    1     8     1.1834169638E+05     4.5580477839E+08     1.9990548935E-02
    1     9     1.1837658985E+05     1.0528194067E+08     1.6653401213E-02
    2     0     1.1063091592E+05     1.9035094503E+01     9.4993207193E-01
    2     1     1.1249640045E+05     3.5870796074E+01     5.7171416911E-01
    2     2     1.1420431500E+05     1.4211567511E+02     4.0443058333E-01
    2     3     1.1572810305E+05     4.1367659796E+02     2.3232302339E-01
    2     4     1.1700152816E+05     2.4433272096E+03     1.6318703626E-01
    2     5     1.1793201721E+05     5.6761631821E+05     8.7527785954E-02
    2     6     1.1819226476E+05     1.2449362881E+08     1.0155221172E-02
    2     7     1.1828936038E+05     3.6696161048E+08     6.0265046300E-03
    2     8     1.1834887244E+05     3.6310255816E+08     7.9422545738E-03
    3     0     1.1078226612E+05     9.0851399275E+00     9.8219811211E-01
    3     1     1.1263398243E+05     2.5519063305E+03     9.5280188934E-01
    3     2     1.1433287369E+05     6.8168801798E+01     6.8482308903E-01
    3     3     1.1584931227E+05     3.0411179345E+02     2.3641732213E-01
    3     4     1.1709794154E+05     5.4543842318E+03     1.9153928545E-01
    3     5     1.1800195774E+05     1.4720252340E+06     6.2346712558E-02
    3     6     1.1821322329E+05     1.1104645296E+08     1.2570482704E-02
    3     7     1.1830510117E+05     3.7854555935E+08     7.2006464639E-03
    3     8     1.1835904282E+05     3.2605064186E+08     8.5512313193E-03
    4     0     1.1098245570E+05     8.7296695002E+00     8.9612207076E-01
    4     1     1.1281684813E+05     1.0080970545E+03     8.7663606076E-01
    4     2     1.1450318506E+05     5.5242388379E+01     8.0711274425E-01
    4     3     1.1601110626E+05     3.4124016869E+02     2.6053143043E-01
    4     4     1.1722627483E+05     2.1840606776E+03     8.7021801264E-02
    4     5     1.1809004218E+05     1.1666128715E+07     2.9073084211E-02
    4     6     1.1824030434E+05     2.7507401247E+08     9.2846382681E-03
    4     7     1.1832432442E+05     3.8682333334E+08     8.6980947592E-03
    4     8     1.1837051078E+05     4.8238277454E+08     1.9453327090E-02
    5     0     1.1123010986E+05     1.0313941785E+01     8.0724235484E-01
    5     1     1.1304404107E+05     5.4657514422E+02     7.4193576911E-01
    5     2     1.1471418704E+05     7.4415495324E+01     4.6123986774E-01
    5     3     1.1621520324E+05     2.7202153315E+03     2.8293160136E-01
    5     4     1.1738481235E+05     8.3323236569E+03     1.2034649487E-01
    5     5     1.1819009937E+05     4.5697822520E+07     4.6213699408E-02
    5     6     1.1827578567E+05     2.6095327488E+08     1.3615436190E-02
    5     7     1.1834655778E+05     3.8528654839E+08     1.0074619082E-02
    6     0     1.1152352489E+05     2.4607042976E+01     8.1976093008E-01
    6     1     1.1331402875E+05     1.3385425381E+07     6.9783705596E-01
    6     2     1.1496448521E+05     6.1803826535E+01     5.1952523499E-01
    6     3     1.1646751699E+05     3.5084829686E+02     1.5639700048E-01
    6     4     1.1757086102E+05     3.2366278527E+04     2.4620821279E-01
    6     5     1.1822892662E+05     2.3977794532E+08     9.4520627954E-02
    6     6     1.1829255055E+05     2.9463404548E+08     2.2778383041E-02
    6     7     1.1834563462E+05     2.6972581962E+08     1.2072397668E-02
    7     0     1.1186067975E+05     5.2030424416E+01     7.8643706459E-01
    7     1     1.1362517382E+05     1.1994917822E+02     7.1747043051E-01
    7     2     1.1525241428E+05     1.6637118543E+02     3.8673623422E-01
    7     3     1.1654670603E+05     6.0125278404E+02     2.5918749010E-01
    7     4     1.1678080011E+05     6.9539259490E+03     1.8919688407E-01
    7     5     1.1778070503E+05     4.3153629524E+05     1.8000501771E-01
    7     6     1.1830395069E+05     3.8041848643E+08     3.3731069227E-02
    7     7     1.1836357263E+05     3.9681713919E+08     2.0791771172E-02
    8     0     1.1223927569E+05     1.0291284999E+01     8.4078521789E-01
    8     1     1.1397493065E+05     7.9549131264E+02     6.3111142387E-01
