# Data for C- states 
#  J 	 v 		 E(v,J) [1/cm] 			 Ac [1/s] 			 mean Ekin [eV]
    1     0     9.9151039450E+04     2.8832997196E-02     1.0468625109E+00
    1     1     1.0145671605E+05     3.4073383537E-02     9.5673863277E-01
    1     2     1.0362830330E+05     7.6672516506E-01     1.9117420869E-01
    1     3     1.0566842710E+05     2.2180978580E+01     8.3984043106E-02
    1     4     1.0757895447E+05     2.2881855941E+03     9.3878344600E-02
    1     5     1.0936046133E+05     9.0694980336E+03     1.5875499012E-01
    1     6     1.1101197460E+05     7.3605733964E+05     7.7128065994E-02
    1     7     1.1253109396E+05     1.4855983632E+06     2.1140681152E-01
    1     8     1.1391343931E+05     4.0738251507E+07     6.8338967080E-02
    1     9     1.1515204308E+05     6.4600449569E+07     1.8038295947E-01
    1    10     1.1623605168E+05     4.1449807376E+08     7.7841111612E-02
    1    11     1.1714952692E+05     4.5760326651E+08     1.5158924869E-01
    1    12     1.1786787561E+05     6.9928190060E+08     1.2861273921E-01
    1    13     1.1834931817E+05     9.3869274958E+08     7.7063298079E-02
    2     0     9.9272550660E+04     2.9398137488E-02     1.0539381456E+00
    2     1     1.0157193397E+05     3.8006542137E-02     8.5099662036E-01
    2     2     1.0373737554E+05     8.1780770084E-01     1.9375821055E-01
    2     3     1.0577145943E+05     3.1267563424E+01     7.4629459018E-02
    2     4     1.0767601346E+05     2.4528612464E+03     1.0076667628E-01
    2     5     1.0945153614E+05     1.2075814437E+04     1.2713906395E-01
    2     6     1.1109700709E+05     8.0440337975E+05     8.2767029811E-02
    2     7     1.1260991882E+05     1.5902331209E+06     1.9985545160E-01
    2     8     1.1398579785E+05     4.4580953661E+07     7.2660200444E-02
    2     9     1.1521752117E+05     6.4263275132E+07     1.8469721143E-01
    2    10     1.1629398080E+05     4.3881513117E+08     8.0533173121E-02
    2    11     1.1719889082E+05     4.6608945911E+08     1.5223824926E-01
    2    12     1.1790695537E+05     6.7469889490E+08     1.3490202995E-01
    2    13     1.1837438228E+05     9.1449305222E+08     7.7383066078E-02
