# Data for D- states 
#  J 	 v 		 E(v,J) [1/cm] 			 Ac [1/s] 			 mean Ekin [eV]
    1     0     1.1293165436E+05     2.0816348746E-01     1.0662732421E+00
    1     1     1.1515463818E+05     2.7769208925E+04     1.8032060209E-01
    1     2     1.1724808277E+05     2.4323865935E+02     1.6483728551E-01
    2     0     1.1304929648E+05     1.7488517005E-01     1.1489843212E+00
    2     1     1.1526610304E+05     8.6406286847E+01     1.9685539018E-01
    2     2     1.1735356534E+05     1.0359485923E+02     1.8796668978E-01
    3     0     1.1322459849E+05     1.3647021913E-01     1.2687162339E+00
    3     1     1.1543218759E+05     1.8342411027E+01     2.3925921910E-01
    3     2     1.1751071956E+05     5.4858873589E+01     2.1919751006E-01
    4     0     1.1345620033E+05     1.0458104418E-01     1.3668661961E+00
    4     1     1.1565158608E+05     8.2507248250E+00     2.8545800421E-01
    4     2     1.1771829293E+05     4.3080231019E+01     2.2694435640E-01
    5     0     1.1374234170E+05     9.5936194670E-02     1.2027869903E+00
    5     1     1.1592261024E+05     5.0944292608E+00     3.0893966159E-01
    5     2     1.1797466520E+05     9.5022079155E+01     1.4345058214E-01
    6     0     1.1408090415E+05     1.0180418055E-01     9.2760311330E-01
    6     1     1.1624322864E+05     2.6655209940E+00     4.1080721677E-01
    6     2     1.1827788711E+05     4.4834181522E+02     1.0502511250E-01
    7     0     1.1446945835E+05     1.6404873562E-01     5.1347265037E-01
    7     1     1.1661111252E+05     1.0261345989E+01     2.1841528683E-01
    8     0     1.1490531543E+05     2.2430314521E+00     6.7390904451E-02
    8     1     1.1702368491E+05     1.1688640399E+02     7.3627083546E-02
    9     0     1.1538558045E+05     1.1976216877E+03     9.9540769135E-02
    9     1     1.1747817103E+05     2.1526706687E+02     1.1903053723E-01
   10     0     1.1590719896E+05     1.6200911375E+00     1.6133239778E-01
   10     1     1.1797164755E+05     2.7578041542E+01     1.6618061687E-01
   11     0     1.1646701690E+05     2.1676878634E+00     8.6722274609E-02
   12     0     1.1706181526E+05     1.9088517524E+00     1.2160761611E-01
   13     0     1.1768835666E+05     5.5658352548E+01     8.5136290123E-02
   14     0     1.1834341961E+05     2.7460847176E+00     1.1760168272E-01
