# Data for D+ states 
#  J 	 v 		 E(v,J) [1/cm] 			 Ac [1/s] 			 mean Ekin [eV]
    1     0     1.1293545336E+05     6.1461301299E-01     9.9961491143E-01
    1     1     1.1515629761E+05     1.5210238703E+04     2.3542796701E-01
    1     2     1.1725207083E+05     1.9171700133E+02     2.1716880696E-01
    2     0     1.1306016449E+05     2.0149115972E+00     1.0410560575E+00
    2     1     1.1527053457E+05     2.5641635261E+02     3.0260633285E-01
    2     2     1.1736398703E+05     1.2106334387E+02     4.9642246969E-01
    3     0     1.1324497242E+05     8.6812346355E+01     9.0427366386E-01
    3     1     1.1543947297E+05     3.8417542224E+01     5.4998332672E-01
    3     2     1.1752798818E+05     1.2556856458E+04     2.2291798540E-01
    4     0     1.1348756034E+05     1.4184805466E+02     9.0246513962E-01
    4     1     1.1565985870E+05     9.2877112415E+03     6.9106031970E-01
    4     2     1.1774022363E+05     1.5439821678E+03     2.6188911207E-01
    5     0     1.1378524110E+05     7.3780323178E+00     3.5751794271E-01
    5     1     1.1592614855E+05     1.3781365807E+02     5.2503171407E-01
    5     2     1.1799287440E+05     4.6964960767E+04     6.8939653993E-02
    6     0     1.1413503730E+05     1.3127579145E+02     9.9429397373E-01
    6     1     1.1622781453E+05     1.2441556538E+02     4.2626858335E-01
    7     0     1.1453367459E+05     1.0845480776E+01     1.7879608113E-01
    8     0     1.1497746589E+05     8.3329234836E+01     7.2203352216E-01
    8     1     1.1716235914E+05     1.5416979878E+03     2.8701041751E-01
    9     0     1.1546191296E+05     1.1054716453E+04     4.5701969417E-01
    9     1     1.1760097428E+05     8.5038845211E+02     9.9367214174E-02
   10     0     1.1598028486E+05     2.3885612044E+01     4.5150685479E-01
   10     1     1.1808064259E+05     5.1474503728E+04     3.5654276249E-02
   11     0     1.1651788281E+05     4.4983096976E+02     2.7813147313E-01
   12     0     1.1726858383E+05     6.0048836552E+03     1.7980150264E-01
   13     0     1.1785697389E+05     2.9128004888E+03     5.4004909187E-01
