          9         9        12      1181C   C   D    0.822591500D+05
 E STATE HAS LABEL C   
 VIBRATIONAL LEVELS FOR STATE E IN 1/CM FOR J=  8
     -17186.93257    -14988.06724    -12920.96364    -10983.69777
     -9175.19106     -7496.22782     -5948.73621     -4536.97085
     -3267.35947     -2150.10574     -1201.03769      -444.75110
 PROPORTION OF STATE C   
  0.999998E+00 0.999995E+00 0.999992E+00 0.999990E+00 0.999988E+00
  0.999987E+00 0.999987E+00 0.999987E+00 0.999987E+00 0.999988E+00
  0.999989E+00 0.999990E+00
 PROPORTION OF STATE D   
  0.173805E-05 0.549365E-05 0.837373E-05 0.104651E-04 0.118698E-04
  0.126938E-04 0.130525E-04 0.130531E-04 0.127864E-04 0.122207E-04
  0.113365E-04 0.962731E-05
 TABLE FOR EMISSION PROBABILITIES   E(J=  8,IE) ==>F(J=  8,IF)
         IE==>      0            1            2            3
        1.00  0.344123E-19 0.140861E-16 0.694394E-14 0.198268E-12
        2.00  0.125936E-16 0.514112E-14 0.252771E-11 0.723246E-10
        3.00  0.399699E-15 0.162733E-12 0.797992E-10 0.228807E-08
        4.00  0.466285E-14 0.189335E-11 0.925996E-09 0.266067E-07
        5.00  0.314386E-13 0.127316E-10 0.621036E-08 0.178817E-06
        6.00  0.149873E-12 0.605324E-10 0.294495E-07 0.849730E-06
        7.00  0.562524E-12 0.226595E-09 0.109950E-06 0.317915E-05
        8.00  0.177253E-11 0.712118E-09 0.344632E-06 0.998573E-05
        9.00  0.488722E-11 0.195827E-08 0.945224E-06 0.274453E-04
       10.00  0.121289E-10 0.484716E-08 0.233351E-05 0.678972E-04
       11.00  0.276458E-10 0.110192E-07 0.529093E-05 0.154271E-03
       12.00  0.587414E-10 0.233520E-07 0.111832E-04 0.326760E-03
       13.00  0.117673E-09 0.466570E-07 0.222855E-04 0.652517E-03
       14.00  0.224202E-09 0.886639E-07 0.422391E-04 0.123935E-02
       15.00  0.409136E-09 0.161377E-06 0.766785E-04 0.225455E-02
       16.00  0.719126E-09 0.282911E-06 0.134074E-03 0.395037E-02
       17.00  0.122308E-08 0.479921E-06 0.226846E-03 0.669778E-02
       18.00  0.202058E-08 0.790802E-06 0.372815E-03 0.110307E-01
       19.00  0.325286E-08 0.126980E-05 0.597074E-03 0.177028E-01
       20.00  0.511687E-08 0.199230E-05 0.934360E-03 0.277610E-01
       21.00  0.788313E-08 0.306148E-05 0.143206E-02 0.426370E-01
       22.00  0.119183E-07 0.461673E-05 0.215393E-02 0.642635E-01
       23.00  0.177136E-07 0.684405E-05 0.318478E-02 0.952178E-01
       24.00  0.259195E-07 0.998903E-05 0.463617E-02 0.138901E+00
       25.00  0.373894E-07 0.143727E-04 0.665345E-02 0.199754E+00
       26.00  0.532334E-07 0.204113E-04 0.942431E-02 0.283533E+00
       27.00  0.748828E-07 0.286396E-04 0.131892E-01 0.397628E+00
       28.00  0.104171E-06 0.397405E-04 0.182540E-01 0.551469E+00
       29.00  0.143432E-06 0.545800E-04 0.250053E-01 0.757006E+00
       30.00  0.195615E-06 0.742498E-04 0.339289E-01 0.102929E+01
       31.00  0.264433E-06 0.100119E-03 0.456317E-01 0.138720E+01
       32.00  0.354533E-06 0.133896E-03 0.608688E-01 0.185427E+01
       33.00  0.471711E-06 0.177705E-03 0.805757E-01 0.245971E+01
       34.00  0.623160E-06 0.234174E-03 0.105906E+00 0.323968E+01
       35.00  0.817780E-06 0.306545E-03 0.138278E+00 0.423875E+01
       36.00  0.106655E-05 0.398803E-03 0.179431E+00 0.551167E+01
       37.00  0.138296E-05 0.515833E-03 0.231488E+00 0.712552E+01
       38.00  0.178357E-05 0.663612E-03 0.297039E+00 0.916229E+01
       39.00  0.228863E-05 0.849430E-03 0.379235E+00 0.117219E+02
       40.00  0.292288E-05 0.108217E-02 0.481899E+00 0.149262E+02
       42.00  0.470621E-05 0.173388E-02 0.768155E+00 0.238915E+02
       44.00  0.746231E-05 0.273588E-02 0.120586E+01 0.376608E+02
       46.00  0.116770E-04 0.426028E-02 0.186814E+01 0.585871E+02
       48.00  0.180672E-04 0.655983E-02 0.286180E+01 0.901217E+02
       50.00  0.276923E-04 0.100060E-01 0.434296E+01 0.137333E+03
       52.00  0.421219E-04 0.151469E-01 0.654075E+01 0.207688E+03
       54.00  0.636951E-04 0.227951E-01 0.979331E+01 0.312254E+03
       56.00  0.959245E-04 0.341661E-01 0.146039E+02 0.467564E+03
       58.00  0.144142E-03 0.510968E-01 0.217298E+02 0.698589E+03
       60.00  0.216552E-03 0.764034E-01 0.323271E+02 0.104358E+04
