# Data for B+ transitions (P and R) 
#  JU 	 VU 	 JL 	 VL 		 lambda [A] 		 Aul [1/s] 		 oscillator strength f 		 Gamma [1/s]
     0      0      1      0              1110.06          9.31975E+06          5.74200E-04          1.86520E+09
     0      0      1      1              1163.74          6.43613E+07          4.35800E-03          1.86520E+09
     0      0      1      2              1219.37          2.00948E+08          1.49400E-02          1.86520E+09
     0      0      1      3              1276.81          3.75436E+08          3.06000E-02          1.86520E+09
     0      0      1      4              1335.87          4.65059E+08          4.15000E-02          1.86520E+09
     0      0      1      5              1396.22          3.97621E+08          3.87600E-02          1.86520E+09
     0      0      1      6              1457.43          2.35091E+08          2.49700E-02          1.86520E+09
     0      0      1      7              1518.89          9.26735E+07          1.06900E-02          1.86520E+09
     0      0      1      8              1579.77          2.21134E+07          2.75900E-03          1.86520E+09
     0      0      1      9              1638.97          2.51806E+06          3.38200E-04          1.86520E+09
     0      0      1     10              1695.07          5.80091E+04          8.33400E-06          1.86520E+09
     0      0      1     11              1746.24          1.85083E+03          2.82200E-07          1.86520E+09
     0      0      1     12              1790.20          2.87919E+01          4.61400E-09          1.86520E+09
     0      0      1     13              1824.11          3.00312E+01          4.99600E-09          1.86520E+09
     0      0      1     14              1844.57          6.54732E+00          1.11400E-09          1.86520E+09
     1      0      2      0              1112.50          6.21108E+06          6.91800E-04          1.86315E+09
     1      0      0      0              1108.13          3.01411E+06          1.66600E-03          1.86315E+09
     1      0      2      1              1166.25          4.28815E+07          5.24900E-03          1.86315E+09
     1      0      0      1              1161.69          2.09780E+07          1.27400E-02          1.86315E+09
     1      0      2      2              1221.96          1.33754E+08          1.79700E-02          1.86315E+09
     1      0      0      2              1217.21          6.60928E+07          4.40700E-02          1.86315E+09
     1      0      2      3              1279.46          2.49496E+08          3.67600E-02          1.86315E+09
     1      0      0      3              1274.53          1.24752E+08          9.11900E-02          1.86315E+09
     1      0      2      4              1338.57          3.08291E+08          4.97100E-02          1.86315E+09
     1      0      0      4              1333.48          1.56316E+08          1.25100E-01          1.86315E+09
     1      0      2      5              1398.95          2.62639E+08          4.62600E-02          1.86315E+09
     1      0      0      5              1393.72          1.35378E+08          1.18300E-01          1.86315E+09
     1      0      2      6              1460.17          1.54475E+08          2.96400E-02          1.86315E+09
     1      0      0      6              1454.83          8.11987E+07          7.73400E-02          1.86315E+09
     1      0      2      7              1521.59          6.04126E+07          1.25900E-02          1.86315E+09
     1      0      0      7              1516.20          3.25422E+07          3.36600E-02          1.86315E+09
     1      0      2      8              1582.38          1.42143E+07          3.20300E-03          1.86315E+09
     1      0      0      8              1577.01          7.93682E+06          8.88200E-03          1.86315E+09
     1      0      2      9              1641.43          1.56926E+06          3.80500E-04          1.86315E+09
     1      0      0      9              1636.17          9.38972E+05          1.13100E-03          1.86315E+09
     1      0      2     10              1697.29          3.24523E+04          8.41400E-06          1.86315E+09
     1      0      0     10              1692.28          2.39712E+04          3.08900E-05          1.86315E+09
     1      0      2     11              1748.12          1.30338E+03          3.58500E-07          1.86315E+09
     1      0      0     11              1743.52          6.42595E+02          8.79000E-07          1.86315E+09
     1      0      2     12              1791.60          1.23775E+01          3.57600E-09          1.86315E+09
     1      0      0     12              1787.62          1.22535E+01          1.76200E-08          1.86315E+09
     1      0      2     13              1824.84          1.89502E+01          5.67900E-09          1.86315E+09
     1      0      0     13              1821.79          1.06687E+01          1.59300E-08          1.86315E+09
     1      0      2     14              1844.36          4.30461E+00          1.31800E-09          1.86315E+09
     1      0      0     14              1842.67          2.33400E+00          3.56600E-09          1.86315E+09
     2      0      3      0              1115.89          5.53507E+06          7.38500E-04          1.85847E+09
     2      0      1      0              1108.63          3.50663E+06          1.07700E-03          1.85847E+09
     2      0      3      1              1169.75          3.82725E+07          5.61100E-03          1.85847E+09
     2      0      1      1              1162.17          2.45893E+07          8.30300E-03          1.85847E+09
     2      0      3      2              1225.54          1.19542E+08          1.92400E-02          1.85847E+09
     2      0      1      2              1217.64          7.80846E+07          2.89400E-02          1.85847E+09
     2      0      3      3              1283.11          2.23154E+08          3.93600E-02          1.85847E+09
     2      0      1      3              1274.92          1.48626E+08          6.04000E-02          1.85847E+09
     2      0      3      4              1342.26          2.75700E+08          5.32200E-02          1.85847E+09
     2      0      1      4              1333.80          1.87859E+08          8.35500E-02          1.85847E+09
     2      0      3      5              1402.65          2.34490E+08          4.94300E-02          1.85847E+09
     2      0      1      5              1393.96          1.64157E+08          7.97400E-02          1.85847E+09
     2      0      3      6              1463.83          1.37357E+08          3.15300E-02          1.85847E+09
     2      0      1      6              1454.97          9.93724E+07          5.25900E-02          1.85847E+09
     2      0      3      7              1525.15          5.32668E+07          1.32800E-02          1.85847E+09
     2      0      1      7              1516.22          4.02034E+07          2.31100E-02          1.85847E+09
     2      0      3      8              1585.77          1.23235E+07          3.32000E-03          1.85847E+09
     2      0      1      8              1576.87          9.89285E+06          6.15000E-03          1.85847E+09
     2      0      3      9              1644.55          1.31004E+06          3.79600E-04          1.85847E+09
     2      0      1      9              1635.85          1.17692E+06          7.87400E-04          1.85847E+09
     2      0      3     10              1700.02          2.32082E+04          7.18600E-06          1.85847E+09
     2      0      1     10              1691.74          2.99670E+04          2.14400E-05          1.85847E+09
     2      0      3     11              1750.29          1.32261E+03          4.34100E-07          1.85847E+09
     2      0      1     11              1742.71          8.09786E+02          6.14800E-07          1.85847E+09
     2      0      3     12              1793.00          2.64916E+00          9.12500E-10          1.85847E+09
     2      0      1     12              1786.48          1.71884E+01          1.37100E-08          1.85847E+09
     2      0      3     13              1825.20          1.34399E+01          4.79700E-09          1.85847E+09
     2      0      1     13              1820.25          1.46214E+01          1.21100E-08          1.85847E+09
     2      0      3     14              1843.25          3.28417E+00          1.19600E-09          1.85847E+09
     2      0      1     14              1840.63          3.11225E+00          2.63600E-09          1.85847E+09
     3      0      4      0              1120.25          5.16628E+06          7.56400E-04          1.85145E+09
     3      0      2      0              1110.12          3.60389E+06          9.32700E-04          1.85145E+09
     3      0      4      1              1174.21          3.58730E+07          5.77000E-03          1.85145E+09
     3      0      2      1              1163.64          2.55224E+07          7.25700E-03          1.85145E+09
     3      0      4      2              1230.09          1.12466E+08          1.98500E-02          1.85145E+09
