# Data for C- transitions (Q) 
#  JU 	 VU 	 JL 	 VL 		 lambda [A] 		 Aul [1/s] 		 oscillator strength f 		 Gamma [1/s]
     1      0      1      0              1009.77          1.55693E+08          2.38100E-02          1.17973E+09
     1      0      1      1              1053.99          3.93985E+08          6.56500E-02          1.17973E+09
     1      0      1      2              1099.42          3.87007E+08          7.01700E-02          1.17973E+09
     1      0      1      3              1145.90          1.88656E+08          3.71600E-02          1.17973E+09
     1      0      1      4              1193.24          4.80296E+07          1.02600E-02          1.17973E+09
     1      0      1      5              1241.17          6.05190E+06          1.39800E-03          1.17973E+09
     1      0      1      6              1289.30          3.04263E+05          7.58700E-05          1.17973E+09
     1      0      1      7              1337.17          2.52259E+03          6.76600E-07          1.17973E+09
     1      0      1      8              1384.12          3.73696E+01          1.07400E-08          1.17973E+09
     1      0      1      9              1429.36          1.18359E-01          3.62700E-11          1.17973E+09
     1      0      1     10              1471.84          5.98851E-02          1.94600E-11          1.17973E+09
     1      0      1     11              1510.27          6.54646E-03          2.24000E-12          1.17973E+09
     1      0      1     12              1543.04          2.70788E-03          9.67100E-13          1.17973E+09
     1      0      1     13              1568.17          2.17825E-03          8.03500E-13          1.17973E+09
     1      0      1     14              1583.27          1.08990E-03          4.09800E-13          1.17973E+09
     2      0      2      0              1010.94          1.55420E+08          2.38300E-02          1.17850E+09
     2      0      2      1              1055.13          3.93589E+08          6.57300E-02          1.17850E+09
     2      0      2      2              1100.52          3.86767E+08          7.02600E-02          1.17850E+09
     2      0      2      3              1146.95          1.88492E+08          3.71900E-02          1.17850E+09
     2      0      2      4              1194.22          4.79145E+07          1.02500E-02          1.17850E+09
     2      0      2      5              1242.05          6.01248E+06          1.39100E-03          1.17850E+09
     2      0      2      6              1290.06          2.98928E+05          7.46200E-05          1.17850E+09
     2      0      2      7              1337.77          2.35861E+03          6.33200E-07          1.17850E+09
     2      0      2      8              1384.54          3.95299E+01          1.13700E-08          1.17850E+09
     2      0      2      9              1429.54          8.50730E-02          2.60800E-11          1.17850E+09
     2      0      2     10              1471.72          5.67287E-02          1.84300E-11          1.17850E+09
     2      0      2     11              1509.79          5.85699E-03          2.00300E-12          1.17850E+09
     2      0      2     12              1542.11          2.21389E-03          7.89700E-13          1.17850E+09
     2      0      2     13              1566.67          1.80299E-03          6.63800E-13          1.17850E+09
     2      0      2     14              1581.04          8.69094E-04          3.25900E-13          1.17850E+09
     3      0      3      0              1012.68          1.55013E+08          2.38500E-02          1.17666E+09
     3      0      3      1              1056.83          3.92994E+08          6.58400E-02          1.17666E+09
     3      0      3      2              1102.16          3.86415E+08          7.04100E-02          1.17666E+09
     3      0      3      3              1148.51          1.88249E+08          3.72500E-02          1.17666E+09
     3      0      3      4              1195.67          4.77453E+07          1.02400E-02          1.17666E+09
     3      0      3      5              1243.35          5.95374E+06          1.38100E-03          1.17666E+09
     3      0      3      6              1291.19          2.91016E+05          7.27800E-05          1.17666E+09
     3      0      3      7              1338.67          2.12423E+03          5.71000E-07          1.17666E+09
     3      0      3      8              1385.14          4.27133E+01          1.22900E-08          1.17666E+09
     3      0      3      9              1429.78          4.50401E-02          1.38100E-11          1.17666E+09
     3      0      3     10              1471.52          5.21574E-02          1.69400E-11          1.17666E+09
     3      0      3     11              1509.04          4.94257E-03          1.68800E-12          1.17666E+09
     3      0      3     12              1540.68          1.56053E-03          5.55600E-13          1.17666E+09
     3      0      3     13              1564.40          1.27755E-03          4.69000E-13          1.17666E+09
     3      0      3     14              1577.64          5.62856E-04          2.10100E-13          1.17666E+09
     4      0      4      0              1014.98          1.54462E+08          2.38700E-02          1.17424E+09
     4      0      4      1              1059.08          3.92201E+08          6.59900E-02          1.17424E+09
     4      0      4      2              1104.33          3.85958E+08          7.06000E-02          1.17424E+09
     4      0      4      3              1150.56          1.87939E+08          3.73200E-02          1.17424E+09
     4      0      4      4              1197.57          4.75233E+07          1.02200E-02          1.17424E+09
     4      0      4      5              1245.07          5.87604E+06          1.36600E-03          1.17424E+09
     4      0      4      6              1292.66          2.80630E+05          7.03400E-05          1.17424E+09
     4      0      4      7              1339.83          1.83290E+03          4.93500E-07          1.17424E+09
     4      0      4      8              1385.92          4.68157E+01          1.34900E-08          1.17424E+09
     4      0      4      9              1430.07          1.09506E-02          3.35900E-12          1.17424E+09
     4      0      4     10              1471.22          4.63867E-02          1.50600E-11          1.17424E+09
     4      0      4     11              1508.01          3.95712E-03          1.35000E-12          1.17424E+09
     4      0      4     12              1538.73          8.82220E-04          3.13300E-13          1.17424E+09
     4      0      4     13              1561.29          7.00605E-04          2.56200E-13          1.17424E+09
     5      0      5      0              1017.83          1.53770E+08          2.39000E-02          1.17126E+09
     5      0      5      1              1061.86          3.91214E+08          6.61700E-02          1.17126E+09
     5      0      5      2              1107.00          3.85407E+08          7.08400E-02          1.17126E+09
     5      0      5      3              1153.09          1.87571E+08          3.74100E-02          1.17126E+09
     5      0      5      4              1199.92          4.72506E+07          1.02000E-02          1.17126E+09
     5      0      5      5              1247.17          5.77975E+06          1.34900E-03          1.17126E+09
     5      0      5      6              1294.45          2.67892E+05          6.73300E-05          1.17126E+09
     5      0      5      7              1341.23          1.50192E+03          4.05300E-07          1.17126E+09
     5      0      5      8              1386.83          5.16439E+01          1.49000E-08          1.17126E+09
     5      0      5      9              1430.38          1.05460E-03          3.23700E-13          1.17126E+09
     5      0      5     10              1470.78          3.96732E-02          1.28700E-11          1.17126E+09
     5      0      5     11              1506.64          3.08740E-03          1.05100E-12          1.17126E+09
     5      0      5     12              1536.21          3.47479E-04          1.23000E-13          1.17126E+09
     5      0      5     13              1557.30          2.33335E-04          8.48800E-14          1.17126E+09
     6      0      6      0              1021.21          1.52934E+08          2.39200E-02          1.16774E+09
     6      0      6      1              1065.15          3.90036E+08          6.63800E-02          1.16774E+09
     6      0      6      2              1110.16          3.84775E+08          7.11300E-02          1.16774E+09
     6      0      6      3              1156.08          1.87146E+08          3.75200E-02          1.16774E+09
     6      0      6      4              1202.68          4.69292E+07          1.01800E-02          1.16774E+09
     6      0      6      5              1249.63          5.66512E+06          1.32700E-03          1.16774E+09
     6      0      6      6              1296.54          2.52946E+05          6.37800E-05          1.16774E+09
     6      0      6      7              1342.84          1.15194E+03          3.11600E-07          1.16774E+09
     6      0      6      8              1387.86          5.68777E+01          1.64300E-08          1.16774E+09
     6      0      6      9              1430.67          4.03943E-02          1.24000E-11          1.16774E+09
     6      0      6     10              1470.17          3.22103E-02          1.04400E-11          1.16774E+09
     6      0      6     11              1504.90          2.50482E-03          8.50900E-13          1.16774E+09
     6      0      6     12              1533.06          6.82829E-05          2.40700E-14          1.16774E+09
     6      0      6     13              1552.33          1.52644E-05          5.51700E-15          1.16774E+09
     7      0      7      0              1025.09          1.51955E+08          2.39500E-02          1.16371E+09
