# Data for C+ transitions (P and R) 
#  JU 	 VU 	 JL 	 VL 		 lambda [A] 		 Aul [1/s] 		 oscillator strength f 		 Gamma [1/s]
     1      0      2      0              1012.17          5.97941E+07          5.51300E-03          1.18000E+09
     1      0      0      0              1008.55          9.60769E+07          4.39800E-02          1.18000E+09
     1      0      2      1              1056.47          1.44890E+08          1.45500E-02          1.18000E+09
     1      0      0      1              1052.73          2.48961E+08          1.24200E-01          1.18000E+09
     1      0      2      2              1101.98          1.32664E+08          1.45000E-02          1.18000E+09
     1      0      0      2              1098.11          2.53894E+08          1.37800E-01          1.18000E+09
     1      0      2      3              1148.53          5.97083E+07          7.08900E-03          1.18000E+09
     1      0      0      3              1144.56          1.29053E+08          7.60800E-02          1.18000E+09
     1      0      2      4              1195.94          1.50845E+07          1.94200E-03          1.18000E+09
     1      0      0      4              1191.87          3.31174E+07          2.11700E-02          1.18000E+09
     1      0      2      5              1243.91          2.34003E+06          3.25900E-04          1.18000E+09
     1      0      0      5              1239.77          3.74791E+06          2.59200E-03          1.18000E+09
     1      0      2      6              1292.07          1.20579E+05          1.81200E-05          1.18000E+09
     1      0      0      6              1287.89          1.77736E+05          1.32700E-04          1.18000E+09
     1      0      2      7              1339.93          1.81635E+04          2.93500E-06          1.18000E+09
     1      0      0      7              1335.75          2.38885E+04          1.91800E-05          1.18000E+09
     1      0      2      8              1386.85          1.71225E+03          2.96400E-07          1.18000E+09
     1      0      0      8              1382.72          1.07277E+03          9.23000E-07          1.18000E+09
     1      0      2      9              1432.00          2.63718E+04          4.86700E-06          1.18000E+09
     1      0      0      9              1428.00          1.30112E+04          1.19400E-05          1.18000E+09
     1      0      2     10              1474.33          2.92169E+02          5.71600E-08          1.18000E+09
     1      0      0     10              1470.55          2.66742E-01          2.59600E-10          1.18000E+09
     1      0      2     11              1512.54          2.06318E+04          4.24800E-06          1.18000E+09
     1      0      0     11              1509.09          1.15065E+04          1.17900E-05          1.18000E+09
     1      0      2     12              1544.97          1.01610E+04          2.18300E-06          1.18000E+09
     1      0      0     12              1542.02          4.23531E+03          4.53200E-06          1.18000E+09
     1      0      2     13              1569.63          2.67209E+04          5.92500E-06          1.18000E+09
     1      0      0     13              1567.38          8.25753E+03          9.12900E-06          1.18000E+09
     1      0      2     14              1584.05          1.99433E+04          4.50400E-06          1.18000E+09
     1      0      0     14              1582.80          1.75791E+04          1.98200E-05          1.18000E+09
     2      0      3      0              1014.50          7.51047E+07          8.28200E-03          1.17907E+09
     2      0      1      0              1008.50          8.07467E+07          2.05300E-02          1.17907E+09
     2      0      3      1              1058.82          1.80915E+08          2.17300E-02          1.17907E+09
     2      0      1      1              1052.61          2.12393E+08          5.88300E-02          1.17907E+09
     2      0      3      2              1104.32          1.62200E+08          2.11900E-02          1.17907E+09
     2      0      1      2              1097.91          2.23305E+08          6.72900E-02          1.17907E+09
     2      0      3      3              1150.85          7.02591E+07          9.97000E-03          1.17907E+09
     2      0      1      3              1144.26          1.18388E+08          3.87500E-02          1.17907E+09
     2      0      3      4              1198.21          1.72804E+07          2.65800E-03          1.17907E+09
     2      0      1      4              1191.47          3.11401E+07          1.10500E-02          1.17907E+09
     2      0      3      5              1246.11          2.89000E+06          4.80800E-04          1.17907E+09
     2      0      1      5              1239.24          3.22519E+06          1.23800E-03          1.17907E+09
     2      0      3      6              1294.15          1.75351E+05          3.14700E-05          1.17907E+09
     2      0      1      6              1287.23          1.16199E+05          4.81300E-05          1.17907E+09
     2      0      3      7              1341.86          4.28850E+04          8.27300E-06          1.17907E+09
     2      0      1      7              1334.94          4.87929E+04          2.17400E-05          1.17907E+09
     2      0      3      8              1388.56          7.70805E+03          1.59200E-06          1.17907E+09
     2      0      1      8              1381.73          8.89835E+03          4.24700E-06          1.17907E+09
     2      0      3      9              1433.42          5.85819E+04          1.29000E-05          1.17907E+09
     2      0      1      9              1426.81          3.60861E+04          1.83700E-05          1.17907E+09
     2      0      3     10              1475.38          3.01165E+01          7.02400E-09          1.17907E+09
     2      0      1     10              1469.14          1.09151E+03          5.89000E-07          1.17907E+09
     2      0      3     11              1513.10          4.96838E+04          1.21900E-05          1.17907E+09
     2      0      1     11              1507.42          3.79024E+04          2.15300E-05          1.17907E+09
     2      0      3     12              1544.91          1.98942E+04          5.08700E-06          1.17907E+09
     2      0      1     12              1540.07          8.93635E+03          5.29900E-06          1.17907E+09
     2      0      3     13              1568.75          6.49732E+04          1.71300E-05          1.17907E+09
     2      0      1     13              1565.10          1.86951E+04          1.14500E-05          1.17907E+09
     2      0      3     14              1582.07          2.97736E+04          7.98400E-06          1.17907E+09
     2      0      1     14              1580.14          5.65744E+04          3.53100E-05          1.17907E+09
     3      0      4      0              1017.38          8.24085E+07          9.95100E-03          1.17756E+09
     3      0      2      0              1009.02          7.32310E+07          1.56600E-02          1.17756E+09
     3      0      4      1              1061.70          2.00370E+08          2.63500E-02          1.17756E+09
     3      0      2      1              1053.05          1.92384E+08          4.48000E-02          1.17756E+09
     3      0      4      2              1107.17          1.78181E+08          2.54800E-02          1.17756E+09
     3      0      2      2              1098.25          2.05937E+08          5.21600E-02          1.17756E+09
     3      0      4      3              1153.65          7.42507E+07          1.15300E-02          1.17756E+09
     3      0      2      3              1144.49          1.13912E+08          3.13300E-02          1.17756E+09
     3      0      4      4              1200.92          1.72948E+07          2.91000E-03          1.17756E+09
     3      0      2      4              1191.55          3.14454E+07          9.37600E-03          1.17756E+09
     3      0      4      5              1248.69          3.07766E+06          5.59900E-04          1.17756E+09
     3      0      2      5              1239.16          3.08364E+06          9.94300E-04          1.17756E+09
     3      0      4      6              1296.56          2.58602E+05          5.07200E-05          1.17756E+09
     3      0      2      6              1286.95          5.50466E+04          1.91500E-05          1.17756E+09
     3      0      4      7              1344.02          6.29794E+04          1.32700E-05          1.17756E+09
     3      0      2      7              1334.42          6.01301E+04          2.24900E-05          1.17756E+09
     3      0      4      8              1390.40          2.83624E+04          6.39700E-06          1.17756E+09
     3      0      2      8              1380.95          3.66188E+04          1.46600E-05          1.17756E+09
     3      0      4      9              1434.85          9.15819E+04          2.20000E-05          1.17756E+09
     3      0      2      9              1425.71          5.46953E+04          2.33500E-05          1.17756E+09
     3      0      4     10              1476.28          1.49609E+03          3.80400E-07          1.17756E+09
     3      0      2     10              1467.67          1.11460E+04          5.04200E-06          1.17756E+09
     3      0      4     11              1513.31          9.16326E+04          2.44800E-05          1.17756E+09
     3      0      2     11              1505.52          7.53427E+04          3.58600E-05          1.17756E+09
     3      0      4     12              1544.26          2.50669E+04          6.97400E-06          1.17756E+09
     3      0      2     12              1537.66          8.12818E+03          4.03600E-06          1.17756E+09
     3      0      4     13              1566.99          1.14463E+05          3.27900E-05          1.17756E+09
     3      0      2     13              1562.08          2.45073E+04          1.25600E-05          1.17756E+09
     3      0      2     14              1576.37          1.06622E+05          5.56400E-05          1.17756E+09
     4      0      5      0              1020.80          8.48507E+07          1.08500E-02          1.17541E+09
     4      0      3      0              1010.13          7.01733E+07          1.38100E-02          1.17541E+09
     4      0      5      1              1065.09          2.13190E+08          2.96800E-02          1.17541E+09
     4      0      3      1              1054.06          1.78994E+08          3.83500E-02          1.17541E+09
     4      0      5      2              1110.51          1.91363E+08          2.89600E-02          1.17541E+09
     4      0      3      2              1099.14          1.90940E+08          4.44900E-02          1.17541E+09
     4      0      5      3              1156.90          7.63613E+07          1.25400E-02          1.17541E+09
     4      0      3      3              1145.23          1.10394E+08          2.79200E-02          1.17541E+09
     4      0      5      4              1204.04          1.60595E+07          2.85700E-03          1.17541E+09
     4      0      3      4              1192.11          3.31373E+07          9.08200E-03          1.17541E+09
     4      0      5      5              1251.63          3.05318E+06          5.87000E-04          1.17541E+09
     4      0      3      5              1239.51          3.21380E+06          9.52300E-04          1.17541E+09
     4      0      5      6              1299.25          4.41276E+05          9.14200E-05          1.17541E+09
     4      0      3      6              1287.04          4.48159E+03          1.43200E-06          1.17541E+09
     4      0      5      7              1346.39          7.38897E+04          1.64400E-05          1.17541E+09
     4      0      3      7              1334.21          4.69531E+04          1.61200E-05          1.17541E+09
     4      0      5      8              1392.35          1.01188E+05          2.40700E-05          1.17541E+09
     4      0      3      8              1380.38          1.24232E+05          4.56500E-05          1.17541E+09
     4      0      5      9              1436.25          1.33240E+05          3.37300E-05          1.17541E+09
     4      0      3      9              1424.70          6.11961E+04          2.39600E-05          1.17541E+09
