# Data for C+ transitions (P and R) 
#  Number of transitions: 84 
#  JU 	 VU 	 JL 	 VL 		 lambda [A] 		 osc strength f 		 Gamma [1/s]
     1      0      2      0              1012.17          5.51000E-03          1.18000E+09
     2      0      3      0              1014.50          8.28000E-03          1.18000E+09
     3      0      4      0              1017.39          9.95000E-03          1.18000E+09
     4      0      5      0              1020.80          1.09000E-02          1.18000E+09
     5      0      6      0              1024.73          1.05000E-02          1.17000E+09
     6      0      7      0              1029.35          5.70000E-04          1.16000E+09
     1      0      0      0              1008.55          4.39000E-02          1.18000E+09
     2      0      1      0              1008.50          2.05000E-02          1.18000E+09
     3      0      2      0              1009.02          1.57000E-02          1.18000E+09
     4      0      3      0              1010.13          1.38000E-02          1.18000E+09
     5      0      4      0              1011.81          1.40000E-02          1.17000E+09
     6      0      5      0              1014.24          2.61000E-02          1.16000E+09
     7      0      6      0              1016.74          6.34000E-03          1.17000E+09
     8      0      7      0              1020.06          7.76000E-03          1.16000E+09
     1      1      2      0               989.09          8.11000E-03          1.16000E+09
     2      1      3      0               991.38          1.19000E-02          1.16000E+09
     3      1      4      0               994.23          1.38000E-02          1.16000E+09
     4      1      5      0               997.64          1.29000E-02          1.15000E+09
     5      1      6      0              1001.21          2.68000E-02          1.12000E+09
     6      1      7      0              1005.80          2.43000E-02          1.15000E+09
     1      1      0      0               985.63          6.89000E-02          1.16000E+09
     2      1      1      0               985.64          3.30000E-02          1.16000E+09
     3      1      2      0               986.24          2.62000E-02          1.16000E+09
     4      1      3      0               987.45          2.57000E-02          1.15000E+09
     5      1      4      0               988.87          8.71000E-04          1.12000E+09
     6      1      5      0               991.37          1.08000E-02          1.15000E+09
     7      1      6      0               994.26          1.28000E-02          1.14000E+09
     8      1      7      0               997.68          1.47000E-02          1.14000E+09
     1      2      2      0               968.30          7.23000E-03          1.14000E+09
     2      2      3      0               970.56          9.74000E-03          1.13000E+09
     3      2      4      0               973.45          6.93000E-03          1.11000E+09
     4      2      5      0               976.55          2.19000E-02          1.11000E+09
     5      2      6      0               980.50          2.09000E-02          1.13000E+09
     6      2      7      0               984.92          2.05000E-02          1.13000E+09
     1      2      0      0               964.98          6.86000E-02          1.14000E+09
     2      2      1      0               965.06          3.49000E-02          1.13000E+09
     3      2      2      0               965.80          3.23000E-02          1.11000E+09
     4      2      3      0               966.78          7.59000E-03          1.11000E+09
     5      2      4      0               968.67          1.26000E-02          1.13000E+09
     6      2      5      0               971.08          1.38000E-02          1.13000E+09
     7      2      6      0               974.05          1.52000E-02          1.12000E+09
     8      2      7      0               977.70          2.06000E-02          1.07000E+09
     1      3      2      0               949.61          8.91000E-04          1.05000E+09
     2      3      3      0               951.67          1.27000E-02          1.09000E+09
     3      3      4      0               954.47          1.35000E-02          1.11000E+09
     4      3      5      0               957.82          1.42000E-02          1.11000E+09
     5      3      6      0               961.70          1.45000E-02          1.11000E+09
     6      3      7      0               966.13          1.39000E-02          1.10000E+09
     1      3      0      0               946.43          6.19000E-02          1.05000E+09
     2      3      1      0               946.38          1.29000E-02          1.09000E+09
     3      3      2      0               947.11          1.33000E-02          1.11000E+09
     4      3      3      0               948.42          1.28000E-02          1.11000E+09
     5      3      4      0               950.32          1.26000E-02          1.11000E+09
     6      3      5      0               952.80          1.33000E-02          1.10000E+09
     7      3      6      0               955.98          1.64000E-02          1.05000E+09
     8      3      7      0               959.11          4.19000E-03          1.08000E+09
     1      4      2      0               932.60          4.77000E-03          1.10000E+09
     2      4      3      0               934.79          7.09000E-03          1.10000E+09
     3      4      4      0               937.55          8.37000E-03          1.10000E+09
     4      4      5      0               940.88          8.98000E-03          1.10000E+09
     5      4      6      0               944.78          8.74000E-03          1.08000E+09
     6      4      7      0               949.33          5.53000E-03          1.03000E+09
     1      4      0      0               929.53          3.42000E-02          1.10000E+09
     2      4      1      0               929.69          1.57000E-02          1.10000E+09
     3      4      2      0               930.45          1.21000E-02          1.10000E+09
     4      4      3      0               931.81          1.08000E-02          1.10000E+09
     5      4      4      0               933.79          1.08000E-02          1.08000E+09
     6      4      5      0               936.47          1.25000E-02          1.03000E+09
     7      4      6      0               939.11          3.00000E-03          1.05000E+09
     8      4      7      0               942.90          5.92000E-03          1.08000E+09
     1      5      2      0               917.37          2.95000E-03          1.09000E+09
     2      5      3      0               919.54          4.34000E-03          1.09000E+09
     3      5      4      0               922.31          5.02000E-03          1.08000E+09
     4      5      5      0               925.66          4.95000E-03          1.07000E+09
     5      5      6      0               929.70          2.65000E-03          9.87000E+08
     6      5      7      0               933.67          8.56000E-03          1.03000E+09
     1      5      0      0               914.40          2.42000E-02          1.09000E+09
     2      5      1      0               914.61          1.15000E-02          1.09000E+09
     3      5      2      0               915.43          9.09000E-03          1.08000E+09
     4      5      3      0               916.88          8.56000E-03          1.07000E+09
     5      5      4      0               919.05          9.30000E-03          9.87000E+08
     6      5      5      0               921.22          2.47000E-03          1.03000E+09
     7      5      6      0               924.50          4.26000E-03          1.06000E+09
     8      5      7      0               928.32          5.47000E-03          1.05000E+09
