# Data for D- transitions (Q) 
#  JU 	 VU 	 JL 	 VL 		 lambda [A] 		 Aul [1/s] 		 oscillator strength f 		 Gamma [1/s]
     1      0      1      0               886.42          3.80454E+07          4.48400E-03          3.54802E+08
     1      0      1      1               920.32          1.06242E+08          1.35000E-02          3.54802E+08
     1      0      1      2               954.76          1.18171E+08          1.61600E-02          3.54802E+08
     1      0      1      3               989.63          6.76299E+07          9.93500E-03          3.54802E+08
     1      0      1      4              1024.74          2.10378E+07          3.31400E-03          3.54802E+08
     1      0      1      5              1059.88          3.41388E+06          5.75200E-04          3.54802E+08
     1      0      1      6              1094.79          2.56531E+05          4.61200E-05          3.54802E+08
     1      0      1      7              1129.11          5.47297E+03          1.04700E-06          3.54802E+08
     1      0      1      8              1162.41          1.38991E+01          2.81700E-09          3.54802E+08
     1      0      1      9              1194.14          2.67640E-02          5.72500E-12          3.54802E+08
     1      0      1     10              1223.65          1.15869E-01          2.60200E-11          3.54802E+08
     1      0      1     11              1250.10          2.97455E+00          6.97300E-10          3.54802E+08
     1      0      1     12              1272.46          4.26759E+00          1.03600E-09          3.54802E+08
     1      0      1     13              1289.50          2.21372E-01          5.52100E-11          3.54802E+08
     1      0      1     14              1299.69          1.56990E-03          3.97800E-13          3.54802E+08
     2      0      2      0               887.35          3.79586E+07          4.48300E-03          3.54582E+08
     2      0      2      1               921.22          1.06130E+08          1.35100E-02          3.54582E+08
     2      0      2      2               955.63          1.18163E+08          1.61900E-02          3.54582E+08
     2      0      2      3               990.45          6.76469E+07          9.95400E-03          3.54582E+08
     2      0      2      4              1025.50          2.10225E+07          3.31600E-03          3.54582E+08
     2      0      2      5              1060.57          3.40183E+06          5.74000E-04          3.54582E+08
     2      0      2      6              1095.38          2.53683E+05          4.56600E-05          3.54582E+08
     2      0      2      7              1129.59          5.26484E+03          1.00800E-06          3.54582E+08
     2      0      2      8              1162.75          1.52102E+01          3.08500E-09          3.54582E+08
     2      0      2      9              1194.32          5.65329E-03          1.21000E-12          3.54582E+08
     2      0      2     10              1223.63          1.14323E-01          2.56800E-11          3.54582E+08
     2      0      2     11              1249.83          2.40526E+00          5.63600E-10          3.54582E+08
     2      0      2     12              1271.89          3.84698E+00          9.33500E-10          3.54582E+08
     2      0      2     13              1288.56          2.21852E-01          5.52500E-11          3.54582E+08
     2      0      2     14              1298.26          3.26803E-03          8.26200E-13          3.54582E+08
     3      0      3      0               888.74          3.78303E+07          4.48200E-03          3.54257E+08
     3      0      3      1               922.57          1.05963E+08          1.35300E-02          3.54257E+08
     3      0      3      2               956.92          1.18152E+08          1.62300E-02          3.54257E+08
     3      0      3      3               991.66          6.76731E+07          9.98200E-03          3.54257E+08
     3      0      3      4              1026.63          2.10003E+07          3.32000E-03          3.54257E+08
     3      0      3      5              1061.59          3.38388E+06          5.72000E-04          3.54257E+08
     3      0      3      6              1096.26          2.49438E+05          4.49700E-05          3.54257E+08
     3      0      3      7              1130.30          4.95874E+03          9.50300E-07          3.54257E+08
     3      0      3      8              1163.25          1.74066E+01          3.53300E-09          3.54257E+08
     3      0      3      9              1194.58          8.77426E-04          1.87800E-13          3.54257E+08
     3      0      3     10              1223.58          1.20746E-01          2.71200E-11          3.54257E+08
     3      0      3     11              1249.40          1.85361E+00          4.34000E-10          3.54257E+08
     3      0      3     12              1271.02          3.45678E+00          8.37700E-10          3.54257E+08
     3      0      3     13              1287.11          2.29073E-01          5.69200E-11          3.54257E+08
     3      0      3     14              1296.06          6.13956E-03          1.54700E-12          3.54257E+08
     4      0      4      0               890.57          3.76576E+07          4.48000E-03          3.53834E+08
     4      0      4      1               924.34          1.05743E+08          1.35500E-02          3.53834E+08
     4      0      4      2               958.62          1.18142E+08          1.62900E-02          3.53834E+08
     4      0      4      3               993.27          6.77109E+07          1.00200E-02          3.53834E+08
     4      0      4      4              1028.11          2.09719E+07          3.32500E-03          3.53834E+08
