# Data for B+ transitions (P and R) 
#  Number of transitions: 298 
#  JU 	 VU 	 JL 	 VL 		 lambda [A] 		 osc strength f 		 Gamma [1/s]
     0      0      1      0              1110.06          5.74000E-04          1.86000E+09
     1      0      2      0              1112.50          6.91000E-04          1.86000E+09
     2      0      3      0              1115.90          7.38000E-04          1.86000E+09
     3      0      4      0              1120.25          7.56000E-04          1.85000E+09
     4      0      5      0              1125.54          7.58000E-04          1.84000E+09
     5      0      6      0              1131.75          7.48000E-04          1.83000E+09
     6      0      7      0              1138.87          7.30000E-04          1.82000E+09
     1      0      0      0              1108.13          1.66000E-03          1.86000E+09
     2      0      1      0              1108.63          1.08000E-03          1.86000E+09
     3      0      2      0              1110.12          9.32000E-04          1.85000E+09
     4      0      3      0              1112.58          8.47000E-04          1.84000E+09
     5      0      4      0              1116.01          7.78000E-04          1.83000E+09
     6      0      5      0              1120.40          7.16000E-04          1.82000E+09
     7      0      6      0              1125.73          6.56000E-04          1.80000E+09
     8      0      7      0              1131.98          5.99000E-04          1.78000E+09
     0      1      1      0              1094.05          1.97000E-03          1.74000E+09
     1      1      2      0              1096.44          2.37000E-03          1.74000E+09
     2      1      3      0              1099.79          2.53000E-03          1.73000E+09
     3      1      4      0              1104.08          2.59000E-03          1.73000E+09
     4      1      5      0              1109.31          2.62000E-03          1.72000E+09
     5      1      6      0              1115.46          2.60000E-03          1.71000E+09
     6      1      7      0              1122.49          2.57000E-03          1.70000E+09
     1      1      0      0              1092.20          5.78000E-03          1.74000E+09
     2      1      1      0              1092.73          3.78000E-03          1.73000E+09
     3      1      2      0              1094.24          3.32000E-03          1.73000E+09
     4      1      3      0              1096.73          3.06000E-03          1.72000E+09
     5      1      4      0              1100.16          2.85000E-03          1.71000E+09
     6      1      5      0              1104.55          2.68000E-03          1.70000E+09
     7      1      6      0              1109.86          2.51000E-03          1.68000E+09
     8      1      7      0              1116.08          2.34000E-03          1.66000E+09
     0      2      1      0              1078.93          3.92000E-03          1.63000E+09
     1      2      2      0              1081.27          4.70000E-03          1.63000E+09
     2      2      3      0              1084.56          5.01000E-03          1.63000E+09
     3      2      4      0              1088.80          5.15000E-03          1.62000E+09
     4      2      5      0              1093.95          5.21000E-03          1.61000E+09
     5      2      6      0              1100.02          5.21000E-03          1.60000E+09
     6      2      7      0              1106.97          5.18000E-03          1.59000E+09
     1      2      0      0              1077.14          1.17000E-02          1.63000E+09
     2      2      1      0              1077.70          7.69000E-03          1.63000E+09
     3      2      2      0              1079.23          6.82000E-03          1.62000E+09
     4      2      3      0              1081.71          6.36000E-03          1.61000E+09
     5      2      4      0              1085.15          6.03000E-03          1.60000E+09
     6      2      5      0              1089.51          5.74000E-03          1.59000E+09
     7      2      6      0              1094.80          5.46000E-03          1.58000E+09
     8      2      7      0              1100.98          5.19000E-03          1.56000E+09
     0      3      1      0              1064.61          5.94000E-03          1.54000E+09
     1      3      2      0              1066.90          7.09000E-03          1.53000E+09
     2      3      3      0              1070.14          7.54000E-03          1.53000E+09
     3      3      4      0              1074.31          7.74000E-03          1.52000E+09
     4      3      5      0              1079.40          7.83000E-03          1.52000E+09
     5      3      6      0              1085.38          7.86000E-03          1.51000E+09
