# Data for B'+ transitions (P and R) 
#  Number of transitions: 2229 
#  JU 	 VU 	 JL 	 VL 		 lambda [A] 		 osc strength f 		 Gamma [1/s]
     0      0      1      1               941.58          3.77800E-03          3.81633E+08
     0      0      1      2               977.66          5.98300E-03          3.81633E+08
     0      0      1      3              1014.25          4.91600E-03          3.81633E+08
     0      0      1      4              1051.16          2.26800E-03          3.81633E+08
     0      0      1      5              1088.18          5.90800E-04          3.81633E+08
     0      0      1      6              1125.00          7.65500E-05          3.81633E+08
     0      0      1      7              1161.27          2.90400E-06          3.81633E+08
     0      0      1      8              1196.52          3.44300E-10          3.81633E+08
     0      0      1      9              1230.18          7.73800E-09          3.81633E+08
     0      0      1     10              1261.52          2.89600E-10          3.81633E+08
     0      0      1     11              1289.64          2.25600E-10          3.81633E+08
     0      0      1     12              1313.46          1.43000E-10          3.81633E+08
     0      0      1     13              1331.62          1.10500E-10          3.81633E+08
     0      0      1     14              1342.50          1.06500E-10          3.81633E+08
     1      0      2      1               943.12          4.65600E-03          3.80629E+08
     1      0      0      1               940.13          1.42100E-02          3.80629E+08
     1      0      2      2               979.21          6.49200E-03          3.80629E+08
     1      0      0      2               976.16          1.82200E-02          3.80629E+08
     1      0      2      3              1015.80          5.61200E-03          3.80629E+08
     1      0      0      3              1012.69          1.47600E-02          3.80629E+08
     1      0      2      4              1052.70          2.82400E-03          3.80629E+08
     1      0      0      4              1049.55          8.77400E-03          3.80629E+08
     1      0      2      5              1089.69          5.21300E-04          3.80629E+08
     1      0      0      5              1086.51          1.89600E-03          3.80629E+08
     1      0      2      6              1126.48          8.66800E-05          3.80629E+08
     1      0      0      6              1123.30          1.08700E-04          3.80629E+08
     1      0      2      7              1162.68          3.32100E-05          3.80629E+08
     1      0      0      7              1159.53          3.69400E-05          3.80629E+08
     1      0      2      8              1197.85          1.00800E-05          3.80629E+08
     1      0      0      8              1194.77          1.22600E-06          3.80629E+08
     1      0      2      9              1231.38          2.37200E-07          3.80629E+08
     1      0      0      9              1228.42          1.91300E-05          3.80629E+08
     1      0      2     10              1262.55          4.14200E-05          3.80629E+08
     1      0      0     10              1259.78          4.47400E-05          3.80629E+08
     1      0      2     11              1290.47          8.90400E-07          3.80629E+08
     1      0      0     11              1287.96          1.39900E-04          3.80629E+08
     1      0      2     12              1314.00          1.46400E-06          3.80629E+08
     1      0      0     12              1311.87          1.72300E-05          3.80629E+08
     1      0      2     13              1331.80          2.46100E-07          3.80629E+08
     1      0      0     13              1330.17          2.01000E-08          3.80629E+08
     1      0      2     14              1342.17          5.45300E-07          3.80629E+08
     1      0      0     14              1341.27          3.00700E-06          3.80629E+08
     2      0      3      1               945.18          4.49800E-03          3.78891E+08
     2      0      1      1               940.23          8.31800E-03          3.78891E+08
     2      0      3      2               981.28          7.03800E-03          3.78891E+08
     2      0      1      2               976.21          1.33400E-02          3.78891E+08
