# Data for C- transitions (Q) 
#  Number of transitions: 2846 
#  JU 	 VU 	 JL 	 VL 		 lambda [A] 		 osc strength f 		 Gamma [1/s]
     1      0      1      0              1009.77          2.38100E-02          1.17973E+09
     1      0      1      1              1053.99          6.56500E-02          1.17973E+09
     1      0      1      2              1099.42          7.01700E-02          1.17973E+09
     1      0      1      3              1145.90          3.71600E-02          1.17973E+09
     1      0      1      4              1193.24          1.02600E-02          1.17973E+09
     1      0      1      5              1241.17          1.39800E-03          1.17973E+09
     1      0      1      6              1289.30          7.58700E-05          1.17973E+09
     1      0      1      7              1337.17          6.76600E-07          1.17973E+09
     1      0      1      8              1384.12          1.07400E-08          1.17973E+09
     1      0      1      9              1429.36          3.62700E-11          1.17973E+09
     1      0      1     10              1471.84          1.94600E-11          1.17973E+09
     1      0      1     11              1510.27          2.24000E-12          1.17973E+09
     1      0      1     12              1543.04          9.67100E-13          1.17973E+09
     1      0      1     13              1568.17          8.03500E-13          1.17973E+09
     1      0      1     14              1583.27          4.09800E-13          1.17973E+09
     2      0      2      0              1010.94          2.38300E-02          1.17850E+09
     2      0      2      1              1055.13          6.57300E-02          1.17850E+09
     2      0      2      2              1100.52          7.02600E-02          1.17850E+09
     2      0      2      3              1146.95          3.71900E-02          1.17850E+09
     2      0      2      4              1194.22          1.02500E-02          1.17850E+09
     2      0      2      5              1242.05          1.39100E-03          1.17850E+09
     2      0      2      6              1290.06          7.46200E-05          1.17850E+09
     2      0      2      7              1337.77          6.33200E-07          1.17850E+09
     2      0      2      8              1384.54          1.13700E-08          1.17850E+09
     2      0      2      9              1429.54          2.60800E-11          1.17850E+09
     2      0      2     10              1471.72          1.84300E-11          1.17850E+09
     2      0      2     11              1509.79          2.00300E-12          1.17850E+09
     2      0      2     12              1542.11          7.89700E-13          1.17850E+09
     2      0      2     13              1566.67          6.63800E-13          1.17850E+09
     2      0      2     14              1581.04          3.25900E-13          1.17850E+09
     3      0      3      0              1012.68          2.38500E-02          1.17666E+09
     3      0      3      1              1056.83          6.58400E-02          1.17666E+09
     3      0      3      2              1102.16          7.04100E-02          1.17666E+09
     3      0      3      3              1148.51          3.72500E-02          1.17666E+09
     3      0      3      4              1195.67          1.02400E-02          1.17666E+09
     3      0      3      5              1243.35          1.38100E-03          1.17666E+09
     3      0      3      6              1291.19          7.27800E-05          1.17666E+09
     3      0      3      7              1338.67          5.71000E-07          1.17666E+09
     3      0      3      8              1385.14          1.22900E-08          1.17666E+09
     3      0      3      9              1429.78          1.38100E-11          1.17666E+09
     3      0      3     10              1471.52          1.69400E-11          1.17666E+09
     3      0      3     11              1509.04          1.68800E-12          1.17666E+09
     3      0      3     12              1540.68          5.55600E-13          1.17666E+09
     3      0      3     13              1564.40          4.69000E-13          1.17666E+09
     3      0      3     14              1577.64          2.10100E-13          1.17666E+09
     4      0      4      0              1014.98          2.38700E-02          1.17424E+09
     4      0      4      1              1059.08          6.59900E-02          1.17424E+09
     4      0      4      2              1104.33          7.06000E-02          1.17424E+09
     4      0      4      3              1150.56          3.73200E-02          1.17424E+09
     4      0      4      4              1197.57          1.02200E-02          1.17424E+09
     4      0      4      5              1245.07          1.36600E-03          1.17424E+09
     4      0      4      6              1292.66          7.03400E-05          1.17424E+09
     4      0      4      7              1339.83          4.93500E-07          1.17424E+09
     4      0      4      8              1385.92          1.34900E-08          1.17424E+09
     4      0      4      9              1430.07          3.35900E-12          1.17424E+09
     4      0      4     10              1471.22          1.50600E-11          1.17424E+09
     4      0      4     11              1508.01          1.35000E-12          1.17424E+09
     4      0      4     12              1538.73          3.13300E-13          1.17424E+09
     4      0      4     13              1561.29          2.56200E-13          1.17424E+09
     5      0      5      0              1017.83          2.39000E-02          1.17126E+09
     5      0      5      1              1061.86          6.61700E-02          1.17126E+09
     5      0      5      2              1107.00          7.08400E-02          1.17126E+09
     5      0      5      3              1153.09          3.74100E-02          1.17126E+09
     5      0      5      4              1199.92          1.02000E-02          1.17126E+09
     5      0      5      5              1247.17          1.34900E-03          1.17126E+09
     5      0      5      6              1294.45          6.73300E-05          1.17126E+09
     5      0      5      7              1341.23          4.05300E-07          1.17126E+09
     5      0      5      8              1386.83          1.49000E-08          1.17126E+09
     5      0      5      9              1430.38          3.23700E-13          1.17126E+09
     5      0      5     10              1470.78          1.28700E-11          1.17126E+09
     5      0      5     11              1506.64          1.05100E-12          1.17126E+09
     5      0      5     12              1536.21          1.23000E-13          1.17126E+09
     5      0      5     13              1557.30          8.48800E-14          1.17126E+09
     6      0      6      0              1021.21          2.39200E-02          1.16774E+09
     6      0      6      1              1065.15          6.63800E-02          1.16774E+09
     6      0      6      2              1110.16          7.11300E-02          1.16774E+09
     6      0      6      3              1156.08          3.75200E-02          1.16774E+09
     6      0      6      4              1202.68          1.01800E-02          1.16774E+09
     6      0      6      5              1249.63          1.32700E-03          1.16774E+09
     6      0      6      6              1296.54          6.37800E-05          1.16774E+09
     6      0      6      7              1342.84          3.11600E-07          1.16774E+09
     6      0      6      8              1387.86          1.64300E-08          1.16774E+09
     6      0      6      9              1430.67          1.24000E-11          1.16774E+09
     6      0      6     10              1470.17          1.04400E-11          1.16774E+09
     6      0      6     11              1504.90          8.50900E-13          1.16774E+09
     6      0      6     12              1533.06          2.40700E-14          1.16774E+09
     6      0      6     13              1552.33          5.51700E-15          1.16774E+09
     7      0      7      0              1025.09          2.39500E-02          1.16371E+09
     7      0      7      1              1068.92          6.66100E-02          1.16371E+09
     7      0      7      2              1113.78          7.14700E-02          1.16371E+09
     7      0      7      3              1159.50          3.76500E-02          1.16371E+09
     7      0      7      4              1205.82          1.01500E-02          1.16371E+09
     7      0      7      5              1252.43          1.30200E-03          1.16371E+09
     7      0      7      6              1298.89          5.97100E-05          1.16371E+09
     7      0      7      7              1344.64          2.18700E-07          1.16371E+09
     7      0      7      8              1388.95          1.79500E-08          1.16371E+09
     7      0      7      9              1430.91          4.99500E-11          1.16371E+09
     7      0      7     10              1469.33          7.77600E-12          1.16371E+09
     7      0      7     11              1502.72          7.89700E-13          1.16371E+09
