# Data for D+ transitions (P and R) 
#  Number of transitions: 679 
#  JU 	 VU 	 JL 	 VL 		 lambda [A] 		 osc strength f 		 Gamma [1/s]
     1      0      2      1               922.19          3.34334E-03          3.54793E+08
     1      0      0      1               919.33          2.37196E-02          3.54793E+08
     1      0      2      2               956.67          3.83937E-03          3.54793E+08
     1      0      0      2               953.76          2.91901E-02          3.54793E+08
     1      0      2      3               991.56          2.11832E-03          3.54793E+08
     1      0      0      3               988.60          1.90789E-02          3.54793E+08
     1      0      2      4              1026.70          5.43304E-04          3.54793E+08
     1      0      0      4              1023.70          7.21710E-03          3.54793E+08
     1      0      2      5              1061.85          4.57934E-05          3.54793E+08
     1      0      0      5              1058.83          1.63633E-03          3.54793E+08
     1      0      2      6              1096.75          1.56913E-08          3.54793E+08
     1      0      0      6              1093.74          2.28979E-04          3.54793E+08
     1      0      2      7              1131.04          1.32364E-06          3.54793E+08
     1      0      0      7              1128.06          1.69677E-05          3.54793E+08
     1      0      2      8              1164.29          1.86761E-07          3.54793E+08
     1      0      0      8              1161.38          2.70699E-07          3.54793E+08
     1      0      2      9              1195.95          5.68619E-09          3.54793E+08
     1      0      0      9              1193.15          5.33563E-09          3.54793E+08
     1      0      2     10              1225.33          2.40441E-09          3.54793E+08
     1      0      0     10              1222.72          2.75917E-11          3.54793E+08
     1      0      2     11              1251.61          8.79505E-09          3.54793E+08
     1      0      0     11              1249.24          9.48293E-08          3.54793E+08
     1      0      2     12              1273.74          9.70490E-09          3.54793E+08
     1      0      0     12              1271.73          9.55177E-08          3.54793E+08
     1      0      2     13              1290.45          5.50513E-10          3.54793E+08
     1      0      0     13              1288.92          2.22247E-09          3.54793E+08
     1      0      2     14              1300.18          3.21058E-12          3.54793E+08
     1      0      0     14              1299.34          1.44945E-10          3.54793E+08
     2      0      3      1               923.97          5.17161E-03          3.54427E+08
     2      0      1      1               919.23          1.04654E-02          3.54427E+08
     2      0      3      2               958.43          5.85713E-03          3.54427E+08
     2      0      1      2               953.59          1.31555E-02          3.54427E+08
