# H2+ rovibrational excitation energies      UGAMOP database
# indx     quantum state       energy
#      electronic     v    j   (cm^-1)
#-------------------------------------
    1 X ^2Sig^+g     0    0      0.00
    2 X ^2Sig^+g     0    1     58.25
    3 X ^2Sig^+g     0    2    174.28
    4 X ^2Sig^+g     0    3    347.19
    5 X ^2Sig^+g     0    4    575.62
    6 X ^2Sig^+g     0    5    857.82
    7 X ^2Sig^+g     0    6   1191.70
    8 X ^2Sig^+g     0    7   1574.88
    9 X ^2Sig^+g     0    8   2004.68
   10 X ^2Sig^+g     1    0   2191.74
   11 X ^2Sig^+g     1    1   2246.92
   12 X ^2Sig^+g     1    2   2356.85
   13 X ^2Sig^+g     0    9   2478.22
   14 X ^2Sig^+g     1    3   2520.62
   15 X ^2Sig^+g     1    4   2736.98
   16 X ^2Sig^+g     0   10   2992.51
   17 X ^2Sig^+g     1    5   3004.21
   18 X ^2Sig^+g     1    6   3320.37
   19 X ^2Sig^+g     0   11   3544.43
   20 X ^2Sig^+g     1    7   3683.11
   21 X ^2Sig^+g     1    8   4089.89
   22 X ^2Sig^+g     0   12   4130.78
   23 X ^2Sig^+g     2    0   4256.18
   24 X ^2Sig^+g     2    1   4308.40
   25 X ^2Sig^+g     2    2   4412.41
   26 X ^2Sig^+g     1    9   4537.99
   27 X ^2Sig^+g     2    3   4567.38
   28 X ^2Sig^+g     0   13   4748.36
   29 X ^2Sig^+g     2    4   4772.06
   30 X ^2Sig^+g     1   10   5024.50
   31 X ^2Sig^+g     2    5   5024.85
   32 X ^2Sig^+g     2    6   5323.84
   33 X ^2Sig^+g     0   14   5394.01
   34 X ^2Sig^+g     1   11   5546.45
   35 X ^2Sig^+g     2    7   5666.81
   36 X ^2Sig^+g     2    8   6051.35
   37 X ^2Sig^+g     0   15   6064.57
   38 X ^2Sig^+g     1   12   6100.80
   39 X ^2Sig^+g     3    0   6197.55
   40 X ^2Sig^+g     3    1   6246.88
   41 X ^2Sig^+g     3    2   6345.19
   42 X ^2Sig^+g     2    9   6474.81
   43 X ^2Sig^+g     3    3   6491.60
   44 X ^2Sig^+g     1   13   6684.47
   45 X ^2Sig^+g     3    4   6684.96
   46 X ^2Sig^+g     0   16   6756.99
   47 X ^2Sig^+g     3    5   6923.72
   48 X ^2Sig^+g     2   10   6934.41
   49 X ^2Sig^+g     3    6   7206.05
   50 X ^2Sig^+g     1   14   7294.44
   51 X ^2Sig^+g     2   11   7427.31
   52 X ^2Sig^+g     0   17   7468.30
   53 X ^2Sig^+g     3    7   7529.85
   54 X ^2Sig^+g     3    8   7892.72
   55 X ^2Sig^+g     1   15   7927.67
   56 X ^2Sig^+g     2   12   7950.60
   57 X ^2Sig^+g     4    0   8019.41
   58 X ^2Sig^+g     4    1   8065.96
